fia_species_code,scientific_name,grain_km,fold,eligible_plots,qualifying_tree_records,positive_plots,detected_cells_ge1_positive_plot,detected_cells_ge2_positive_plots,detected_cells_ge3_positive_plots,tpa_unadj_available_fraction,obvious_variance_support_failure,positive_plots_per_detected_cell_min,positive_plots_per_detected_cell_q10,positive_plots_per_detected_cell_q25,positive_plots_per_detected_cell_median,positive_plots_per_detected_cell_q75,positive_plots_per_detected_cell_q90,positive_plots_per_detected_cell_max,positive_plots_per_detected_cell_mean
81,Calocedrus decurrens,75,B,57805,2731,511,41,37,33,1.0,0,1,2.0,3.0,8.0,17.0,28.0,75,12.463414634146341
91,Picea abies,25,A,57920,847,111,104,7,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,2,1.0673076923076923
91,Picea abies,25,B,57805,894,120,105,11,4,1.0,0,1,1.0,1.0,1.0,1.0,1.6000000000000085,3,1.1428571428571428
91,Picea abies,50,A,57920,847,111,87,16,5,1.0,0,1,1.0,1.0,1.0,1.0,2.0,5,1.2758620689655173
91,Picea abies,50,B,57805,894,120,90,17,10,1.0,0,1,1.0,1.0,1.0,1.0,3.0,4,1.3333333333333333
91,Picea abies,75,A,57920,847,111,72,22,10,1.0,0,1,1.0,1.0,1.0,2.0,3.0,8,1.5416666666666667
91,Picea abies,75,B,57805,894,120,68,27,15,1.0,0,1,1.0,1.0,1.0,2.0,3.3000000000000043,6,1.7647058823529411
92,Picea breweriana,25,A,57920,12,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
92,Picea breweriana,25,B,57805,10,2,2,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
92,Picea breweriana,50,A,57920,12,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
92,Picea breweriana,50,B,57805,10,2,2,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
92,Picea breweriana,75,A,57920,12,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
92,Picea breweriana,75,B,57805,10,2,2,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
93,Picea engelmannii,25,A,57920,11604,1545,609,379,245,1.0,0,1,1.0,1.0,2.0,3.0,5.0,12,2.5369458128078817
93,Picea engelmannii,25,B,57805,13161,1579,614,391,250,1.0,0,1,1.0,1.0,2.0,3.0,5.0,11,2.5716612377850163
