grain_km,total_detection_cells_min,detection_cells_each_fold_min,positive_plots_each_fold_min,us_share_threshold_active,US_share_USCA_min,taxon_scope,n_species_denominator,n_species_remaining,proportion_of_species_remaining,threshold_role
25,0,0,100,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,97,0.24494949494949494,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,100,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,89,0.22474747474747475,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,0,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,275,0.6944444444444444,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,0,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,176,0.4444444444444444,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,0,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,169,0.42676767676767674,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,0,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,156,0.3939393939393939,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,0,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,145,0.3661616161616162,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,10,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,257,0.648989898989899,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,10,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,170,0.4292929292929293,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,10,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,163,0.4116161616161616,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,10,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,152,0.3838383838383838,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,10,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,142,0.35858585858585856,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,20,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,229,0.5782828282828283,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,20,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,153,0.38636363636363635,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,20,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,147,0.3712121212121212,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,20,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,136,0.3434343434343434,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,20,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,126,0.3181818181818182,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,30,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,214,0.5404040404040404,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,30,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,144,0.36363636363636365,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,30,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,138,0.3484848484848485,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,30,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,127,0.3207070707070707,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,30,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,117,0.29545454545454547,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,50,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,198,0.5,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,50,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,134,0.3383838383838384,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,50,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,129,0.32575757575757575,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,50,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,118,0.29797979797979796,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,50,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,109,0.27525252525252525,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,100,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,165,0.4166666666666667,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,100,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,112,0.2828282828282828,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,100,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,107,0.2702020202020202,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,100,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,97,0.24494949494949494,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,5,100,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,89,0.22474747474747475,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,0,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,253,0.6388888888888888,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,0,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,167,0.4217171717171717,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,0,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,160,0.40404040404040403,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,0,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,149,0.37626262626262624,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,0,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,139,0.351010101010101,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,10,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,253,0.6388888888888888,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,10,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,167,0.4217171717171717,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,10,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,160,0.40404040404040403,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,10,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,149,0.37626262626262624,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,10,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,139,0.351010101010101,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,20,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,229,0.5782828282828283,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,20,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,153,0.38636363636363635,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,20,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,147,0.3712121212121212,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,20,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,136,0.3434343434343434,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,20,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,126,0.3181818181818182,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,30,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,214,0.5404040404040404,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,30,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,144,0.36363636363636365,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,30,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,138,0.3484848484848485,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,30,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,127,0.3207070707070707,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,30,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,117,0.29545454545454547,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,50,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,198,0.5,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,50,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,134,0.3383838383838384,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,50,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,129,0.32575757575757575,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,50,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,118,0.29797979797979796,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,50,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,109,0.27525252525252525,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,100,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,165,0.4166666666666667,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,100,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,112,0.2828282828282828,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,100,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,107,0.2702020202020202,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,100,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,97,0.24494949494949494,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,10,100,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,89,0.22474747474747475,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,0,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,235,0.5934343434343434,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,0,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,157,0.39646464646464646,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,0,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,150,0.3787878787878788,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,0,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,139,0.351010101010101,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,0,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,129,0.32575757575757575,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,10,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,235,0.5934343434343434,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,10,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,157,0.39646464646464646,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,10,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,150,0.3787878787878788,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,10,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,139,0.351010101010101,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,10,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,129,0.32575757575757575,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,20,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,229,0.5782828282828283,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,20,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,153,0.38636363636363635,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,20,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,147,0.3712121212121212,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,20,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,136,0.3434343434343434,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,20,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,126,0.3181818181818182,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,30,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,214,0.5404040404040404,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,30,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,144,0.36363636363636365,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,30,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,138,0.3484848484848485,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,30,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,127,0.3207070707070707,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,30,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,117,0.29545454545454547,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,50,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,198,0.5,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,50,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,134,0.3383838383838384,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,50,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,129,0.32575757575757575,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,50,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,118,0.29797979797979796,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,50,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,109,0.27525252525252525,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,100,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,165,0.4166666666666667,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,100,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,112,0.2828282828282828,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,100,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,107,0.2702020202020202,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,100,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,97,0.24494949494949494,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,15,100,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,89,0.22474747474747475,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,0,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,225,0.5681818181818182,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,0,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,149,0.37626262626262624,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,0,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,143,0.3611111111111111,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,0,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,132,0.3333333333333333,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,0,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,122,0.30808080808080807,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,10,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,225,0.5681818181818182,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,10,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,149,0.37626262626262624,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,10,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,143,0.3611111111111111,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,10,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,132,0.3333333333333333,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,10,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,122,0.30808080808080807,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,20,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,225,0.5681818181818182,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,20,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,149,0.37626262626262624,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,20,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,143,0.3611111111111111,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,20,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,132,0.3333333333333333,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,20,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,122,0.30808080808080807,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,30,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,213,0.5378787878787878,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,30,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,143,0.3611111111111111,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,30,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,137,0.34595959595959597,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,30,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,126,0.3181818181818182,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,30,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,116,0.29292929292929293,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,50,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,198,0.5,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,50,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,134,0.3383838383838384,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,50,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,129,0.32575757575757575,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,50,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,118,0.29797979797979796,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,20,50,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,109,0.27525252525252525,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
