region,candidate_measurements_2017_2023,eligible_forest_measurements_2017_2023,included_in_primary_census,note
PRIMARY_CONUS_48_PLUS_DC,322695,128714,1,Reported separately under continuity addendum v0.2
ALASKA,5601,1816,0,Reported separately under continuity addendum v0.2
HAWAII,1177,337,0,Reported separately under continuity addendum v0.2
TERRITORY_OR_ASSOCIATED_AREA,7044,613,0,Reported separately under continuity addendum v0.2
