detection_band,fia_species_code,species,physical_plot_lineage_ID,selected_primary_measurement_ID,year,state,P2PANEL,AB_fold,projected_x_m,projected_y_m,cell_25km,cell_50km,cell_75km,species_detected,qualifying_tree_records_for_species,trace_selection_rule
HIGH_DETECTION,131,Pinus taeda,259119074010854,548083899126144,2019,MS,2,A,605848.1417940204,1037258.5773799997,25km_24_41,50km_12_20,75km_8_13,1,14,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,56732783010478,815077927290487,2021,GA,3,A,1084379.2585956291,1224339.101589227,25km_43_48,50km_21_24,75km_14_16,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,43260852010478,461362257489998,2017,AL,2,A,986739.7445326012,1069851.776212372,25km_39_42,50km_19_21,75km_13_14,1,60,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,157260303010478,473313694489998,2019,OK,4,A,89127.44255177374,1232628.6312146634,25km_3_49,50km_1_24,75km_1_16,1,17,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,100714094010478,679276716126144,2020,MS,5,A,602671.9588807437,1060677.1229135916,25km_24_42,50km_12_21,75km_8_14,1,11,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,44517472010478,559255302126144,2020,SC,1,A,1346038.4529198043,1346370.716677187,25km_53_53,50km_26_26,75km_17_17,1,26,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,17521062010478,656662241126144,2020,TX,2,A,169461.96826276917,841192.6617572922,25km_6_33,50km_3_16,75km_2_11,1,69,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,59638221010478,749044168290487,2021,AR,3,A,294418.1582671422,1274511.8369503692,25km_11_50,50km_5_25,75km_3_16,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,64113700010661,465276433489998,2018,WI,4,A,442748.7253275783,2389076.574709327,25km_17_95,50km_8_47,75km_5_31,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,100723711010478,749621436290487,2021,MS,1,A,614272.8567873386,1023644.0603172313,25km_24_40,50km_12_20,75km_8_13,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,66361484010661,1185821485290487,2023,MO,2,A,467058.27607203036,1568631.1545774927,25km_18_62,50km_9_31,75km_6_20,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,66553538010661,373680643489998,2017,MO,3,A,349318.5828768647,1573597.3325107973,25km_13_62,50km_6_31,75km_4_20,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,43451582010478,495148077126144,2018,AL,2,B,723413.6894329555,952236.8197523318,25km_28_38,50km_14_19,75km_9_12,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,2226604010690,547679200126144,2022,AZ,3,B,-1511213.696620869,1507607.5246839449,25km_-61_60,50km_-31_30,75km_-21_20,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,107452191010478,473803130489998,2018,TX,3,A,-532694.2052095958,858821.3874814939,25km_-22_34,50km_-11_17,75km_-8_11,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,29395029010497,490388363126144,2018,OR,5,A,-1997539.906532678,2543668.5241713263,25km_-80_101,50km_-40_50,75km_-27_33,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,65243597010661,610554280126144,2020,MN,2,B,312948.75620362663,2378646.4803807307,25km_12_95,50km_6_47,75km_4_31,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,70352190010478,946016732290487,2022,LA,2,B,356489.0039864013,981110.4914289266,25km_14_39,50km_7_19,75km_4_13,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,43049748010478,495147925126144,2019,AL,2,A,806712.227193779,1104491.6169300973,25km_32_44,50km_16_22,75km_10_14,1,4,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,44727152010478,708740706290487,2020,SC,2,B,1251429.9236376036,1330719.556813717,25km_50_53,50km_25_26,75km_16_17,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,43368614010478,1287008930290487,2023,AL,1,B,779340.9117906884,971280.6740052439,25km_31_38,50km_15_19,75km_10_12,1,11,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,29924927010478,730877689290487,2021,NC,4,B,1587428.586761901,1518560.1229190957,25km_63_60,50km_31_30,75km_21_20,1,8,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,17547169010478,484310585489998,2018,TX,5,B,155258.90979134952,937412.2084209677,25km_6_37,50km_3_18,75km_2_12,1,2,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,43731075010478,829427534290487,2022,VA,3,A,1608868.112989952,1699240.4423889304,25km_64_67,50km_32_33,75km_21_22,1,6,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
