state_abbr,assignment_cn,plot_cn,assignment_statecd,assignment_invyr,plot_statecd,plot_invyr,retained_by_plot_key
OR,1977569655290487,24470021010900,41,2013,41,2003,YES
OR,1977570123290487,24385743010900,41,2013,41,2003,YES
OR,1977571690290487,24385837010900,41,2013,41,2003,YES
OR,1977565716290487,24359830010900,41,2013,41,2003,YES
