check_id,stage,scope,expected,observed,status,blocking,details
AUTH_OBS_OVERRIDE,AUTHORITY,WA_COND,bytes=2023936;sha256=68638f30517ccd9ac59c106632e0e7865d50b1eb14e76e491be408509e35fefb,bytes=2023936;sha256=68638f30517ccd9ac59c106632e0e7865d50b1eb14e76e491be408509e35fefb,PASS,YES,
AUTH_OBS_OVERRIDE,AUTHORITY,WA_SUBPLOT,bytes=1038606;sha256=fb8916f34f3ff1bdb3e4c2789fcd872d0584992640ea225ffae80874a401298a,bytes=1038606;sha256=fb8916f34f3ff1bdb3e4c2789fcd872d0584992640ea225ffae80874a401298a,PASS,YES,
P0_NATIONAL_SCHEMA,P0,PLOT,CN;STATECD;INVYR;P2PANEL;PLOT_STATUS_CD;PLOT_NONSAMPLE_REASN_CD;DESIGNCD;MANUAL;MACRO_BREAKPOINT_DIA,ALL_PRESENT,PASS,YES,
P0_NATIONAL_SCHEMA,P0,COND,PLT_CN;CONDID;COND_STATUS_CD;COND_NONSAMPLE_REASN_CD;PROP_BASIS;CONDPROP_UNADJ;SUBPPROP_UNADJ;MACRPROP_UNADJ,ALL_PRESENT,PASS,YES,
P0_NATIONAL_SCHEMA,P0,SUBPLOT,PLT_CN;SUBP;SUBP_STATUS_CD;POINT_NONSAMPLE_REASN_CD;SUBPCOND;MACRCOND;CONDLIST,ALL_PRESENT,PASS,YES,
P0_NATIONAL_SCHEMA,P0,TREE,CN;PLT_CN;STATECD;INVYR;CONDID;SUBP;SPCD;STATUSCD;DIA;TPA_UNADJ,ALL_PRESENT,PASS,YES,
P0_NATIONAL_SCHEMA,P0,POP_EVAL,CN;EVALID;STATECD,ALL_PRESENT,PASS,YES,
P0_NATIONAL_SCHEMA,P0,POP_PLOT_STRATUM_ASSGN,CN;STRATUM_CN;PLT_CN;STATECD;INVYR;EVALID,ALL_PRESENT,PASS,YES,
P0_NATIONAL_SCHEMA,P0,POP_STRATUM,CN;ESTN_UNIT_CN;EVALID,ALL_PRESENT,PASS,YES,
P0_NATIONAL_SCHEMA,P0,POP_ESTN_UNIT,CN;EVALID,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,CA_PLOT,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,CA_POP_EVAL,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,CA_POP_PLOT_STRATUM_ASSGN,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,CA_POP_STRATUM,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,CA_POP_ESTN_UNIT,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,OR_PLOT,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,OR_POP_EVAL,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,OR_POP_PLOT_STRATUM_ASSGN,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,OR_POP_STRATUM,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,OR_POP_ESTN_UNIT,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,WA_PLOT,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,WA_POP_EVAL,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,WA_POP_PLOT_STRATUM_ASSGN,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,WA_POP_STRATUM,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_DESIGN_SCHEMA,P0,WA_POP_ESTN_UNIT,frozen hash and all required fields,hash_ok=True;missing=,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,CA_TREE,CN;PLT_CN;STATECD;INVYR;CONDID;SUBP;SPCD;STATUSCD;DIA;TPA_UNADJ,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,CA_COND,PLT_CN;CONDID;COND_STATUS_CD;COND_NONSAMPLE_REASN_CD;PROP_BASIS;CONDPROP_UNADJ;SUBPPROP_UNADJ;MACRPROP_UNADJ,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,CA_SUBPLOT,PLT_CN;SUBP;SUBP_STATUS_CD;POINT_NONSAMPLE_REASN_CD;SUBPCOND;MACRCOND;CONDLIST,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,OR_TREE,CN;PLT_CN;STATECD;INVYR;CONDID;SUBP;SPCD;STATUSCD;DIA;TPA_UNADJ,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,OR_COND,PLT_CN;CONDID;COND_STATUS_CD;COND_NONSAMPLE_REASN_CD;PROP_BASIS;CONDPROP_UNADJ;SUBPPROP_UNADJ;MACRPROP_UNADJ,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,OR_SUBPLOT,PLT_CN;SUBP;SUBP_STATUS_CD;POINT_NONSAMPLE_REASN_CD;SUBPCOND;MACRCOND;CONDLIST,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,WA_TREE,CN;PLT_CN;STATECD;INVYR;CONDID;SUBP;SPCD;STATUSCD;DIA;TPA_UNADJ,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,WA_COND,PLT_CN;CONDID;COND_STATUS_CD;COND_NONSAMPLE_REASN_CD;PROP_BASIS;CONDPROP_UNADJ;SUBPPROP_UNADJ;MACRPROP_UNADJ,ALL_PRESENT,PASS,YES,
P0_OVERRIDE_OBS_SCHEMA,P0,WA_SUBPLOT,PLT_CN;SUBP;SUBP_STATUS_CD;POINT_NONSAMPLE_REASN_CD;SUBPCOND;MACRCOND;CONDLIST,ALL_PRESENT,PASS,YES,
