analysis_species_id,analysis_species_name,fold,native_state_count,native_state_codes,f0_plot_visit_count_in_native_domain,legitimate_opportunity_plot_visit_count,encounter_plot_visit_count,qualifying_tree_count,f0_live_large_tree_count_all_states,f0_native_candidate_tree_count,outside_operational_native_domain_tree_count,invalid_native_candidate_link_tree_count,opportunity_positive,encounter_positive,direction_constructible,tp_unadj_used_for_eligibility,abundance_total_computed
370051,Fraxinus profunda,A,21,1;5;10;12;13;17;18;21;22;24;26;28;29;34;36;37;39;42;45;47;51,39184,21679,27,189,430,430,0,1,1,1,1,NO,NO
370051,Fraxinus profunda,B,21,1;5;10;12;13;17;18;21;22;24;26;28;29;34;36;37;39;42;45;47;51,59015,32712,42,240,430,430,0,1,1,1,1,NO,NO
2830846,Gordonia lasianthus,A,6,1;12;13;28;37;45,13610,8857,128,875,2314,2314,0,31,1,1,1,NO,NO
2830846,Gordonia lasianthus,B,6,1;12;13;28;37;45,20482,13430,207,1408,2314,2314,0,31,1,1,1,NO,NO
2838104,Halesia carolina,A,15,1;5;12;13;17;18;21;22;28;37;40;45;47;51;54,31186,17113,59,115,299,299,0,1,1,1,1,NO,NO
2838104,Halesia carolina,B,15,1;5;12;13;17;18;21;22;28;37;40;45;47;51;54,47017,25894,80,183,299,299,0,1,1,1,1,NO,NO
2838115,Halesia diptera,A,8,1;5;12;13;22;28;45;48,25337,13172,3,6,16,16,0,0,1,1,1,NO,NO
2838115,Halesia diptera,B,8,1;5;12;13;22;28;45;48,38124,20017,6,10,16,16,0,0,1,1,1,NO,NO
457903,Hesperocyparis bakeri,A,2,6;41,12995,6240,0,0,12,12,0,0,1,0,0,NO,NO
457903,Hesperocyparis bakeri,B,2,6;41,19574,9424,2,12,12,12,0,0,1,1,1,NO,NO
457913,Hesperocyparis macrocarpa,A,1,6,6693,2126,0,0,2,2,0,0,1,0,0,NO,NO
457913,Hesperocyparis macrocarpa,B,1,6,10057,3141,1,2,2,2,0,0,1,1,1,NO,NO
457918,Hesperocyparis sargentii,A,1,6,6693,2126,1,2,53,53,0,0,1,1,1,NO,NO
457918,Hesperocyparis sargentii,B,1,6,10057,3141,4,51,53,53,0,0,1,1,1,NO,NO
2861190,Ilex opaca,A,26,1;5;9;10;12;13;17;18;21;22;24;25;28;29;34;36;37;39;40;42;44;45;47;48;51;54,50560,25347,763,1745,4603,4603,0,79,1,1,1,NO,NO
2861190,Ilex opaca,B,26,1;5;9;10;12;13;17;18;21;22;24;25;28;29;34;36;37;39;40;42;44;45;47;48;51;54,76280,38387,1130,2779,4603,4603,0,79,1,1,1,NO,NO
2331825,Juglans californica,A,1,6,6693,2126,1,6,12,12,0,0,1,1,1,NO,NO
2331825,Juglans californica,B,1,6,10057,3141,1,6,12,12,0,0,1,1,1,NO,NO
2329229,Juglans hindsii,A,1,6,6693,2126,1,1,4,1,3,0,1,1,1,NO,NO
2329229,Juglans hindsii,B,1,6,10057,3141,0,0,4,1,3,0,1,0,0,NO,NO
377592,Juniperus occidentalis,A,5,6;16;32;41;53,24849,10870,586,3171,8148,8148,0,345,1,1,1,NO,NO
377592,Juniperus occidentalis,B,5,6;16;32;41;53,37374,16318,777,4632,8148,8148,0,345,1,1,1,NO,NO
377597,Juniperus osteosperma,A,9,4;6;8;16;30;32;35;49;56,42649,12456,2078,20910,50406,50406,0,144,1,1,1,NO,NO
377597,Juniperus osteosperma,B,9,4;6;8;16;30;32;35;49;56,63478,18674,3063,29352,50406,50406,0,144,1,1,1,NO,NO
2501306,Maclura pomifera,A,3,5;40;48,14754,5563,123,340,4230,880,3350,29,1,1,1,NO,NO
2501306,Maclura pomifera,B,3,5;40;48,22228,8494,173,511,4230,880,3350,29,1,1,1,NO,NO
117583,Magnolia fraseri,A,12,1;12;13;21;22;28;37;45;47;48;51;54,31762,17354,158,329,968,968,0,12,1,1,1,NO,NO
117583,Magnolia fraseri,B,12,1;12;13;21;22;28;37;45;47;48;51;54,47769,26309,256,627,968,968,0,12,1,1,1,NO,NO
117615,Magnolia grandiflora,A,8,1;12;13;22;28;37;45;48,25349,13179,250,616,1533,1531,2,21,1,1,1,NO,NO
117615,Magnolia grandiflora,B,8,1;12;13;22;28;37;45;48,38141,20032,400,894,1533,1531,2,21,1,1,1,NO,NO
117698,Magnolia macrophylla,A,11,1;5;13;21;22;28;37;39;45;47;51,22325,13948,49,86,235,235,0,3,1,1,1,NO,NO
117698,Magnolia macrophylla,B,11,1;5;13;21;22;28;37;39;45;47;51,33539,21090,77,146,235,235,0,3,1,1,1,NO,NO
117869,Magnolia tripetala,A,17,1;5;12;13;18;21;24;28;36;37;39;40;42;45;47;51;54,32262,18722,17,27,57,55,2,0,1,1,1,NO,NO
117869,Magnolia tripetala,B,17,1;5;12;13;18;21;24;28;36;37;39;40;42;45;47;51;54,48555,28274,17,28,57,55,2,0,1,1,1,NO,NO
2950397,Malus angustifolia,A,19,1;5;10;12;13;17;21;22;24;28;29;34;37;39;42;45;47;51;54,34186,19261,4,4,7,7,0,0,1,1,1,NO,NO
2950397,Malus angustifolia,B,19,1;5;10;12;13;17;21;22;24;28;29;34;37;39;42;45;47;51;54,51580,29109,3,3,7,7,0,0,1,1,1,NO,NO
458543,Notholithocarpus densiflorus,A,2,6;41,12995,6240,340,5176,11829,11829,0,87,1,1,1,NO,NO
458543,Notholithocarpus densiflorus,B,2,6;41,19574,9424,477,6566,11829,11829,0,87,1,1,1,NO,NO
136188,Nyssa aquatica,A,14,1;5;12;13;17;21;22;28;29;37;45;47;48;51,38311,19557,200,2047,5087,5087,0,60,1,1,1,NO,NO
136188,Nyssa aquatica,B,14,1;5;12;13;17;21;22;28;29;37;45;47;48;51,57759,29695,277,2980,5087,5087,0,60,1,1,1,NO,NO
136191,Nyssa biflora,A,17,1;5;10;12;13;17;21;22;24;28;29;34;37;45;47;48;51,39421,20042,873,6147,15605,15605,0,153,1,1,1,NO,NO
136191,Nyssa biflora,B,17,1;5;10;12;13;17;21;22;24;28;29;34;37;45;47;48;51,59510,30398,1257,9305,15605,15605,0,153,1,1,1,NO,NO
136212,Nyssa ogeche,A,4,1;12;13;45,9126,5879,21,85,262,262,0,0,1,1,1,NO,NO
136212,Nyssa ogeche,B,4,1;12;13;45,13740,8964,26,177,262,262,0,0,1,1,1,NO,NO
2387656,Oxydendrum arboreum,A,17,1;12;13;18;21;22;24;28;34;36;37;39;42;45;47;51;54,29822,17746,1738,5177,13104,13104,0,122,1,1,1,NO,NO
2387656,Oxydendrum arboreum,B,17,1;12;13;18;21;22;24;28;34;36;37;39;42;45;47;51;54,44920,26775,2636,7805,13104,13104,0,122,1,1,1,NO,NO
2529931,Persea borbonia,A,9,1;5;12;13;22;28;37;45;48,27610,14579,65,136,589,579,10,10,1,1,1,NO,NO
2529931,Persea borbonia,B,9,1;5;12;13;22;28;37;45;48,41553,22148,142,433,589,579,10,10,1,1,1,NO,NO
380618,Picea breweriana,A,2,6;41,12995,6240,2,2,30,30,0,0,1,1,1,NO,NO
380618,Picea breweriana,B,2,6;41,19574,9424,5,28,30,30,0,0,1,1,1,NO,NO
380719,Picea pungens,A,7,4;8;16;30;35;49;56,31455,9560,84,548,1490,1294,196,11,1,1,1,NO,NO
380719,Picea pungens,B,7,4;8;16;30;35;49;56,46536,14366,117,735,1490,1294,196,11,1,1,1,NO,NO
380723,Pinus aristata,A,3,4;8;35,14028,4316,59,367,758,758,0,0,1,1,1,NO,NO
380723,Pinus aristata,B,3,4;8;35,20783,6545,69,391,758,758,0,0,1,1,1,NO,NO
380514,Pinus balfouriana,A,1,6,6693,2126,8,136,366,366,0,0,1,1,1,NO,NO
380514,Pinus balfouriana,B,1,6,10057,3141,15,230,366,366,0,0,1,1,1,NO,NO
379871,Pinus clausa,A,2,1;12,5048,2951,76,1183,2628,2582,46,32,1,1,1,NO,NO
379871,Pinus clausa,B,2,1;12,7595,4485,97,1367,2628,2582,46,32,1,1,1,NO,NO
379818,Pinus echinata,A,23,1;5;9;10;12;13;17;21;22;24;28;29;34;36;37;39;40;42;45;47;48;51;54,48654,24704,1678,8067,21366,21298,68,427,1,1,1,NO,NO
379818,Pinus echinata,B,23,1;5;9;10;12;13;17;21;22;24;28;29;34;36;37;39;40;42;45;47;48;51;54,73387,37414,2589,12804,21366,21298,68,427,1,1,1,NO,NO
379820,Pinus edulis,A,8,4;6;8;35;40;48;49;56,40934,12560,1855,13932,34802,34801,1,104,1,1,1,NO,NO
379820,Pinus edulis,B,8,4;6;8;35;40;48;49;56,61072,19061,2837,20765,34802,34801,1,104,1,1,1,NO,NO
379943,Pinus elliottii,A,6,1;12;13;22;28;45,13494,8480,1092,13378,35216,34755,461,681,1,1,1,NO,NO
