ASSET,PATH,VERSION,EXPECTED_SHA256,ACTUAL_SHA256,EXPECTED_BYTES,ACTUAL_BYTES,STATUS
FIA_ENTIRE_SQLITE_RAW_ZIP,C:\range_paper\02_raw\FIA\SQLite_FIADB_ENTIRE.zip,FIADB_1.9.4.00,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,15351832599,15351832599,PASS
FIADB_DATABASE_GUIDE_v9.4,C:\range_paper\03_doc\FIA\wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,,ec735ead3852ba6dbb65cb7257b4f8e0795d4c641be4d625ed81ce64eeba2833,ec735ead3852ba6dbb65cb7257b4f8e0795d4c641be4d625ed81ce64eeba2833,,26525698,PASS
FIA_NATIONAL_FIELD_GUIDE_v9.5,C:\range_paper\03_doc\FIA\v9-5_sep2025_fg_nfi_natl.pdf,,09279b80db8b4d516599f621b7bda851fcf727825eeecfe93bc65d6071a2d1e7,09279b80db8b4d516599f621b7bda851fcf727825eeecfe93bc65d6071a2d1e7,,20208916,PASS
F0_D09C_FINAL_PACKAGE,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,,22496593,PASS
FIA_SQLITE_EXTRACTED_WORKING_COPY,C:\range_paper\99_tmp\d08c2_preflight_observational_authority_v01\source_cache\SQLite_FIADB_ENTIRE.db,FIADB_1.9.4.00,,d2935fa9e2c7dd754fbdd8151ba2f093675e3772fefe260336daa308adcaeb72,71565119488,71565119488,PASS_EXTRACTED_FROM_FROZEN_RAW
