state,current_window_TREE_rows,with_PREV_TRE_CN,live_DIA_ge5_rows,live_DIA_ge5_with_PREV_TRE_CN
PA,90013,75699,61029,51126
WV,63880,52731,43823,35609
VA,119806,104314,78762,68229
NC,129572,105721,79013,62815
TN,74092,60743,48334,39472
