"STATE","TABLE","FILE_NAME","URL","STATUS","HTTP_STATUS","ATTEMPTS","BYTES","SHA256","MESSAGE"
"CA","TREE","CA_TREE.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_TREE.zip","DOWNLOADED_FROZEN","200","1","73216041","47dffdd7b366a70bff05034f6dc1005050f06ed4e95890ad81b809a45373f3ff","HTTP success; ZIP readable; expected member present; immutable raw frozen."
"CA","COND","CA_COND.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_COND.zip","DOWNLOADED_FROZEN","200","1","2450836","acb6fa7269882846467a53678f39c23f1bc48710f18b879822539be5ff5d9625","HTTP success; ZIP readable; expected member present; immutable raw frozen."
"CA","SUBPLOT","CA_SUBPLOT.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_SUBPLOT.zip","DOWNLOADED_FROZEN","200","1","2032729","0d8623bbc9bc4dd81cbdde32e4eee3cf1b31b49b409eb8a7dd727aaf98dd93d3","HTTP success; ZIP readable; expected member present; immutable raw frozen."
"OR","TREE","OR_TREE.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_TREE.zip","DOWNLOADED_FROZEN","200","1","130963119","4a1c225208c30f3e27b0976797cdd07acef52a8defae32a745098707e2147629","HTTP success; ZIP readable; expected member present; immutable raw frozen."
"OR","COND","OR_COND.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_COND.zip","DOWNLOADED_FROZEN","200","1","3529265","58f1a9dfe77761c219464dc6c6ee738df3d33d0f63769bf36a13ce557048b8cd","HTTP success; ZIP readable; expected member present; immutable raw frozen."
"OR","SUBPLOT","OR_SUBPLOT.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_SUBPLOT.zip","DOWNLOADED_FROZEN","200","1","2023449","9435bd92fd4fdfd0c3799ed834fd003f4119e36da23d8bccc0536628effc2636","HTTP success; ZIP readable; expected member present; immutable raw frozen."
"WA","TREE","WA_TREE.zip","https://apps.fs.usda.gov/fia/datamart/CSV/WA_TREE.zip","DOWNLOADED_FROZEN","200","1","86979872","0a8eabf74da2a4c8b72b4f966cf365cfb00a7fa919feea80064472b1ab68a848","HTTP success; ZIP readable; expected member present; immutable raw frozen."
"WA","COND","WA_COND.zip","https://apps.fs.usda.gov/fia/datamart/CSV/WA_COND.zip","DOWNLOADED_FROZEN","200","1","2023936","68638f30517ccd9ac59c106632e0e7865d50b1eb14e76e491be408509e35fefb","HTTP success; ZIP readable; expected member present; immutable raw frozen."
"WA","SUBPLOT","WA_SUBPLOT.zip","https://apps.fs.usda.gov/fia/datamart/CSV/WA_SUBPLOT.zip","DOWNLOADED_FROZEN","200","1","1038606","fb8916f34f3ff1bdb3e4c2789fcd872d0584992640ea225ffae80874a401298a","HTTP success; ZIP readable; expected member present; immutable raw frozen."
