fia_species_code,fia_name_raw,fia_scientific_name,fia_concept_author,fia_author_evidence_status,matched_wcvp_plant_name_id,matched_wcvp_taxon_name,matched_wcvp_taxon_authors,matched_wcvp_taxon_status,matched_wcvp_taxon_rank,accepted_taxon_id,accepted_taxon_name,accepted_taxon_authors,accepted_taxon_status,accepted_taxon_rank,terminal_target_taxon_id,terminal_target_taxon_name,terminal_target_taxon_authors,terminal_target_taxon_status,terminal_target_taxon_rank,analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_rank,mapping_class,taxonomy_resolution_status,hybrid_or_nothotaxon_flag,ordinary_analysis_species_flag,no_analysis_species_reason,distribution_query_plant_name_id,terminal_target_hybrid_formula,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,distribution_query_taxon_name,diameter_measurement_basis,woodland_indicator,dia_threshold_inches,main_analysis_candidate_retained_flag,dbh_only_sensitivity_component_flag,supplementary_sensitivity_candidate_flag,d08b1_correction_applied_flag,d08b1_correction_case_class,d08b1_authority_source,v01_mapping_class,v01_taxonomy_resolution_status
95,Picea mariana,Picea mariana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380589,Picea mariana,"(Mill.) Britton, Sterns & Poggenb.",Accepted,Species,380589,Picea mariana,"(Mill.) Britton, Sterns & Poggenb.",Accepted,Species,380589,Picea mariana,"(Mill.) Britton, Sterns & Poggenb.",Accepted,Species,380589,Picea mariana,"(Mill.) Britton, Sterns & Poggenb.",Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380589,,,0,Picea mariana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
96,Picea pungens,Picea pungens,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380719,Picea pungens,Engelm.,Accepted,Species,380719,Picea pungens,Engelm.,Accepted,Species,380719,Picea pungens,Engelm.,Accepted,Species,380719,Picea pungens,Engelm.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380719,,,0,Picea pungens,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
97,Picea rubens,Picea rubens,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380751,Picea rubens,Sarg.,Accepted,Species,380751,Picea rubens,Sarg.,Accepted,Species,380751,Picea rubens,Sarg.,Accepted,Species,380751,Picea rubens,Sarg.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380751,,,0,Picea rubens,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
98,Picea sitchensis,Picea sitchensis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380741,Picea sitchensis,(Bong.) Carrière,Accepted,Species,380741,Picea sitchensis,(Bong.) Carrière,Accepted,Species,380741,Picea sitchensis,(Bong.) Carrière,Accepted,Species,380741,Picea sitchensis,(Bong.) Carrière,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380741,,,0,Picea sitchensis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
101,Pinus albicaulis,Pinus albicaulis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380705,Pinus albicaulis,Engelm.,Accepted,Species,380705,Pinus albicaulis,Engelm.,Accepted,Species,380705,Pinus albicaulis,Engelm.,Accepted,Species,380705,Pinus albicaulis,Engelm.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380705,,,0,Pinus albicaulis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
102,Pinus aristata,Pinus aristata,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380723,Pinus aristata,Engelm.,Accepted,Species,380723,Pinus aristata,Engelm.,Accepted,Species,380723,Pinus aristata,Engelm.,Accepted,Species,380723,Pinus aristata,Engelm.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380723,,,0,Pinus aristata,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
103,Pinus attenuata,Pinus attenuata,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381057,Pinus attenuata,Lemmon,Accepted,Species,381057,Pinus attenuata,Lemmon,Accepted,Species,381057,Pinus attenuata,Lemmon,Accepted,Species,381057,Pinus attenuata,Lemmon,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381057,,,0,Pinus attenuata,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
104,Pinus balfouriana,Pinus balfouriana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380514,Pinus balfouriana,Balf.,Accepted,Species,380514,Pinus balfouriana,Balf.,Accepted,Species,380514,Pinus balfouriana,Balf.,Accepted,Species,380514,Pinus balfouriana,Balf.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380514,,,0,Pinus balfouriana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
105,Pinus banksiana,Pinus banksiana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380544,Pinus banksiana,Lamb.,Accepted,Species,380544,Pinus banksiana,Lamb.,Accepted,Species,380544,Pinus banksiana,Lamb.,Accepted,Species,380544,Pinus banksiana,Lamb.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380544,,,0,Pinus banksiana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
106,Pinus edulis,Pinus edulis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379820,Pinus edulis,Engelm.,Accepted,Species,379820,Pinus edulis,Engelm.,Accepted,Species,379820,Pinus edulis,Engelm.,Accepted,Species,379820,Pinus edulis,Engelm.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379820,,,0,Pinus edulis,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
107,Pinus clausa,Pinus clausa,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,Accepted,Species,379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,Accepted,Species,379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,Accepted,Species,379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379871,,,0,Pinus clausa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
108,Pinus contorta,Pinus contorta,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379843,Pinus contorta,Douglas ex Loudon,Accepted,Species,379843,Pinus contorta,Douglas ex Loudon,Accepted,Species,379843,Pinus contorta,Douglas ex Loudon,Accepted,Species,379843,Pinus contorta,Douglas ex Loudon,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379843,,,0,Pinus contorta,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
109,Pinus coulteri,Pinus coulteri,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379852,Pinus coulteri,D.Don,Accepted,Species,379852,Pinus coulteri,D.Don,Accepted,Species,379852,Pinus coulteri,D.Don,Accepted,Species,379852,Pinus coulteri,D.Don,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379852,,,0,Pinus coulteri,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
110,Pinus echinata,Pinus echinata,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379818,Pinus echinata,Mill.,Accepted,Species,379818,Pinus echinata,Mill.,Accepted,Species,379818,Pinus echinata,Mill.,Accepted,Species,379818,Pinus echinata,Mill.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379818,,,0,Pinus echinata,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
111,Pinus elliottii,Pinus elliottii,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379943,Pinus elliottii,Engelm.,Accepted,Species,379943,Pinus elliottii,Engelm.,Accepted,Species,379943,Pinus elliottii,Engelm.,Accepted,Species,379943,Pinus elliottii,Engelm.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379943,,,0,Pinus elliottii,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
112,Pinus engelmannii,Pinus engelmannii,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379946,Pinus engelmannii,Carrière,Accepted,Species,379946,Pinus engelmannii,Carrière,Accepted,Species,379946,Pinus engelmannii,Carrière,Accepted,Species,379946,Pinus engelmannii,Carrière,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379946,,,0,Pinus engelmannii,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
113,Pinus flexilis,Pinus flexilis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379971,Pinus flexilis,E.James,Accepted,Species,379971,Pinus flexilis,E.James,Accepted,Species,379971,Pinus flexilis,E.James,Accepted,Species,379971,Pinus flexilis,E.James,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379971,,,0,Pinus flexilis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
114,Pinus strobiformis,Pinus strobiformis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380012,Pinus strobiformis,Engelm.,Accepted,Species,380012,Pinus strobiformis,Engelm.,Accepted,Species,380012,Pinus strobiformis,Engelm.,Accepted,Species,380012,Pinus strobiformis,Engelm.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380012,,,0,Pinus strobiformis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
115,Pinus glabra,Pinus glabra,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379966,Pinus glabra,Walter,Accepted,Species,379966,Pinus glabra,Walter,Accepted,Species,379966,Pinus glabra,Walter,Accepted,Species,379966,Pinus glabra,Walter,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379966,,,0,Pinus glabra,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
116,Pinus jeffreyi,Pinus jeffreyi,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379708,Pinus jeffreyi,Balf.,Accepted,Species,379708,Pinus jeffreyi,Balf.,Accepted,Species,379708,Pinus jeffreyi,Balf.,Accepted,Species,379708,Pinus jeffreyi,Balf.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379708,,,0,Pinus jeffreyi,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
117,Pinus lambertiana,Pinus lambertiana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379703,Pinus lambertiana,Douglas,Accepted,Species,379703,Pinus lambertiana,Douglas,Accepted,Species,379703,Pinus lambertiana,Douglas,Accepted,Species,379703,Pinus lambertiana,Douglas,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379703,,,0,Pinus lambertiana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
118,Pinus leiophylla,Pinus leiophylla,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379770,Pinus leiophylla,Schiede ex Schltdl. & Cham.,Accepted,Species,379770,Pinus leiophylla,Schiede ex Schltdl. & Cham.,Accepted,Species,379770,Pinus leiophylla,Schiede ex Schltdl. & Cham.,Accepted,Species,379770,Pinus leiophylla,Schiede ex Schltdl. & Cham.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379770,,,0,Pinus leiophylla,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
119,Pinus monticola,Pinus monticola,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380255,Pinus monticola,Douglas ex D.Don,Accepted,Species,380255,Pinus monticola,Douglas ex D.Don,Accepted,Species,380255,Pinus monticola,Douglas ex D.Don,Accepted,Species,380255,Pinus monticola,Douglas ex D.Don,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380255,,,0,Pinus monticola,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
120,Pinus muricata,Pinus muricata,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380239,Pinus muricata,D.Don,Accepted,Species,380239,Pinus muricata,D.Don,Accepted,Species,380239,Pinus muricata,D.Don,Accepted,Species,380239,Pinus muricata,D.Don,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380239,,,0,Pinus muricata,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
121,Pinus palustris,Pinus palustris,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380268,Pinus palustris,Mill.,Accepted,Species,380268,Pinus palustris,Mill.,Accepted,Species,380268,Pinus palustris,Mill.,Accepted,Species,380268,Pinus palustris,Mill.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380268,,,0,Pinus palustris,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
122,Pinus ponderosa,Pinus ponderosa,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380358,Pinus ponderosa,Douglas ex C.Lawson,Accepted,Species,380358,Pinus ponderosa,Douglas ex C.Lawson,Accepted,Species,380358,Pinus ponderosa,Douglas ex C.Lawson,Accepted,Species,380358,Pinus ponderosa,Douglas ex C.Lawson,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380358,,,0,Pinus ponderosa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
123,Pinus pungens,Pinus pungens,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380272,Pinus pungens,Lamb.,Accepted,Species,380272,Pinus pungens,Lamb.,Accepted,Species,380272,Pinus pungens,Lamb.,Accepted,Species,380272,Pinus pungens,Lamb.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380272,,,0,Pinus pungens,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
124,Pinus radiata,Pinus radiata,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380297,Pinus radiata,D.Don,Accepted,Species,380297,Pinus radiata,D.Don,Accepted,Species,380297,Pinus radiata,D.Don,Accepted,Species,380297,Pinus radiata,D.Don,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380297,,,0,Pinus radiata,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
125,Pinus resinosa,Pinus resinosa,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380302,Pinus resinosa,Aiton,Accepted,Species,380302,Pinus resinosa,Aiton,Accepted,Species,380302,Pinus resinosa,Aiton,Accepted,Species,380302,Pinus resinosa,Aiton,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380302,,,0,Pinus resinosa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
126,Pinus rigida,Pinus rigida,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380293,Pinus rigida,Mill.,Accepted,Species,380293,Pinus rigida,Mill.,Accepted,Species,380293,Pinus rigida,Mill.,Accepted,Species,380293,Pinus rigida,Mill.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380293,,,0,Pinus rigida,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
127,Pinus sabiniana,Pinus sabiniana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380011,Pinus sabiniana,Douglas,Accepted,Species,380011,Pinus sabiniana,Douglas,Accepted,Species,380011,Pinus sabiniana,Douglas,Accepted,Species,380011,Pinus sabiniana,Douglas,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380011,,,0,Pinus sabiniana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
128,Pinus serotina,Pinus serotina,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379991,Pinus serotina,Michx.,Accepted,Species,379991,Pinus serotina,Michx.,Accepted,Species,379991,Pinus serotina,Michx.,Accepted,Species,379991,Pinus serotina,Michx.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379991,,,0,Pinus serotina,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
129,Pinus strobus,Pinus strobus,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380022,Pinus strobus,L.,Accepted,Species,380022,Pinus strobus,L.,Accepted,Species,380022,Pinus strobus,L.,Accepted,Species,380022,Pinus strobus,L.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380022,,,0,Pinus strobus,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
130,Pinus sylvestris,Pinus sylvestris,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380126,Pinus sylvestris,L.,Accepted,Species,380126,Pinus sylvestris,L.,Accepted,Species,380126,Pinus sylvestris,L.,Accepted,Species,380126,Pinus sylvestris,L.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380126,,,0,Pinus sylvestris,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
131,Pinus taeda,Pinus taeda,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380129,Pinus taeda,L.,Accepted,Species,380129,Pinus taeda,L.,Accepted,Species,380129,Pinus taeda,L.,Accepted,Species,380129,Pinus taeda,L.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380129,,,0,Pinus taeda,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
132,Pinus virginiana,Pinus virginiana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380091,Pinus virginiana,Mill.,Accepted,Species,380091,Pinus virginiana,Mill.,Accepted,Species,380091,Pinus virginiana,Mill.,Accepted,Species,380091,Pinus virginiana,Mill.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380091,,,0,Pinus virginiana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
133,Pinus monophylla,Pinus monophylla,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380231,Pinus monophylla,Torr. & Frém.,Accepted,Species,380231,Pinus monophylla,Torr. & Frém.,Accepted,Species,380231,Pinus monophylla,Torr. & Frém.,Accepted,Species,380231,Pinus monophylla,Torr. & Frém.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380231,,,0,Pinus monophylla,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
134,Pinus discolor,Pinus discolor,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379837,Pinus discolor,D.K.Bailey & Hawksw.,Accepted,Species,379837,Pinus discolor,D.K.Bailey & Hawksw.,Accepted,Species,379837,Pinus discolor,D.K.Bailey & Hawksw.,Accepted,Species,379837,Pinus discolor,D.K.Bailey & Hawksw.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379837,,,0,Pinus discolor,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
135,Pinus arizonica,Pinus arizonica,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380503,Pinus arizonica,Engelm.,Accepted,Species,380503,Pinus arizonica,Engelm.,Accepted,Species,380503,Pinus arizonica,Engelm.,Accepted,Species,380503,Pinus arizonica,Engelm.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380503,,,0,Pinus arizonica,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
136,Pinus nigra,Pinus nigra,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380171,Pinus nigra,J.F.Arnold,Accepted,Species,380171,Pinus nigra,J.F.Arnold,Accepted,Species,380171,Pinus nigra,J.F.Arnold,Accepted,Species,380171,Pinus nigra,J.F.Arnold,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380171,,,0,Pinus nigra,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
137,Pinus washoensis,Pinus washoensis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380101,Pinus washoensis,H.Mason & Stockw.,Synonym,Species,466122,Pinus ponderosa var. washoensis,(H.Mason & Stockw.) J.R.Haller & Vivrette,Accepted,Variety,466122,Pinus ponderosa var. washoensis,(H.Mason & Stockw.) J.R.Haller & Vivrette,Accepted,Variety,380358,Pinus ponderosa,Douglas ex C.Lawson,Species,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,0,1,,380358,,,0,Pinus ponderosa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED
140,Pinus cembroides,Pinus cembroides,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380484,Pinus cembroides,Zucc.,Accepted,Species,380484,Pinus cembroides,Zucc.,Accepted,Species,380484,Pinus cembroides,Zucc.,Accepted,Species,380484,Pinus cembroides,Zucc.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380484,,,0,Pinus cembroides,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
141,Pinus remota,Pinus remota,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380317,Pinus remota,(Little) D.K.Bailey & Hawksw.,Accepted,Species,380317,Pinus remota,(Little) D.K.Bailey & Hawksw.,Accepted,Species,380317,Pinus remota,(Little) D.K.Bailey & Hawksw.,Accepted,Species,380317,Pinus remota,(Little) D.K.Bailey & Hawksw.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380317,,,0,Pinus remota,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
142,Pinus longaeva,Pinus longaeva,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379762,Pinus longaeva,D.K.Bailey,Accepted,Species,379762,Pinus longaeva,D.K.Bailey,Accepted,Species,379762,Pinus longaeva,D.K.Bailey,Accepted,Species,379762,Pinus longaeva,D.K.Bailey,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379762,,,0,Pinus longaeva,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
143,Pinus monophylla var. fallax,Pinus monophylla var. fallax,(Little) Silba [author from external authority; FIA species list itself omits author],AUTHOR_AVAILABLE_IN_ACCEPTED_CORRECTION_EVIDENCE,380213,Pinus monophylla var. fallax,(Little) Silba,Synonym,Variety,3317681,Pinus × kohae,Frankis,Accepted,Species,3317681,Pinus × kohae,Frankis,Accepted,Species,,,,,ACCEPTED_HYBRID_NONCORE,RESOLVED_ACCEPTED_HYBRID_NONCORE,1,0,Accepted hybrid/non-core object; excluded from ordinary accepted-species master.,,P. californiarum × P. edulis,,1,,DRC_ROOT_COLLAR,Y,5.0,0,0,1,1,ACCEPTED_HYBRID_NONCORE,Q1_D08B_TAXONOMY_CORRECTION_MAINLINE_DECISION_v01_20260902.md,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED
201,Pseudotsuga macrocarpa,Pseudotsuga macrocarpa,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,378313,Pseudotsuga macrocarpa,(Vasey) Mayr,Accepted,Species,378313,Pseudotsuga macrocarpa,(Vasey) Mayr,Accepted,Species,378313,Pseudotsuga macrocarpa,(Vasey) Mayr,Accepted,Species,378313,Pseudotsuga macrocarpa,(Vasey) Mayr,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,378313,,,0,Pseudotsuga macrocarpa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
202,Pseudotsuga menziesii,Pseudotsuga menziesii,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379633,Pseudotsuga menziesii,(Mirb.) Franco,Accepted,Species,379633,Pseudotsuga menziesii,(Mirb.) Franco,Accepted,Species,379633,Pseudotsuga menziesii,(Mirb.) Franco,Accepted,Species,379633,Pseudotsuga menziesii,(Mirb.) Franco,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379633,,,0,Pseudotsuga menziesii,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
211,Sequoia sempervirens,Sequoia sempervirens,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,378988,Sequoia sempervirens,(D.Don) Endl.,Accepted,Species,378988,Sequoia sempervirens,(D.Don) Endl.,Accepted,Species,378988,Sequoia sempervirens,(D.Don) Endl.,Accepted,Species,378988,Sequoia sempervirens,(D.Don) Endl.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,378988,,,0,Sequoia sempervirens,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
212,Sequoiadendron giganteum,Sequoiadendron giganteum,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381300,Sequoiadendron giganteum,(Lindl.) J.Buchholz,Accepted,Species,381300,Sequoiadendron giganteum,(Lindl.) J.Buchholz,Accepted,Species,381300,Sequoiadendron giganteum,(Lindl.) J.Buchholz,Accepted,Species,381300,Sequoiadendron giganteum,(Lindl.) J.Buchholz,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381300,,,0,Sequoiadendron giganteum,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
