analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,analysis_species_hybrid_flag,ordinary_core_class,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name,source_code_map_version
172538,Quercus douglasii,Hook. & Arn.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296074-1,296074-1,Y,1,807,Quercus douglasii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172538,Quercus douglasii,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172621,Quercus ellipsoidalis,E.J.Hill,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215810-2,215810-2,Y,1,809,Quercus ellipsoidalis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172621,Quercus ellipsoidalis,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172635,Quercus emoryi,Torr.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,306491-2,306491-2,Y,1,810,Quercus emoryi,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,172635,Quercus emoryi,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172644,Quercus engelmannii,Greene,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215821-2,215821-2,Y,1,811,Quercus engelmannii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172644,Quercus engelmannii,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172729,Quercus falcata,Michx.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215831-2,215831-2,Y,1,812,Quercus falcata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172729,Quercus falcata,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172843,Quercus gambelii,Nutt.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296173-1,296173-1,Y,1,814,Quercus gambelii,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,172843,Quercus gambelii,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172855,Quercus garryana,Douglas ex Hook.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296175-1,296175-1,Y,1,815,Quercus garryana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172855,Quercus garryana,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172866,Quercus geminata,Small,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215869-2,215869-2,Y,1,8441,Quercus geminata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172866,Quercus geminata,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172875,Quercus georgiana,M.A.Curtis,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296181-1,296181-1,Y,1,6782,Quercus georgiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172875,Quercus georgiana,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172964,Quercus graciliformis,C.H.Mull.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215891-2,215891-2,Y,1,851,Quercus graciliformis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172964,Quercus graciliformis,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172990,Quercus gravesii,Sudw.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215901-2,215901-2,Y,1,8511,Quercus gravesii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172990,Quercus gravesii,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172998,Quercus grisea,Liebm.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296221-1,296221-1,Y,1,846,Quercus grisea,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,172998,Quercus grisea,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173053,Quercus hemisphaerica,W.Bartram ex Willd.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296245-1,296245-1,Y,1,8449,Quercus hemisphaerica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173053,Quercus hemisphaerica,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173145,Quercus hypoleucoides,A.Camus,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215932-2,215932-2,Y,1,843,Quercus hypoleucoides,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,173145,Quercus hypoleucoides,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173293,Quercus ilicifolia,Wangenh.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296293-1,296293-1,Y,1,816,Quercus ilicifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173293,Quercus ilicifolia,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173302,Quercus imbricaria,Michx.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296296-1,296296-1,Y,1,817,Quercus imbricaria,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173302,Quercus imbricaria,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173316,Quercus incana,W.Bartram,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,359724-1,359724-1,Y,1,842,Quercus incana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173316,Quercus incana,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173428,Quercus kelloggii,Newb.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296332-1,296332-1,Y,1,818,Quercus kelloggii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173428,Quercus kelloggii,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173471,Quercus laceyi,Small,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215970-2,215970-2,Y,1,8514,Quercus laceyi,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173471,Quercus laceyi,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173479,Quercus laevis,Walter,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296349-1,296349-1,Y,1,819,Quercus laevis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173479,Quercus laevis,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173587,Quercus laurifolia,Michx.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296368-1,296368-1,Y,1,820,Quercus laurifolia,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173587,Quercus laurifolia,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173674,Quercus lobata,Née,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,296396-1,296396-1,Y,1,821,Quercus lobata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173674,Quercus lobata,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173795,Quercus lyrata,Walter,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,324855-2,324855-2,Y,1,822,Quercus lyrata,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173795,Quercus lyrata,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173817,Quercus macrocarpa,Michx.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,30014114-2,30014114-2,Y,1,823,Quercus macrocarpa,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173817,Quercus macrocarpa,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173863,Quercus margaretta,(Ashe) Small,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,216046-2,216046-2,Y,1,840,Quercus margarettiae,AUTHORITATIVE_ORTHOGRAPHIC_TO_ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173863,Quercus margaretta,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
173871,Quercus marilandica,Münchh.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,284111-2,284111-2,Y,1,824,Quercus marilandica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,173871,Quercus marilandica,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
