analysis_species_id,analysis_species_name,analysis_species_authors,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,atlas_resolved_species_ids,atlas_resolved_species_names,atlas_component_names,atlas_component_authors_canonical,atlas_component_wcvp_match_ids,atlas_component_wcvp_match_authors,atlas_component_wcvp_match_statuses,atlas_component_resolution_statuses,atlas_component_resolution_reasons,decision_status,review_reason
351387,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
377287,Juniperus virginiana,L.,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0325,Juniperus silicicola,Juniperus virginiana var. silicicola,(Small) A.E. Murray,SPECIES,individual_taxa/atlas_pages/Juniperus_silicicola.pdf,Juniperus_silicicola,207,Little (1971),,,redigitized,1,,377287,Juniperus virginiana,Juniperus virginiana var. silicicola,(Small)A.E.Murray,377291,(Small) A.E.Murray,Accepted,RESOLVED,Exact authored infraspecific component resolved through explicit parent to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
377287,Juniperus virginiana,L.,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0326,Juniperus virginiana,Juniperus virginiana,L.,SPECIES,individual_taxa/atlas_pages/Juniperus_virginiana.pdf,Juniperus_virginiana,4197,Little (1971),,,redigitized,1,,377287,Juniperus virginiana,Juniperus virginiana,L.,377287,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
377397,Juniperus flaccida,Schltdl.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
379433,Tsuga mertensiana,(Bong.) Oerst.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
379762,Pinus longaeva,D.K.Bailey,SINGLE_SPECIES_LAYER,1,0,,ATLASG-0431,Pinus longaeva,Pinus longaeva,D.K. Bailey,SPECIES,individual_taxa/atlas_pages/Pinus_longaeva.pdf,Pinus_longaeva,33,Bailey (1970); Little (1971),"Bailey, 1970",We follow Bailey (1970) in the division of what was Pinus aristata (as mapped in Little [1971]) into Pinus aristata and Pinus longaeva. We further revised the distribution of Pinus longaeva based on newer sources,remapped,1,,379762,Pinus longaeva,Pinus longaeva,D.K.Bailey,379762,D.K.Bailey,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
379837,Pinus discolor,D.K.Bailey & Hawksw.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
379852,Pinus coulteri,D.Don,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
379971,Pinus flexilis,E.James,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
380011,Pinus sabiniana,Douglas,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
380297,Pinus radiata,D.Don,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
380317,Pinus remota,(Little) D.K.Bailey & Hawksw.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
380358,Pinus ponderosa,Douglas ex C.Lawson,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
380484,Pinus cembroides,Zucc.,SINGLE_SPECIES_LAYER,1,0,,ATLASG-0418,Pinus cembroides,Pinus cembroides,Zucc.,SPECIES,individual_taxa/atlas_pages/Pinus_cembroides.pdf,Pinus_cembroides,41,Little (1971); eFloras (2013); SEINet (2013),,We follow eFloras and Little (1971) in treating Pinus discolor and Pinus remota as part of Pinus cembroides,remapped,1,,380484,Pinus cembroides,Pinus cembroides,Zucc.,380484,Zucc.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
380503,Pinus arizonica,Engelm.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
380614,Picea engelmannii,Engelm.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
380723,Pinus aristata,Engelm.,SINGLE_SPECIES_LAYER,1,0,,ATLASG-0414,Pinus aristata,Pinus aristata,Engelm.,SPECIES,individual_taxa/atlas_pages/Pinus_aristata.pdf,Pinus_aristata,17,Little (1971),Bailey (1970),We follow Bailey (1970) in the division of what was Pinus aristata (as mapped in Little [1971]) into Pinus aristata and Pinus longaeva,redigitized,1,,380723,Pinus aristata,Pinus aristata,Engelm.,380723,Engelm.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
382830,Chamaecyparis lawsoniana,(A.Murray bis) Oerst.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
382860,Chamaecyparis thyoides,(L.) Oerst.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
456789,Callitropsis nootkatensis,(D.Don) Oerst.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
457902,Hesperocyparis arizonica,(Greene) Bartel,AMBIGUOUS,1,0,,ATLASG-0199,Cupressus arizonica,Hesperocyparis arizonica / Hesperocyparis glabra / Hesperocyparis stephensonii,(Greene) Bartel / (Sudw.) Bartel / (C.B. Wolf) Bartel,SPECIES,individual_taxa/atlas_pages/Cupressus_arizonica.pdf,Cupressus_arizonica,5,Little (1971),,,redigitized,3,,457902;457906;457919,Hesperocyparis arizonica;Hesperocyparis glabra;Hesperocyparis stephensonii,Hesperocyparis arizonica | Hesperocyparis glabra | Hesperocyparis stephensonii,(Greene)Bartel | (Sudw.)Bartel | (C.B.Wolf)Bartel,457902 | 457906 | 457919,(Greene) Bartel | (Sudw.) Bartel | (C.B.Wolf) Bartel,Accepted | Accepted | Accepted,RESOLVED | RESOLVED | RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species. | Exact name plus losslessly canonical author resolved to WCVP Accepted species. | Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,AMBIGUOUS;SHARED_OR_MULTI_TAXON_LAYER
457903,Hesperocyparis bakeri,(Jeps.) Bartel,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
457913,Hesperocyparis macrocarpa,(Hartw.) Bartel,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
2329229,Juglans hindsii,(Jeps.) Jeps. ex R.E.Sm.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
