analysis_species_id,analysis_species_name,analysis_species_authors,component_fia_codes,component_fia_names,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,diameter_measurement_bases,woodland_indicators,dia_threshold_inches,official_large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,regional_manual_exception_status,drc_scientific_inclusion_status
47451,Cornus nuttallii,Audubon ex Torr. & A.Gray,492,Cornus nuttallii,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
73008,Eucalyptus globulus,Labill.,511,Eucalyptus globulus,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
73044,Eucalyptus grandis,W.Hill ex Maiden,513,Eucalyptus grandis,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
83824,Fagus grandifolia,Ehrh.,531,Fagus grandifolia,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
113859,Liriodendron tulipifera,L.,621,Liriodendron tulipifera,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
117423,Magnolia acuminata,(L.) L.,651,Magnolia acuminata,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
117583,Magnolia fraseri,Walter,655,Magnolia fraseri,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
117615,Magnolia grandiflora,L.,652,Magnolia grandiflora,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
117698,Magnolia macrophylla,Michx.,654,Magnolia macrophylla,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
117869,Magnolia tripetala,(L.) L.,658,Magnolia tripetala,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
117883,Magnolia virginiana,L.,653,Magnolia virginiana,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
