FIA_SPCD,accepted_scientific_name,AB_max_individual_p95,BA_max_individual_p95,AB_marginal_mean_sum,BA_marginal_mean_sum,AB_expected_hidden_positive_count,BA_expected_hidden_positive_count,AB_fold_discrepancy_tv,max_direction_primary_p95,max_direction_mean_sum,max_primary_p95_to_fold_tv_ratio,comparison_status
16,Abies fraseri,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.8781180897676197,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
22,Abies procera,0.0,0.22801588374405032,5.8947598435668624e-05,0.051218386395989114,0.011120484821956128,0.14823462056149855,0.36177295769453643,0.22801588374405032,0.051218386395989114,0.6302734322574102,BOTH_FOLDS_POSITIVE
41,Chamaecyparis lawsoniana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.2482720070359495,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
43,Chamaecyparis thyoides,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5346443912728696,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
52,Hesperocyparis bakeri,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,NA,0.0,0.001493305668856408,NA,FOLD_TV_UNAVAILABLE_OR_ZERO
54,Hesperocyparis macrocarpa,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,NA,0.0,0.001493305668856408,NA,FOLD_TV_UNAVAILABLE_OR_ZERO
55,Hesperocyparis sargentii,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
64,Juniperus occidentalis,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.22499788264293655,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
65,Juniperus osteosperma,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.20028858265018312,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
92,Picea breweriana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.6529911712432936,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
96,Picea pungens,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.6583656886312532,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
102,Pinus aristata,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.3597176319041692,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
104,Pinus balfouriana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.09213427126509827,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
106,Pinus edulis,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.17643220215445113,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
107,Pinus clausa,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.35734108584753566,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
110,Pinus echinata,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.27159872348165875,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
111,Pinus elliottii,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.2450107177119591,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
115,Pinus glabra,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.454721580092406,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
121,Pinus palustris,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.3580981239751093,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
123,Pinus pungens,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.39905825051309374,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
127,Pinus sabiniana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.45683390900972903,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
128,Pinus serotina,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.415350340036553,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
131,Pinus taeda,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.15471305803230503,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
132,Pinus virginiana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.2900502121754186,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
133,Pinus monophylla,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.1868175741857012,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
142,Pinus longaeva,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.8291132064974289,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
201,Pseudotsuga macrocarpa,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.8108755733587351,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
211,Sequoia sempervirens,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.16631792861953643,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
212,Sequoiadendron giganteum,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.9999999999999999,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
251,Torreya californica,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.7763479123093466,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
262,Tsuga caroliniana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.9008862031401049,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
323,Acer leucoderme,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,NA,0.0,0.001493305668856408,NA,FOLD_TV_UNAVAILABLE_OR_ZERO
332,Aesculus flava,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.479115858898129,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
333,Aesculus californica,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5422390647593217,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
373,Betula nigra,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.6855512442578121,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
401,Carya aquatica,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5055358064854162,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
408,Carya texana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.23334009957787769,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
410,Carya pallida,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.7105110020840925,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
411,Carya floridana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,NA,0.0,0.001493305668856408,NA,FOLD_TV_UNAVAILABLE_OR_ZERO
422,Castanea pumila,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
423,Castanea ozarkensis,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
431,Chrysolepis chrysophylla var. chrysophylla,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.338332111116818,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
451,Catalpa bignonioides,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
452,Catalpa speciosa,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.977503566589065,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
481,Cladrastis kentukea,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
521,Diospyros virginiana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5905744196957625,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
545,Fraxinus profunda,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.7421442066758173,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
555,Gordonia lasianthus,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.514717752151513,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
582,Halesia diptera,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.7545235495937637,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
591,Ilex opaca,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.34495113084556217,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
603,Juglans hindsii,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,NA,0.0,0.001493305668856408,NA,FOLD_TV_UNAVAILABLE_OR_ZERO
604,Juglans californica,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
631,Notholithocarpus densiflorus,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.20946523508346293,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
641,Maclura pomifera,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5741595925554724,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
652,Magnolia grandiflora,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.4698732021014619,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
654,Magnolia macrophylla,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5637727426576268,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
655,Magnolia fraseri,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.39226438784805734,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
658,Magnolia tripetala,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.8953530859549531,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
662,Malus angustifolia,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
691,Nyssa aquatica,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5649913626121272,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
692,Nyssa ogeche,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.6229778505336615,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
694,Nyssa biflora,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.36622842694913194,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
711,Oxydendrum arboreum,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.21732491252959366,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
721,Persea borbonia,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5921604183762088,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
722,Planera aquatica,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.7404502523578109,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
806,Quercus coccinea,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.30206961695990914,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
807,Quercus douglasii,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.326020554603741,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
812,Quercus falcata,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.2949401957855577,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
813,Quercus pagoda,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.3877161824433162,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
817,Quercus imbricaria,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.48489513680205837,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
819,Quercus laevis,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.4690033143979371,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
820,Quercus laurifolia,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.32567806450872944,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
821,Quercus lobata,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.8238468283076338,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
822,Quercus lyrata,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5274976537568068,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
824,Quercus marilandica,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.4188379864199515,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
827,Quercus nigra,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.21970860420380892,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
828,Quercus texana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.5723689625929858,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
831,Quercus phellos,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.441253381668035,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
835,Quercus stellata,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.24199009430370394,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
836,Quercus similis,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
838,Quercus virginiana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.24905935057685316,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
840,Quercus margaretta,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.7625436377650359,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
841,Quercus minima,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.6154792909010098,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
842,Quercus incana,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.7869390546269116,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
851,Quercus graciliformis,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,1.0,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
870,Styphnolobium affine,0.0,0.0,5.8947598435668624e-05,0.001493305668856408,0.011120484821956128,0.15413692619633262,0.7316130968926422,0.0,0.001493305668856408,0.0,BOTH_FOLDS_POSITIVE
