FIA_SPCD,accepted_scientific_name,direction,fold,actual_case_count,observed_positive_case_count,max_individual_state_aligned_p95,marginal_mean_triangle_upper_sum_raw,marginal_mean_triangle_upper_sum_capped_at_1,empirical_marginal_expected_hidden_positive_count,marginal_union_outer_bound_capped_at_1,observed_point_tv_sum,parent_extreme_failure_conditional_p95_sum_capped_at_1,AB_fold_discrepancy_tv,max_p95_to_fold_tv_ratio,mean_sum_to_fold_tv_ratio,primary_labels,outer_label
96,Picea pungens,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.6583656886312532,0.0,8.95362553875204e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
102,Pinus aristata,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.3597176319041692,0.0,0.00016387186283760646,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
104,Pinus balfouriana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.09213427126509827,0.0,0.0006398009950722732,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
106,Pinus edulis,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.17643220215445113,0.0,0.0003341090669154892,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
107,Pinus clausa,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.35734108584753566,0.0,0.00016496171520791596,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
110,Pinus echinata,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.27159872348165875,0.0,0.00021703930592902583,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
111,Pinus elliottii,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.2450107177119591,0.0,0.00024059191771752997,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
115,Pinus glabra,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.454721580092406,0.0,0.00012963448627991138,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
121,Pinus palustris,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.3580981239751093,0.0,0.000164612977530611,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
123,Pinus pungens,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.39905825051309374,0.0,0.0001477167765855638,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
