FIA_SPCD,accepted_scientific_name,direction,fold,max_individual_state_aligned_p95,marginal_mean_triangle_upper_sum_raw,AB_fold_discrepancy_tv,max_p95_to_fold_tv_ratio,mean_sum_to_fold_tv_ratio,p95_minus_fold_tv,mean_sum_minus_fold_tv,primary_comparison
106,Pinus edulis,BA,A,0.0,0.001493305668856408,0.17643220215445113,0.0,0.008463906535322549,-0.17643220215445113,-0.1749388964855947,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
107,Pinus clausa,AB,B,0.0,5.8947598435668624e-05,0.35734108584753566,0.0,0.00016496171520791596,-0.35734108584753566,-0.3572821382491,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
107,Pinus clausa,BA,A,0.0,0.001493305668856408,0.35734108584753566,0.0,0.0041789363943824445,-0.35734108584753566,-0.35584778017867924,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
110,Pinus echinata,AB,B,0.0,5.8947598435668624e-05,0.27159872348165875,0.0,0.00021703930592902583,-0.27159872348165875,-0.2715397758832231,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
110,Pinus echinata,BA,A,0.0,0.001493305668856408,0.27159872348165875,0.0,0.005498205771049038,-0.27159872348165875,-0.27010541781280234,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
111,Pinus elliottii,AB,B,0.0,5.8947598435668624e-05,0.2450107177119591,0.0,0.00024059191771752997,-0.2450107177119591,-0.24495177011352343,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
111,Pinus elliottii,BA,A,0.0,0.001493305668856408,0.2450107177119591,0.0,0.006094858554767293,-0.2450107177119591,-0.24351741204310268,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
115,Pinus glabra,AB,B,0.0,5.8947598435668624e-05,0.454721580092406,0.0,0.00012963448627991138,-0.454721580092406,-0.4546626324939703,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
115,Pinus glabra,BA,A,0.0,0.001493305668856408,0.454721580092406,0.0,0.0032839999996326255,-0.454721580092406,-0.45322827442354957,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
121,Pinus palustris,AB,B,0.0,5.8947598435668624e-05,0.3580981239751093,0.0,0.000164612977530611,-0.3580981239751093,-0.35803917637667365,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
121,Pinus palustris,BA,A,0.0,0.001493305668856408,0.3580981239751093,0.0,0.004170101904695275,-0.3580981239751093,-0.3566048183062529,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
123,Pinus pungens,AB,B,0.0,5.8947598435668624e-05,0.39905825051309374,0.0,0.0001477167765855638,-0.39905825051309374,-0.39899930291465807,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
123,Pinus pungens,BA,A,0.0,0.001493305668856408,0.39905825051309374,0.0,0.003742074413788897,-0.39905825051309374,-0.3975649448442373,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
127,Pinus sabiniana,AB,B,0.0,5.8947598435668624e-05,0.45683390900972903,0.0,0.0001290350765849416,-0.45683390900972903,-0.45677496141129337,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
127,Pinus sabiniana,BA,A,0.0,0.001493305668856408,0.45683390900972903,0.0,0.003268815294585774,-0.45683390900972903,-0.4553406033408726,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
128,Pinus serotina,AB,B,0.0,5.8947598435668624e-05,0.415350340036553,0.0,0.00014192259582712974,-0.415350340036553,-0.41529139243811736,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
128,Pinus serotina,BA,A,0.0,0.001493305668856408,0.415350340036553,0.0,0.0035952917932485363,-0.415350340036553,-0.4138570343676966,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
131,Pinus taeda,AB,B,0.0,5.8947598435668624e-05,0.15471305803230503,0.0,0.0003810124315645031,-0.15471305803230503,-0.15465411043386937,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
131,Pinus taeda,BA,A,0.0,0.001493305668856408,0.15471305803230503,0.0,0.00965209845793751,-0.15471305803230503,-0.15321975236344862,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
132,Pinus virginiana,AB,B,0.0,5.8947598435668624e-05,0.2900502121754186,0.0,0.00020323239205223502,-0.2900502121754186,-0.28999126457698293,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
132,Pinus virginiana,BA,A,0.0,0.001493305668856408,0.2900502121754186,0.0,0.005148438464003867,-0.2900502121754186,-0.2885569065065622,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
133,Pinus monophylla,AB,B,0.0,5.8947598435668624e-05,0.1868175741857012,0.0,0.000315535616456904,-0.1868175741857012,-0.18675862658726552,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
133,Pinus monophylla,BA,A,0.0,0.001493305668856408,0.1868175741857012,0.0,0.007993389676348255,-0.1868175741857012,-0.18532426851684478,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
142,Pinus longaeva,AB,B,0.0,5.8947598435668624e-05,0.8291132064974289,0.0,7.109716498750695e-05,-0.8291132064974289,-0.8290542588989932,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
142,Pinus longaeva,BA,A,0.0,0.001493305668856408,0.8291132064974289,0.0,0.0018010877853035848,-0.8291132064974289,-0.8276199008285725,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
201,Pseudotsuga macrocarpa,AB,B,0.0,5.8947598435668624e-05,0.8108755733587351,0.0,7.269623154573672e-05,-0.8108755733587351,-0.8108166257602993,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
201,Pseudotsuga macrocarpa,BA,A,0.0,0.001493305668856408,0.8108755733587351,0.0,0.0018415965629239182,-0.8108755733587351,-0.8093822676898786,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
211,Sequoia sempervirens,AB,B,0.0,5.8947598435668624e-05,0.16631792861953643,0.0,0.00035442720412009977,-0.16631792861953643,-0.16625898102110076,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
211,Sequoia sempervirens,BA,A,0.0,0.001493305668856408,0.16631792861953643,0.0,0.008978621133939482,-0.16631792861953643,-0.16482462295068,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
212,Sequoiadendron giganteum,AB,B,0.0,5.8947598435668624e-05,0.9999999999999999,0.0,5.894759843566863e-05,-0.9999999999999999,-0.9999410524015642,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
212,Sequoiadendron giganteum,BA,A,0.0,0.001493305668856408,0.9999999999999999,0.0,0.0014933056688564083,-0.9999999999999999,-0.9985066943311435,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
251,Torreya californica,AB,B,0.0,5.8947598435668624e-05,0.7763479123093466,0.0,7.592935783175022e-05,-0.7763479123093466,-0.7762889647109109,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
251,Torreya californica,BA,A,0.0,0.001493305668856408,0.7763479123093466,0.0,0.0019235005919116578,-0.7763479123093466,-0.7748546066404902,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
262,Tsuga caroliniana,AB,B,0.0,5.8947598435668624e-05,0.9008862031401049,0.0,6.543290176961579e-05,-0.9008862031401049,-0.9008272555416692,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
262,Tsuga caroliniana,BA,A,0.0,0.001493305668856408,0.9008862031401049,0.0,0.0016575963353100333,-0.9008862031401049,-0.8993928974712485,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
323,Acer leucoderme,AB,B,0.0,5.8947598435668624e-05,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
323,Acer leucoderme,BA,A,0.0,0.001493305668856408,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
332,Aesculus flava,AB,B,0.0,5.8947598435668624e-05,0.479115858898129,0.0,0.00012303412074740407,-0.479115858898129,-0.47905691129969336,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
332,Aesculus flava,BA,A,0.0,0.001493305668856408,0.479115858898129,0.0,0.0031167944895222495,-0.479115858898129,-0.4776225532292726,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
333,Aesculus californica,AB,B,0.0,5.8947598435668624e-05,0.5422390647593217,0.0,0.0001087114563791768,-0.5422390647593217,-0.542180117160886,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
333,Aesculus californica,BA,A,0.0,0.001493305668856408,0.5422390647593217,0.0,0.0027539617963881426,-0.5422390647593217,-0.5407457590904653,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
373,Betula nigra,AB,B,0.0,5.8947598435668624e-05,0.6855512442578121,0.0,8.598569243278986e-05,-0.6855512442578121,-0.6854922966593764,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
373,Betula nigra,BA,A,0.0,0.001493305668856408,0.6855512442578121,0.0,0.0021782553548904764,-0.6855512442578121,-0.6840579385889557,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
401,Carya aquatica,AB,B,0.0,5.8947598435668624e-05,0.5055358064854162,0.0,0.0001166042002948987,-0.5055358064854162,-0.5054768588869805,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
401,Carya aquatica,BA,A,0.0,0.001493305668856408,0.5055358064854162,0.0,0.002953906824598956,-0.5055358064854162,-0.5040425008165598,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
408,Carya texana,AB,B,0.0,5.8947598435668624e-05,0.23334009957787769,0.0,0.00025262523904938486,-0.23334009957787769,-0.23328115197944202,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
408,Carya texana,BA,A,0.0,0.001493305668856408,0.23334009957787769,0.0,0.006399695858353804,-0.23334009957787769,-0.23184679390902127,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
410,Carya pallida,AB,B,0.0,5.8947598435668624e-05,0.7105110020840925,0.0,8.296507480216596e-05,-0.7105110020840925,-0.7104520544856567,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
410,Carya pallida,BA,A,0.0,0.001493305668856408,0.7105110020840925,0.0,0.0021017347577675766,-0.7105110020840925,-0.709017696415236,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
411,Carya floridana,AB,B,0.0,5.8947598435668624e-05,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
411,Carya floridana,BA,A,0.0,0.001493305668856408,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
422,Castanea pumila,AB,B,0.0,5.8947598435668624e-05,1.0,0.0,5.8947598435668624e-05,-1.0,-0.9999410524015643,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
422,Castanea pumila,BA,A,0.0,0.001493305668856408,1.0,0.0,0.001493305668856408,-1.0,-0.9985066943311436,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
423,Castanea ozarkensis,AB,B,0.0,5.8947598435668624e-05,1.0,0.0,5.8947598435668624e-05,-1.0,-0.9999410524015643,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
423,Castanea ozarkensis,BA,A,0.0,0.001493305668856408,1.0,0.0,0.001493305668856408,-1.0,-0.9985066943311436,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
431,Chrysolepis chrysophylla var. chrysophylla,AB,B,0.0,5.8947598435668624e-05,0.338332111116818,0.0,0.0001742299843815754,-0.338332111116818,-0.3382731635183823,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
431,Chrysolepis chrysophylla var. chrysophylla,BA,A,0.0,0.001493305668856408,0.338332111116818,0.0,0.004413727280946163,-0.338332111116818,-0.3368388054479616,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
451,Catalpa bignonioides,AB,B,0.0,5.8947598435668624e-05,1.0,0.0,5.8947598435668624e-05,-1.0,-0.9999410524015643,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
451,Catalpa bignonioides,BA,A,0.0,0.001493305668856408,1.0,0.0,0.001493305668856408,-1.0,-0.9985066943311436,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
452,Catalpa speciosa,AB,B,0.0,5.8947598435668624e-05,0.977503566589065,0.0,6.030422849643652e-05,-0.977503566589065,-0.9774446189906293,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
452,Catalpa speciosa,BA,A,0.0,0.001493305668856408,0.977503566589065,0.0,0.0015276728596164625,-0.977503566589065,-0.9760102609202086,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
481,Cladrastis kentukea,AB,B,0.0,5.8947598435668624e-05,1.0,0.0,5.8947598435668624e-05,-1.0,-0.9999410524015643,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
481,Cladrastis kentukea,BA,A,0.0,0.001493305668856408,1.0,0.0,0.001493305668856408,-1.0,-0.9985066943311436,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
521,Diospyros virginiana,AB,B,0.0,5.8947598435668624e-05,0.5905744196957625,0.0,9.981400560159004e-05,-0.5905744196957625,-0.5905154720973268,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
521,Diospyros virginiana,BA,A,0.0,0.001493305668856408,0.5905744196957625,0.0,0.0025285647651750514,-0.5905744196957625,-0.5890811140269061,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
545,Fraxinus profunda,AB,B,0.0,5.8947598435668624e-05,0.7421442066758173,0.0,7.942876587247694e-05,-0.7421442066758173,-0.7420852590773815,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
545,Fraxinus profunda,BA,A,0.0,0.001493305668856408,0.7421442066758173,0.0,0.0020121502740621843,-0.7421442066758173,-0.7406509010069608,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
555,Gordonia lasianthus,AB,B,0.0,5.8947598435668624e-05,0.514717752151513,0.0,0.00011452412159726079,-0.514717752151513,-0.5146588045530773,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
555,Gordonia lasianthus,BA,A,0.0,0.001493305668856408,0.514717752151513,0.0,0.0029012126794042193,-0.514717752151513,-0.5132244464826566,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
582,Halesia diptera,AB,B,0.0,5.8947598435668624e-05,0.7545235495937637,0.0,7.81255912653834e-05,-0.7545235495937637,-0.7544646019953279,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
582,Halesia diptera,BA,A,0.0,0.001493305668856408,0.7545235495937637,0.0,0.001979137257757436,-0.7545235495937637,-0.7530302439249072,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
591,Ilex opaca,AB,B,0.0,5.8947598435668624e-05,0.34495113084556217,0.0,0.00017088681023069325,-0.34495113084556217,-0.3448921832471265,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
591,Ilex opaca,BA,A,0.0,0.001493305668856408,0.34495113084556217,0.0,0.004329035435239593,-0.34495113084556217,-0.34345782517670576,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
603,Juglans hindsii,AB,B,0.0,5.8947598435668624e-05,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
603,Juglans hindsii,BA,A,0.0,0.001493305668856408,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
