group_type,group_value,weighting,state,diagnostic_role,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4,2,2,7,0,7.0,0.0,0.0,0.018008131897485385,0.011509182520758101,0.03284837205911055,0.0376534369370356,0.041497488839375665,0.042458501814960685,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2169,1200,1200,57188,0,6.865075572058679,0.004307092541230476,0.0006273918613162299,0.05192555647381723,0.016207546258208104,0.1305520495951646,0.23973721872951498,0.5443209470903967,0.9559649231842995,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2169,1200,1200,57188,0,57188.0,8.0,0.00013988948730502904,0.10451192207815516,0.045386063035699045,0.2805375476324072,0.4395729142132013,0.7655358792814982,0.9559649231842995,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,18,9,9,46,0,0.05824469535809742,0.0,0.0,0.028119609629890473,0.01349832523989396,0.10012755003545115,0.1132468364597703,0.14015403605357574,0.14015403605357574,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,18,9,9,46,0,46.0,0.0,0.0,0.025510335932939228,0.009847109231727345,0.056128693451320086,0.09558505266658053,0.12804579623636322,0.14015403605357574,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,125,32,32,167,0,0.1638649763336575,0.005154639175257732,0.031456625391151266,0.008973295456739734,0.0023538594421829194,0.016303053999331147,0.03563738365765135,0.14824244961697167,0.2124653415835483,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,125,32,32,167,0,167.0,2.0,0.011976047904191617,0.012845946097360979,0.0038925395420403145,0.02505066634457918,0.046375961987393854,0.16518539490147865,0.2124653415835483,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2090,1078,1078,37519,0,6.608700398054176,0.013773571571047763,0.0020841573594565076,0.05019231601043125,0.016292544024723136,0.1280445823469356,0.225803965828873,0.5271636923439027,0.9557394916381825,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,A|LT_P95,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2090,1078,1078,37519,0,37519.0,16.0,0.00042645059836349583,0.10224129106035464,0.044628976617599354,0.2686122004152943,0.4241243781315951,0.7594164222195261,0.9557394916381825,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,198,89,89,577,0,0.5067165434719443,0.0,0.0,0.04289953766689422,0.009354666694090423,0.10769104401137644,0.25264789178429803,0.47110913829879714,0.9042613168968997,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,198,89,89,577,0,577.0,0.0,0.0,0.15891467734264111,0.043141386290596634,0.4782345112183365,0.6212231290063612,0.8451667486235405,0.9042613168968997,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,36,17,17,46,0,0.14629356897398135,0.0,0.0,0.010054201486731314,0.0033900719703249932,0.02162833358009399,0.029004533282307877,0.22710785111423298,0.22710785111423298,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,A|GE_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,36,17,17,46,0,46.0,0.0,0.0,0.013155728404474909,0.0035237826578630913,0.028795533130784378,0.04241564204042975,0.14466200313532693,0.22710785111423298,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2294,1232,1232,57355,0,7.028940548392336,0.009461731716488207,0.0013461106480196791,0.05092421477991852,0.01564873705215504,0.12787919590907393,0.2362155360308973,0.5394419853336191,0.9559649231842995,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,B|LT_P95,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2294,1232,1232,57355,0,57355.0,10.0,0.0001743527155435446,0.10424501914050731,0.04522012073444939,0.2797475282815718,0.43896440295030414,0.765262792518029,0.9559649231842995,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,18,9,9,46,0,0.05824469535809742,0.0,0.0,0.028119609629890473,0.01349832523989396,0.10012755003545115,0.1132468364597703,0.14015403605357574,0.14015403605357574,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,18,9,9,46,0,46.0,0.0,0.0,0.025510335932939228,0.009847109231727345,0.056128693451320086,0.09558505266658053,0.12804579623636322,0.14015403605357574,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4,2,2,7,0,0.01288659793814433,0.0,0.0,0.025343242872727975,0.021484373276357993,0.042458501814960685,0.042458501814960685,0.042458501814960685,0.042458501814960685,WEIGHTED_INVERSE_EMPIRICAL_CDF
