group_type,group_value,state,target_equal_mean,event_equal_mean,target_equal_p95,event_equal_p95,target_minus_event_mean,target_minus_event_p95,target_equal_quantile_method,event_equal_quantile_method
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|P95_TO_LT_P99,POSITIVE,0.002968307185468662,0.002968307185468662,0.002968307185468662,0.002968307185468662,0.0,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,ZERO_MIXTURE,8.29032653079064e-05,3.089850530230548e-05,0.0,0.0,5.200476000560092e-05,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,ZPLUS_CONDITIONAL,0.011659213766484653,0.006140671369552921,0.04660998228038563,0.008983049422744353,0.005518542396931733,0.03762693285764128,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,POSITIVE,0.025343242872727975,0.018008131897485385,0.042458501814960685,0.0376534369370356,0.00733511097524259,0.004805064877925085,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,ZERO_MIXTURE,0.0003253934755803747,0.00094593158040035,0.0,0.0,-0.0006205381048199753,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,ZPLUS_CONDITIONAL,0.013989872795169061,0.019203851093406415,0.05200546608889103,0.07702932399285986,-0.005213978298237354,-0.025023857903968834,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,POSITIVE,0.05192555647381723,0.10451192207815516,0.23973721872951498,0.4395729142132013,-0.05258636560433792,-0.19983569548368635,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,ZERO_MIXTURE,7.37232332723911e-05,7.270667036273245e-05,0.0,0.0,1.0165629096586424e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,ZPLUS_CONDITIONAL,0.011304075597613822,0.007296197622812831,0.038788168361331095,0.020684952543093285,0.004007877974800991,0.01810321581823781,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,POSITIVE,0.028119609629890473,0.025510335932939228,0.1132468364597703,0.09558505266658053,0.0026092736969512455,0.017661783793189764,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,ZERO_MIXTURE,1.1512191780261237e-05,7.394904963004976e-06,0.0,0.0,4.117286817256261e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,ZPLUS_CONDITIONAL,0.002077373341003613,0.0022627850779732214,0.013215788556567996,0.013215788556567996,-0.0001854117369696085,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,POSITIVE,0.008973295456739734,0.012845946097360979,0.03563738365765135,0.046375961987393854,-0.0038726506406212453,-0.010738578329742503,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|LT_P95,ZERO_MIXTURE,0.0003193430123694846,0.0009520573968790616,0.0,0.0,-0.000632714384509577,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|LT_P95,ZPLUS_CONDITIONAL,0.01552474816721743,0.02241629020923824,0.05500609435458949,0.08379940222998894,-0.006891542042020809,-0.02879330787539945,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|LT_P95,POSITIVE,0.05019231601043125,0.10224129106035464,0.225803965828873,0.4241243781315951,-0.05204897504992339,-0.1983204123027221,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,ZERO_MIXTURE,0.00014078233696660742,0.0008537400896323934,0.0,0.0,-0.000712957752665786,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,ZPLUS_CONDITIONAL,0.020149243324510385,0.04638192506434687,0.10347301183600205,0.38169362951953767,-0.026232681739836488,-0.2782206176835356,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,POSITIVE,0.04289953766689422,0.15891467734264111,0.25264789178429803,0.6212231290063612,-0.11601513967574689,-0.3685752372220632,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|GE_P99,ZERO_MIXTURE,4.349120147684762e-05,5.746670467365878e-05,0.0,0.0,-1.3975503196811165e-05,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|GE_P99,ZPLUS_CONDITIONAL,0.00804135799660782,0.008467718933663621,0.03093831398571201,0.065063920457783,-0.00042636093705580164,-0.034125606472070996,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
