group_type,group_value,weighting,state,diagnostic_role,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,8,8,1,1,0,1.0,0.0,0.0,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,4,4,2,19,0,0.028350515463917526,0.0,0.0,0.011659213766484653,0.0038411198648800196,0.04660998228038563,0.04660998228038563,0.04660998228038563,0.04660998228038563,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,4,4,2,19,0,19.0,0.0,0.0,0.006140671369552921,0.0038411198648800188,0.004802279105228752,0.008983049422744353,0.03908459570885741,0.04660998228038563,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,2169,2169,1199,750893,0,50.289563603199056,0.0,0.0,0.013989872795169061,0.0025141116756366923,0.026299195932213047,0.05200546608889103,0.21286085832279314,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,2169,2169,1199,750893,0,750893.0,0.0,0.0,0.019203851093406415,0.003971648850038956,0.039663908610175116,0.07702932399285986,0.2620351720297514,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,18,18,9,131,0,0.11701303660066546,0.0,0.0,0.011304075597613822,0.004779113400183438,0.038788168361331095,0.038788168361331095,0.07844570765252974,0.07844570765252974,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,18,18,9,131,0,131.0,0.0,0.0,0.007296197622812831,0.0021779030338717974,0.011266946656867201,0.020684952543093285,0.06654844586516968,0.07844570765252974,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,125,125,32,927,0,0.691805126759126,0.0,0.0,0.002077373341003613,0.0006819044976393992,0.003514119851209347,0.013215788556567996,0.025769852294666162,0.02576985229466617,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,B|LEVEL2|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,125,125,32,927,0,927.0,0.0,0.0,0.0022627850779732214,0.0008177009610468007,0.0035642143868290727,0.013215788556567996,0.025769852294666166,0.02576985229466617,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,2090,2090,1077,438256,0,42.85521712771902,0.07406897651185035,0.0017283537799168463,0.01552474816721743,0.002968945221332325,0.028531195340246195,0.05500609435458949,0.2386954158895819,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,A|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,2090,2090,1077,438256,0,438256.0,221.0,0.0005042714760322734,0.02241629020923824,0.004468508187361943,0.04211464781298892,0.08379940222998894,0.3025344045722534,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,198,198,86,3080,0,1.3798813946723856,0.0,0.0,0.020149243324510385,0.0036332638231948763,0.036033275570118935,0.10347301183600205,0.31851012950491986,0.38169362951953767,WEIGHTED_INVERSE_EMPIRICAL_CDF
