layer,synthetic_species_id,world,orientation,target_fold,support_cells,support_cells_zero_target_fold_plots,support_truth_mass_fraction_zero_target_fold_plots,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,entropy_bias,true_concentration,estimated_concentration,concentration_bias,estimated_total_mass,total_mass_relative_error
A1,SYN001,STRONG,AB,B,142,3,0.0004360211443605352,0.3870570537462962,61.66294712588087,91.44130401553511,4.074298547053801,3.925982518408185,-0.148316028645616,0.02474853392012693,0.02604355351608099,0.0012950195959540618,100000000.0,2.220446049250313e-16
A2,SYN001,STRONG,AB,B,142,3,0.0004360211443605352,0.12035840361816037,2.4210946642819575,1.68557261907481,4.074298547053801,4.037346497394508,-0.036952049659292996,0.02474853392012693,0.024845267603116505,9.673368298957624e-05,102034089.36712979,0.0203408936712981
A1,SYN001,STRONG,BA,A,142,2,0.01456737058368239,0.5526324546986673,91.33979091830318,135.67434782883512,4.074298547053801,3.414218505080353,-0.660080041973448,0.02474853392012693,0.051005769054668665,0.026257235134541736,100000000.0,2.220446049250313e-16
A2,SYN001,STRONG,BA,A,142,2,0.01456737058368239,0.17632452087665065,5.9410301685888065,5.475410994073697,4.074298547053801,3.892097323842001,-0.1822012232118002,0.02474853392012693,0.028871996684520826,0.004123462764393897,99796008.94148886,-0.0020399105851112154
A1,SYN001,PAIRED_NULL,AB,B,142,3,0.01583818944758296,0.37900614856175874,40.941568729300535,58.15191883920688,4.074298547053802,3.3209497140388957,-0.7533488330149063,0.024748533920126933,0.055798700654632015,0.031050166734505082,100000000.0,2.220446049250313e-16
A2,SYN001,PAIRED_NULL,AB,B,142,3,0.01583818944758296,0.15485139408921864,2.456373152750664,1.4381105441141928,4.074298547053802,3.997608556939336,-0.07668999011446598,0.024748533920126933,0.02562721502993259,0.0008786811098056568,100834026.49049091,0.008340264904909356
A1,SYN001,PAIRED_NULL,BA,A,142,2,0.004395251615730557,0.4028244216185405,39.54626663129474,51.49591594117842,4.074298547053802,3.3514398287267957,-0.7228587183270063,0.024748533920126933,0.05158612948960302,0.026837595569476087,100000000.0,2.220446049250313e-16
A2,SYN001,PAIRED_NULL,BA,A,142,2,0.004395251615730557,0.15424837084546708,3.909290502009492,1.536811927231116,4.074298547053802,4.009127601218085,-0.06517094583571659,0.024748533920126933,0.024773854045261896,2.5320125134963706e-05,100028976.27086669,0.0002897627086670962
A1,SYN002,STRONG,AB,B,65,0,0.0,0.2224911271598198,29.973741780835706,45.07621977257275,3.334547922349198,3.0954913264375525,-0.23905659591164552,0.054854186684438755,0.06942580509149995,0.014571618407061199,100000000.0,0.0
A2,SYN002,STRONG,AB,B,65,0,0.0,0.09096392110574353,3.990729344277417,4.677031073985151,3.334547922349198,3.2613534492603855,-0.07319447308881255,0.054854186684438755,0.05569466357770629,0.000840476893267536,100029929.14407894,0.0002992914407893288
A1,SYN002,STRONG,BA,A,65,0,0.0,0.24161497218890518,30.444266591747596,45.86629868396374,3.334547922349198,3.164887572527399,-0.169660349821799,0.054854186684438755,0.0608457600831456,0.005991573398706845,100000000.0,0.0
A2,SYN002,STRONG,BA,A,65,0,0.0,0.08601173532393531,2.933812423001837,2.9887561648023175,3.334547922349198,3.301624020034338,-0.032923902314859976,0.054854186684438755,0.056032943976648146,0.0011787572922093911,102548648.95173554,0.025486489517355437
A1,SYN002,PAIRED_NULL,AB,B,65,0,0.0,0.23508449452287666,26.501649831552125,32.93322255757137,3.3345479223491976,3.3652771710746174,0.030729248725419822,0.054854186684438755,0.06122448979591837,0.006370303111479618,100000000.0,2.220446049250313e-16
A2,SYN002,PAIRED_NULL,AB,B,65,0,0.0,0.08393500441024927,4.3163835111120825,6.226696151411483,3.3345479223491976,3.289378505111688,-0.045169417237509446,0.054854186684438755,0.056451110113005146,0.0015969234285663908,99570388.02039984,-0.004296119796001419
A1,SYN002,PAIRED_NULL,BA,A,65,0,0.0,0.3070951963315455,40.33289436976127,56.500772817241916,3.3345479223491976,3.3951423979068216,0.060594475557623984,0.054854186684438755,0.052491349480968855,-0.0023628372034699002,100000000.0,2.220446049250313e-16
A2,SYN002,PAIRED_NULL,BA,A,65,0,0.0,0.0928354879551304,3.1546801988637485,4.170319642853623,3.3345479223491976,3.3585038612306666,0.023955938881468963,0.054854186684438755,0.05137591065821245,-0.003478276026226308,103286196.37541974,0.03286196375419759
A1,SYN003,STRONG,AB,B,175,1,0.0008766020190535425,0.19917060510995824,22.211407107861678,33.75817377522003,3.9910630047636566,3.968638495225443,-0.0224245095382134,0.03223603351469619,0.028962594997151092,-0.0032734385175451006,100000000.0,-1.1102230246251565e-16
A2,SYN003,STRONG,AB,B,175,1,0.0008766020190535425,0.1305029626304343,3.0818603946337086,3.525253502120346,3.9910630047636566,3.930638532930257,-0.06042447183339972,0.03223603351469619,0.03282252710337464,0.0005864935886784467,102743542.03131291,0.027435420313129066
A1,SYN003,STRONG,BA,A,175,4,0.0008435012703586149,0.23725558038753852,19.553147604491752,28.647042344039107,3.9910630047636566,3.839034364421736,-0.15202864034192043,0.03223603351469619,0.0340934660655954,0.0018574325508992073,100000000.0,-1.1102230246251565e-16
A2,SYN003,STRONG,BA,A,175,4,0.0008435012703586149,0.16126045404977346,5.085913256232795,4.8422051344728505,3.9910630047636566,3.8545858169884024,-0.1364771877752542,0.03223603351469619,0.03618647898945282,0.003950445474756627,97108632.75126475,-0.02891367248735266
