layer,world,orientation,n_species,hellinger_median,sw_km_median,relative_rmse_median,total_mass_relative_error_median,zero_plot_truth_fraction_median
A1,PAIRED_NULL,AB,72,0.31507762828473385,32.8872122178447,1.4596991970632738,0.0,0.0012186359683155447
A1,PAIRED_NULL,BA,72,0.3474177239472855,31.374621455636444,1.6625869945820952,0.0,0.012162663997329369
A1,STRONG,AB,72,0.25052519890386765,19.96167393364901,1.2069375405130147,0.0,0.00036125051215725874
A1,STRONG,BA,72,0.27479437342732427,19.596809704597725,1.4298624040440342,0.0,0.001765084349015661
A2,PAIRED_NULL,AB,72,0.12512643806502163,4.2786781477088685,0.9978095728807677,-0.013565168837886665,0.0012186359683155447
A2,PAIRED_NULL,BA,72,0.1568708841434311,5.822532067008758,1.1260558416296282,-0.032181677522564955,0.012162663997329369
A2,STRONG,AB,72,0.11501170283611503,2.902978119688111,0.9705690947676837,-0.006271939918092939,0.00036125051215725874
A2,STRONG,BA,72,0.1412596407275987,3.9050083908811875,1.1589946635796715,-0.00737418022636771,0.001765084349015661
