layer,synthetic_species_id,world,orientation,target_fold,support_cells,support_cells_zero_target_fold_plots,support_truth_mass_fraction_zero_target_fold_plots,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,entropy_bias,true_concentration,estimated_concentration,concentration_bias,estimated_total_mass,total_mass_relative_error,cell_bias,cell_relative_bias,cell_rmse,cell_relative_rmse,cell_mass_correlation,ci95_coverage_all_support,ci95_coverage_positive_exposure
A1,SYN004,STRONG,AB,B,148,0,0.0,0.1463951212225575,4.86324261284678,6.496177363058441,4.101888730650877,4.025542350112749,-0.07634638053812814,0.024482113127460427,0.02541631546120998,0.0009342023337495509,100000000.0,-3.3306690738754696e-16,-4.562222071596094e-11,-0.0725379622806785,269891.7561160775,1.151646601895359,0.9706908316459267,,
A2,SYN004,STRONG,AB,B,148,0,0.0,0.12040349492097732,2.954841817220289,3.9223179867743223,4.101888730650877,4.047875861391191,-0.054012869259686624,0.024482113127460427,0.02505365905711106,0.0005715459296506339,104345239.5799336,0.043452395799335575,29359.726891443166,-0.03129940524085642,231944.18025920252,0.9399968799360128,0.9808598176881158,0.6959459459459459,0.6959459459459459
A1,SYN004,STRONG,BA,A,148,0,0.0,0.22134629547527776,11.167962856059027,16.315010823201106,4.101888730650877,3.971757387070811,-0.13013134358006617,0.024482113127460427,0.026538074895490194,0.0020559617680297668,100000000.0,-3.3306690738754696e-16,-1.88781602962597e-11,-0.1766842460875053,491722.7317855936,0.9546776195245037,0.9059521553407258,,
A2,SYN004,STRONG,BA,A,148,0,0.0,0.1367793440182265,3.027745964805668,2.7001698286231943,4.101888730650877,3.9932704386470266,-0.10861829200385076,0.024482113127460427,0.026751728533676224,0.0022696154062157962,98781954.75863816,-0.012180452413618759,-8230.035414607115,-0.19197454877640233,223872.54761321086,0.8493405073305813,0.981235213274801,0.6486486486486487,0.6486486486486487
A1,SYN004,PAIRED_NULL,AB,B,148,0,0.0,0.18727675318655893,19.623971456530032,27.55115459368309,4.1018887306508764,4.081036445378495,-0.020852285272381366,0.024482113127460417,0.023604575072399197,-0.0008775380550612201,99999999.99999999,2.220446049250313e-16,1.2270804192568804e-10,0.24557617653558858,472133.3995454787,1.8247523190358685,0.9048687826136065,,
A2,SYN004,PAIRED_NULL,AB,B,148,0,0.0,0.11307637537545163,2.3419904282717776,1.662035098557098,4.1018887306508764,4.053206109255493,-0.048682621395383485,0.024482113127460417,0.025095011197813526,0.0006128980703531094,99851750.94950297,-0.0014824905049699577,-1001.6827736284686,-0.06129838250005905,165994.4398971256,0.8416488635291468,0.9887944781043003,0.7297297297297297,0.7297297297297297
A1,SYN004,PAIRED_NULL,BA,A,148,0,0.0,0.23848116130496166,25.493761090991462,36.64747022513347,4.1018887306508764,4.028547140069933,-0.07334159058094336,0.024482113127460417,0.024188115356206526,-0.0002939977712538913,100000000.0,2.220446049250313e-16,1.4001302219725943e-10,0.28532926314095386,595474.9293310104,2.814883769123426,0.8507570470208741,,
A2,SYN004,PAIRED_NULL,BA,A,148,0,0.0,0.14524126938607715,5.661574594300294,7.794929725296268,4.1018887306508764,4.056299380131666,-0.04558935051921065,0.024482113127460417,0.02509406040491408,0.0006119472774536623,98080166.33696587,-0.019198336630340984,-12971.849074554808,0.10072194979808692,312386.27712588577,1.5099931324867633,0.9592348887289016,0.6891891891891891,0.6891891891891891
A1,SYN005,STRONG,AB,B,140,2,0.016766530366001633,0.277754858290518,10.654691079937255,4.713468910450386,4.078070371149677,3.6770601540889043,-0.40101021706077233,0.025460824207712885,0.0481179879237148,0.022657163716001915,100000000.0,0.0,2.3283064365386964e-11,-0.24677615533094718,923234.2201319659,1.0372655802909445,0.8643372587497726,,
A2,SYN005,STRONG,AB,B,140,2,0.016766530366001633,0.15010534492696795,3.2364136662122105,1.973692770829334,4.078070371149677,4.024856223316759,-0.053214147832918,0.025460824207712885,0.02593924619623261,0.0004784219885197241,93205078.5549654,-0.06794921445034596,-48535.15317881855,0.021800006336116163,271029.45347541483,1.4384104353695906,0.9728742733662125,0.7357142857142858,0.7463768115942029
