orientation,replicate,split_seed,A0_REF_strong_minus_paired_null_separation_pp,D0_strong_minus_paired_null_separation_pp,D1_strong_minus_paired_null_separation_pp,D2_strong_minus_paired_null_separation_pp,D3_strong_minus_paired_null_separation_pp,D2_A0_REF_strong_minus_paired_null_separation_pp,D3_A0_REF_strong_minus_paired_null_separation_pp,test_mean_zero_truth_mass_fraction_STRONG,test_mean_zero_truth_mass_fraction_PAIRED_NULL,test_mean_zero_truth_mass_fraction_both_worlds,D0_minus_A0_separation_distortion_pp,D1_minus_D0_separation_change_pp
AB,1,9042101,6.05399724982147,-28.429922745907223,-27.44479389854592,-31.218839558291986,-23.999415846645096,2.928156721209879,8.524374062567768,0.008644213527442612,0.010929050433552728,0.00978663198049767,-34.48391999572869,0.9851288473613025
AB,2,9042102,7.986505352096572,-15.320089464692828,-15.360468212732371,-22.38116543074367,-11.72384230850508,4.64403344275498,8.465210341272298,0.011137663023400697,0.017247998005791857,0.014192830514596277,-23.3065948167894,-0.040378748039543666
AB,3,9042103,0.19931860891692543,-16.41464437432641,-21.248502998059966,-24.335825515764327,-17.798126782709243,-1.3681763473881114,11.231045573323405,0.0040042291893058165,0.013170802049078383,0.008587515619192099,-16.613962983243336,-4.833858623733555
AB,4,9042104,8.575766742577223,-17.889425736445197,-15.159926914287498,-11.693580899729747,-2.563128559824958,7.831324559344543,16.082528871774407,0.0038072421570711115,0.01144979248464012,0.007628517320855616,-26.46519247902242,2.7294988221576997
AB,5,9042105,-3.7895392384378046,-38.57848329491274,-38.65105416633142,-33.51278810984254,-27.793308238506306,-4.192209883857895,12.21684403655339,0.010201820056886161,0.025317753811130127,0.017759786934008145,-34.78894405647494,-0.07257087141867657
BA,1,9042101,6.05399724982147,-35.27918543577575,-29.32360678425818,-29.729416211128004,-29.557490704939717,3.4175322005947533,8.524374062567768,0.004480489547727644,0.01951278868919159,0.011996639118459617,-41.33318268559722,5.955578651517573
BA,2,9042102,7.986505352096572,-28.844175296942776,-19.73748544650471,-12.366209635422178,-17.46948596002522,11.646488863321144,8.465210341272298,0.011116457379843337,0.028177463875731428,0.019646960627787383,-36.83068064903935,9.106689850438066
BA,3,9042103,0.19931860891692543,-34.68070838144731,-30.70808827588996,-35.63522686677301,-26.49497107039925,1.177086754257656,11.231045573323405,0.010275136638186943,0.03029877986831448,0.020286958253250713,-34.880026990364236,3.9726201055573505
BA,4,9042104,8.575766742577223,-19.527880943407332,-17.92436357432391,-25.704564348358797,-6.759536180845248,17.586451922644883,16.082528871774407,0.005406563917339999,0.03231546310012293,0.018861013508731466,-28.103647685984555,1.6035173690834235
BA,5,9042105,-3.7895392384378046,-60.35819452933458,-53.77203062644799,-37.784304470205576,-36.866519832850784,6.342723799083107,12.21684403655339,0.015868465004716177,0.03486469132875528,0.02536657816673573,-56.56865529089678,6.5861639028865895
