analysis_level,state,world,orientation,predictor,outcome,statistic,value,n,notes
SPECIES_MAP,D0_D1,STRONG,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_hellinger,pearson_r,-0.9906617527104892,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,STRONG,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_hellinger,spearman_rho,-0.9973867738089405,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,STRONG,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_sliced_wasserstein_km,pearson_r,-0.7998100942407191,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,STRONG,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_sliced_wasserstein_km,spearman_rho,-0.5208649778692408,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D0_hellinger,pearson_r,0.894392800710428,288,Pooled species/world/orientation profiles
SPECIES_MAP_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D0_hellinger,spearman_rho,0.7562546685507273,288,Pooled species/world/orientation profiles
SPECIES_MAP_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D0_sliced_wasserstein_km,pearson_r,0.74810240457649,288,Pooled species/world/orientation profiles
SPECIES_MAP_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D0_sliced_wasserstein_km,spearman_rho,0.5580521776407422,288,Pooled species/world/orientation profiles
SPECIES_MAP_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D1_minus_D0_hellinger,pearson_r,-0.981547660203506,288,Pooled species/world/orientation profiles
SPECIES_MAP_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D1_minus_D0_hellinger,spearman_rho,-0.9987228225725239,288,Pooled species/world/orientation profiles
SPECIES_MAP_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D1_minus_D0_sliced_wasserstein_km,pearson_r,-0.7809320597394207,288,Pooled species/world/orientation profiles
SPECIES_MAP_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D1_minus_D0_sliced_wasserstein_km,spearman_rho,-0.5909461964287434,288,Pooled species/world/orientation profiles
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,pearson_r,0.003719151741155143,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,spearman_rho,0.09889929115880867,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,pearson_r,-0.01286565625953233,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,spearman_rho,-0.029094386394586978,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,pearson_r,-0.08757957991592609,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,spearman_rho,-0.0342777052101041,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,pearson_r,0.11736824029853943,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,spearman_rho,0.09538195644999198,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,STRONG,AB,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,pearson_r,-0.24637898962160562,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,STRONG,AB,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,spearman_rho,-0.14664916148023033,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,STRONG,AB,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,pearson_r,0.08718023597493083,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,STRONG,AB,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,spearman_rho,0.016433162918164736,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,STRONG,BA,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,pearson_r,-0.03460530538890734,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,STRONG,BA,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,spearman_rho,-0.02669603209509665,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,STRONG,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,pearson_r,-0.21051008578181307,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM,D0_D1,STRONG,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,spearman_rho,-0.09405308729681384,80,Frozen test occurrences only; individual diagnostic gain is not the official aggregate score
HELDOUT_SPECIES_DOWNSTREAM_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,pearson_r,0.049091575383979444,320,Frozen test occurrences pooled; no new split
HELDOUT_SPECIES_DOWNSTREAM_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D0_minus_A0_individual_gain_pp,spearman_rho,0.09012822136191263,320,Frozen test occurrences pooled; no new split
HELDOUT_SPECIES_DOWNSTREAM_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,pearson_r,-0.026358493833468846,320,Frozen test occurrences pooled; no new split
HELDOUT_SPECIES_DOWNSTREAM_POOLED,D0_D1,ALL,ALL,zero_opportunity_truth_mass_fraction,D1_minus_D0_individual_gain_pp,spearman_rho,-0.015940471736572495,320,Frozen test occurrences pooled; no new split
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,AB,mean_zero_truth_mass_fraction,D0_minus_A0_individual_separation_distortion_pp,pearson_r,-0.15645131888623276,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,AB,mean_zero_truth_mass_fraction,D0_minus_A0_individual_separation_distortion_pp,spearman_rho,-0.12184325400507669,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,AB,mean_zero_truth_mass_fraction,D1_minus_D0_individual_separation_change_pp,pearson_r,0.17271531602487783,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,AB,mean_zero_truth_mass_fraction,D1_minus_D0_individual_separation_change_pp,spearman_rho,0.1282939912032159,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,AB,strong_minus_null_zero_truth_mass_fraction,D0_minus_A0_individual_separation_distortion_pp,pearson_r,-0.08296498036825103,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,AB,strong_minus_null_zero_truth_mass_fraction,D0_minus_A0_individual_separation_distortion_pp,spearman_rho,-0.02593508679847782,80,Frozen paired test occurrences
