state,orientation,target_fold,total_F0_cells,retained_cells,removed_cells,fraction_F0_cells_retained,target_fold_legal_plots_total,target_fold_legal_plots_retained,target_fold_legal_plot_fraction_retained,fold_specific_TI_sum_total,fold_specific_TI_sum_retained,fold_specific_TI_fraction_retained,effective_block_area_acres_total,effective_block_area_acres_represented,effective_block_area_fraction_represented,area_interpretation
FULL,AB,B,3011,3011,0,1.0,81081,81081,1.0,753786908.5779467,753786908.5779467,1.0,1762134514.0684016,1762134514.0684016,1.0,TI-weight and block-area representation from frozen D10C-A; not polygonal geographic area
FULL,BA,A,3011,3011,0,1.0,53765,53765,1.0,754469520.3058758,754469520.3058758,1.0,1753322771.4711585,1753322771.4711585,1.0,TI-weight and block-area representation from frozen D10C-A; not polygonal geographic area
D2,AB,B,3011,2913,98,0.9674526735303886,81081,81081,1.0,753786908.5779467,753786908.5779467,1.0,1762134514.0684016,1762134514.0684016,1.0,TI-weight and block-area representation from frozen D10C-A; not polygonal geographic area
D2,BA,A,3011,2855,156,0.9481899701095982,53765,53765,1.0,754469520.3058758,754469520.3058758,1.0,1753322771.4711585,1753322771.4711585,1.0,TI-weight and block-area representation from frozen D10C-A; not polygonal geographic area
D3,AB,B,3011,2757,254,0.9156426436399867,81081,80779,0.9962753296086629,753786908.5779467,750531718.3778129,0.9956815511610903,1762134514.0684016,1754683242.9642534,0.9957714515863237,TI-weight and block-area representation from frozen D10C-A; not polygonal geographic area
D3,BA,A,3011,2757,254,0.9156426436399867,53765,53627,0.9974332744350414,754469520.3058758,752269376.9644482,0.9970838539103136,1753322771.4711585,1737164960.7862887,0.9907844631075473,TI-weight and block-area representation from frozen D10C-A; not polygonal geographic area
