state,synthetic_species_id,world,orientation,target_fold,original_support_cells,retained_support_cells,lost_support_cells,support_fraction_retained,support_fraction_lost,latent_truth_mass_fraction_retained,latent_truth_mass_fraction_lost,A2_raw_mass_fraction_retained,A2_raw_mass_fraction_lost
D3,SYN031,STRONG,AB,B,87,86,1,0.9885057471264368,0.011494252873563204,0.9996135174200073,0.0003864825799927418,0.9999999999999999,1.1102230246251565e-16
D2,SYN032,STRONG,AB,B,169,168,1,0.9940828402366864,0.00591715976331364,0.9998800511773609,0.00011994882263910434,1.0,0.0
D3,SYN032,STRONG,AB,B,169,165,4,0.9763313609467456,0.023668639053254448,0.9995626319330356,0.000437368066964372,0.9991215953115313,0.0008784046884686703
D2,SYN033,STRONG,AB,B,148,148,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN033,STRONG,AB,B,148,147,1,0.9932432432432432,0.006756756756756799,0.9997810933843592,0.0002189066156408348,1.0,0.0
D2,SYN034,STRONG,AB,B,118,117,1,0.9915254237288136,0.008474576271186418,0.9998477829984783,0.00015221700152168172,0.9999999999999999,1.1102230246251565e-16
D3,SYN034,STRONG,AB,B,118,116,2,0.9830508474576272,0.016949152542372836,0.9994578575575304,0.0005421424424696397,0.9997028632784635,0.00029713672153652837
D2,SYN035,STRONG,AB,B,136,128,8,0.9411764705882353,0.05882352941176472,0.9809651593676374,0.019034840632362604,1.0,0.0
D3,SYN035,STRONG,AB,B,136,115,21,0.8455882352941176,0.15441176470588236,0.9590922734754427,0.04090772652455732,0.9844322077377647,0.015567792262235258
D2,SYN036,STRONG,AB,B,129,122,7,0.9457364341085271,0.054263565891472854,0.8813449774704899,0.1186550225295101,0.9999999999999998,2.220446049250313e-16
D3,SYN036,STRONG,AB,B,129,114,15,0.8837209302325582,0.11627906976744184,0.8688917349711862,0.1311082650288138,0.9873709034015764,0.012629096598423595
D2,SYN037,STRONG,AB,B,63,63,0,1.0,0.0,1.0,0.0,0.9999999999999997,3.3306690738754696e-16
D3,SYN037,STRONG,AB,B,63,62,1,0.9841269841269841,0.015873015873015928,0.9889241246474274,0.011075875352572595,0.990542751567055,0.009457248432945042
D2,SYN038,STRONG,AB,B,93,93,0,1.0,0.0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16
D3,SYN038,STRONG,AB,B,93,93,0,1.0,0.0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16
D2,SYN039,STRONG,AB,B,134,129,5,0.9626865671641791,0.03731343283582089,0.9972408348871841,0.002759165112815931,1.0,0.0
D3,SYN039,STRONG,AB,B,134,116,18,0.8656716417910447,0.13432835820895528,0.9908202752727084,0.00917972472729156,0.9944290694996042,0.00557093050039581
D2,SYN040,STRONG,AB,B,91,90,1,0.989010989010989,0.01098901098901095,0.9992752845006795,0.0007247154993205163,1.0,0.0
D3,SYN040,STRONG,AB,B,91,87,4,0.9560439560439561,0.04395604395604391,0.9975178522981984,0.0024821477018015514,0.9958371464383529,0.00416285356164714
D2,SYN041,STRONG,AB,B,62,62,0,1.0,0.0,1.0,0.0,0.9999999999999997,3.3306690738754696e-16
D3,SYN041,STRONG,AB,B,62,60,2,0.967741935483871,0.032258064516129004,0.9994668323791748,0.0005331676208252256,0.9999999999999997,3.3306690738754696e-16
D2,SYN042,STRONG,AB,B,126,125,1,0.9920634920634921,0.007936507936507908,0.9997983908760162,0.0002016091239838147,1.0,0.0
