state,observation_regime,metric,AB_median,BA_median,BA_minus_AB,interpretation
D0,O3,strong_geometry_gain_pct_median,-14.258899153668585,-31.99763008863334,-17.738730934964757,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D0,O3,paired_null_geometry_gain_pct_median,3.4915196639080515,3.281555347142415,-0.20996431676563665,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D0,O3,strong_minus_paired_null_geometry_gain_pct_median,-17.889425736445197,-34.68070838144731,-16.791282645002113,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D0,O3,strong_predictive_set_gain_pct_median,-6.442083146855686,-12.586469135930795,-6.144385989075109,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D0,O3,paired_null_predictive_set_gain_pct_median,-15.784138578770113,-12.067326434232061,3.7168121445380518,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D0,O3,strong_geometry_truth_coverage_median,0.9375,0.875,-0.0625,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D0,O3,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O1,strong_geometry_gain_pct_median,-19.87205624280423,-27.82128997235166,-7.94923372954743,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O1,paired_null_geometry_gain_pct_median,3.435062323083786,2.9148747818705405,-0.5201875412132453,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O1,strong_minus_paired_null_geometry_gain_pct_median,-21.248502998059966,-29.32360678425818,-8.075103786198213,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O1,strong_predictive_set_gain_pct_median,-4.197909928921625,-9.59551463624899,-5.397604707327364,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O1,paired_null_predictive_set_gain_pct_median,-14.265410144730875,-17.32403362035222,-3.0586234756213457,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O1,strong_geometry_truth_coverage_median,0.875,0.9375,0.0625,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O1,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O2,strong_geometry_gain_pct_median,-19.87205624280423,-27.82128997235166,-7.94923372954743,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O2,paired_null_geometry_gain_pct_median,3.435062323083786,2.9148747818705405,-0.5201875412132453,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O2,strong_minus_paired_null_geometry_gain_pct_median,-21.248502998059966,-29.32360678425818,-8.075103786198213,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O2,strong_predictive_set_gain_pct_median,-4.197909928921625,-9.59551463624899,-5.397604707327364,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O2,paired_null_predictive_set_gain_pct_median,-14.265410144730875,-17.32403362035222,-3.0586234756213457,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O2,strong_geometry_truth_coverage_median,0.875,0.9375,0.0625,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O2,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O3,strong_geometry_gain_pct_median,-19.87205624280423,-27.82128997235166,-7.94923372954743,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O3,paired_null_geometry_gain_pct_median,3.435062323083786,2.9148747818705405,-0.5201875412132453,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O3,strong_minus_paired_null_geometry_gain_pct_median,-21.248502998059966,-29.32360678425818,-8.075103786198213,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O3,strong_predictive_set_gain_pct_median,-4.197909928921625,-9.59551463624899,-5.397604707327364,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O3,paired_null_predictive_set_gain_pct_median,-14.265410144730875,-17.32403362035222,-3.0586234756213457,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O3,strong_geometry_truth_coverage_median,0.875,0.9375,0.0625,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D1,O3,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O1,strong_geometry_gain_pct_median,-21.721610633122747,-27.52822826632834,-5.806617633205594,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O1,paired_null_geometry_gain_pct_median,2.722757473128269,4.214742493580091,1.4919850204518217,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O1,strong_minus_paired_null_geometry_gain_pct_median,-24.335825515764327,-29.729416211128004,-5.393590695363677,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O1,strong_predictive_set_gain_pct_median,0.739830301908156,-11.857118854959873,-12.59694915686803,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O1,paired_null_predictive_set_gain_pct_median,-8.347561445895181,-7.353396330716159,0.9941651151790216,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O1,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O1,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O2,strong_geometry_gain_pct_median,-21.721610633122747,-27.52822826632834,-5.806617633205594,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O2,paired_null_geometry_gain_pct_median,2.722757473128269,4.214742493580091,1.4919850204518217,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O2,strong_minus_paired_null_geometry_gain_pct_median,-24.335825515764327,-29.729416211128004,-5.393590695363677,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O2,strong_predictive_set_gain_pct_median,0.739830301908156,-11.857118854959873,-12.59694915686803,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O2,paired_null_predictive_set_gain_pct_median,-8.347561445895181,-7.353396330716159,0.9941651151790216,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O2,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O2,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O3,strong_geometry_gain_pct_median,-21.721610633122747,-27.52822826632834,-5.806617633205594,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O3,paired_null_geometry_gain_pct_median,2.722757473128269,4.214742493580091,1.4919850204518217,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O3,strong_minus_paired_null_geometry_gain_pct_median,-24.335825515764327,-29.729416211128004,-5.393590695363677,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O3,strong_predictive_set_gain_pct_median,0.739830301908156,-11.857118854959873,-12.59694915686803,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O3,paired_null_predictive_set_gain_pct_median,-8.347561445895181,-7.353396330716159,0.9941651151790216,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O3,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2,O3,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O1,strong_geometry_gain_pct_median,1.9587951622241089,5.539750454202013,3.5809552919779035,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O1,paired_null_geometry_gain_pct_median,-0.14866124110542014,-0.8029733448810937,-0.6543121037756736,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O1,strong_minus_paired_null_geometry_gain_pct_median,2.928156721209879,6.342723799083107,3.4145670778732278,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O1,strong_predictive_set_gain_pct_median,8.338996279682325,-0.8853900837957017,-9.224386363478027,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O1,paired_null_predictive_set_gain_pct_median,0.8792883629510454,1.0755273454062941,0.19623898245524873,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O1,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O1,paired_null_geometry_truth_coverage_median,0.9375,0.875,-0.0625,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O2,strong_geometry_gain_pct_median,1.9587951622241089,5.539750454202013,3.5809552919779035,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O2,paired_null_geometry_gain_pct_median,-0.14866124110542014,-0.8029733448810937,-0.6543121037756736,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O2,strong_minus_paired_null_geometry_gain_pct_median,2.928156721209879,6.342723799083107,3.4145670778732278,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O2,strong_predictive_set_gain_pct_median,8.338996279682325,-0.8853900837957017,-9.224386363478027,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O2,paired_null_predictive_set_gain_pct_median,0.8792883629510454,1.0755273454062941,0.19623898245524873,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O2,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O2,paired_null_geometry_truth_coverage_median,0.9375,0.875,-0.0625,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O3,strong_geometry_gain_pct_median,1.9587951622241089,5.539750454202013,3.5809552919779035,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O3,paired_null_geometry_gain_pct_median,-0.14866124110542014,-0.8029733448810937,-0.6543121037756736,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O3,strong_minus_paired_null_geometry_gain_pct_median,2.928156721209879,6.342723799083107,3.4145670778732278,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O3,strong_predictive_set_gain_pct_median,8.338996279682325,-0.8853900837957017,-9.224386363478027,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O3,paired_null_predictive_set_gain_pct_median,0.8792883629510454,1.0755273454062941,0.19623898245524873,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O3,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D2_A0_REF,O3,paired_null_geometry_truth_coverage_median,0.9375,0.875,-0.0625,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O1,strong_geometry_gain_pct_median,-13.873969966194654,-22.46221461673508,-8.588244650540425,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O1,paired_null_geometry_gain_pct_median,3.924156816514589,4.032756453664171,0.10859963714958232,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O1,strong_minus_paired_null_geometry_gain_pct_median,-17.798126782709243,-26.49497107039925,-8.696844287690006,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O1,strong_predictive_set_gain_pct_median,-9.652558772750359,-9.768595394314419,-0.11603662156406003,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O1,paired_null_predictive_set_gain_pct_median,-3.590916176570308,-7.089880271803715,-3.4989640952334065,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O1,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O1,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O2,strong_geometry_gain_pct_median,-13.873969966194654,-22.46221461673508,-8.588244650540425,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O2,paired_null_geometry_gain_pct_median,3.924156816514589,4.032756453664171,0.10859963714958232,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O2,strong_minus_paired_null_geometry_gain_pct_median,-17.798126782709243,-26.49497107039925,-8.696844287690006,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O2,strong_predictive_set_gain_pct_median,-9.652558772750359,-9.768595394314419,-0.11603662156406003,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O2,paired_null_predictive_set_gain_pct_median,-3.590916176570308,-7.089880271803715,-3.4989640952334065,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O2,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O2,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O3,strong_geometry_gain_pct_median,-13.873969966194654,-22.46221461673508,-8.588244650540425,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O3,paired_null_geometry_gain_pct_median,3.924156816514589,4.032756453664171,0.10859963714958232,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O3,strong_minus_paired_null_geometry_gain_pct_median,-17.798126782709243,-26.49497107039925,-8.696844287690006,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O3,strong_predictive_set_gain_pct_median,-9.652558772750359,-9.768595394314419,-0.11603662156406003,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O3,paired_null_predictive_set_gain_pct_median,-3.590916176570308,-7.089880271803715,-3.4989640952334065,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O3,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3,O3,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O1,strong_geometry_gain_pct_median,11.007567731981185,11.007567731981185,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O1,paired_null_geometry_gain_pct_median,-0.2234778413422194,-0.2234778413422194,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O1,strong_minus_paired_null_geometry_gain_pct_median,11.231045573323405,11.231045573323405,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O1,strong_predictive_set_gain_pct_median,2.895106830490125,2.895106830490125,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O1,paired_null_predictive_set_gain_pct_median,1.2742499750524074,1.2742499750524074,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O1,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O1,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O2,strong_geometry_gain_pct_median,11.007567731981185,11.007567731981185,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O2,paired_null_geometry_gain_pct_median,-0.2234778413422194,-0.2234778413422194,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O2,strong_minus_paired_null_geometry_gain_pct_median,11.231045573323405,11.231045573323405,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O2,strong_predictive_set_gain_pct_median,2.895106830490125,2.895106830490125,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O2,paired_null_predictive_set_gain_pct_median,1.2742499750524074,1.2742499750524074,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O2,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O2,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O3,strong_geometry_gain_pct_median,11.007567731981185,11.007567731981185,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O3,paired_null_geometry_gain_pct_median,-0.2234778413422194,-0.2234778413422194,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O3,strong_minus_paired_null_geometry_gain_pct_median,11.231045573323405,11.231045573323405,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O3,strong_predictive_set_gain_pct_median,2.895106830490125,2.895106830490125,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O3,paired_null_predictive_set_gain_pct_median,1.2742499750524074,1.2742499750524074,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O3,strong_geometry_truth_coverage_median,1.0,1.0,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
D3_A0_REF,O3,paired_null_geometry_truth_coverage_median,0.875,0.875,0.0,DESCRIPTIVE_NO_CONSISTENCY_THRESHOLD
