state,world,orientation,metric,descriptive_cutoff,comparison,n_profiles,n_at_or_beyond_cutoff,fraction_at_or_beyond_cutoff,decision_status
D2,STRONG,AB,support_fraction_lost,0.25,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,AB,support_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,AB,latent_truth_mass_fraction_lost,0.0,>0,72,53,0.7361111111111112,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,AB,latent_truth_mass_fraction_lost,0.001,>=cutoff,72,28,0.3888888888888889,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,AB,latent_truth_mass_fraction_lost,0.01,>=cutoff,72,11,0.1527777777777778,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,AB,latent_truth_mass_fraction_lost,0.05,>=cutoff,72,3,0.041666666666666664,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,AB,latent_truth_mass_fraction_lost,0.1,>=cutoff,72,1,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,AB,latent_truth_mass_fraction_lost,0.25,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,AB,latent_truth_mass_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,support_fraction_lost,0.0,>0,72,54,0.75,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,support_fraction_lost,0.05,>=cutoff,72,16,0.2222222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,support_fraction_lost,0.1,>=cutoff,72,3,0.041666666666666664,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,support_fraction_lost,0.25,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,support_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,latent_truth_mass_fraction_lost,0.0,>0,72,58,0.8055555555555556,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,latent_truth_mass_fraction_lost,0.001,>=cutoff,72,39,0.5416666666666666,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,latent_truth_mass_fraction_lost,0.01,>=cutoff,72,16,0.2222222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,latent_truth_mass_fraction_lost,0.05,>=cutoff,72,3,0.041666666666666664,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,latent_truth_mass_fraction_lost,0.1,>=cutoff,72,2,0.027777777777777776,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,latent_truth_mass_fraction_lost,0.25,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,STRONG,BA,latent_truth_mass_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,support_fraction_lost,0.0,>0,72,57,0.7916666666666666,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,support_fraction_lost,0.05,>=cutoff,72,25,0.3472222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,support_fraction_lost,0.1,>=cutoff,72,11,0.1527777777777778,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,support_fraction_lost,0.25,>=cutoff,72,1,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,support_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.0,>0,72,64,0.8888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.001,>=cutoff,72,54,0.75,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.01,>=cutoff,72,44,0.6111111111111112,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
