statement_id,tables_declared,sql_sha256,species_or_prohibited_marker_present,purpose
LOAD_REPORTING_GROUPS,POP_EVAL;POP_EVAL_GRP,cada7735f9499e07e5258c1bbfadf715c2e7d163dc996136c0ddda8230ff7849,0,load reporting groups
LOAD_EVALUATION_TYPES,POP_EVAL;POP_EVAL_TYP,633dfe9b39184fc9f3c1d415a3a6e7efb67be4ba615c4ed7e6bc0a1e5ed58bd5,0,load evaluation types
LOAD_EVALUATIONS,POP_EVAL,993ae1defd3cd6be7777dc4815b58a7597f8b65f3d0c93ff603667f072fefa34,0,load evaluations
LOAD_SELECTED_ESTIMATION_UNITS,POP_ESTN_UNIT,98bff19874085798a484ca113038e272f68822cf1acd8a978c6e29c45e81e4eb,0,load selected estimation units
LOAD_SELECTED_STRATA,POP_STRATUM,9d5854374d6f91d59d92263759f405ccca2cfbbbf73b47b42e51b12fc821d295,0,load selected strata
LOAD_SURVEY_METADATA,SURVEY,22da1bbe38bee720f6121067222fe8b7c1610c05650096b9a337e78fc1edd85e,0,load survey metadata
LOAD_SELECTED_PLOT_STRATUM_ASSIGNMENTS,PLOT;POP_PLOT_STRATUM_ASSGN,6f89e8268890ced412ae4415bf560622f247ac3f2d00fb2fcbc5b7312db894e0,0,load selected plot stratum assignments
SCAN_PLOT_FOR_SELECTED_VISITS_AND_LINEAGES,PLOT,e517a3a468e6b14ef8e14b3a8db0fcd71d48ebffd6ef931311b8b374c9fdec3c,0,scan plot for selected visits and lineages
