table,contract_permission,read_observed,species_outcome_table,status
PLOT,ALLOWED_DESIGN_METADATA,1,0,PASS
POP_ESTN_UNIT,ALLOWED_DESIGN_METADATA,1,0,PASS
POP_EVAL,ALLOWED_DESIGN_METADATA,1,0,PASS
POP_EVAL_GRP,ALLOWED_DESIGN_METADATA,1,0,PASS
POP_EVAL_TYP,ALLOWED_DESIGN_METADATA,1,0,PASS
POP_PLOT_STRATUM_ASSGN,ALLOWED_DESIGN_METADATA,1,0,PASS
POP_STRATUM,ALLOWED_DESIGN_METADATA,1,0,PASS
SURVEY,ALLOWED_DESIGN_METADATA,1,0,PASS
