candidate_id,frame_id,state_fips,state_abbr,state_name,fold,estimator_family,selected_panels,parent_design_block_count,represented_design_block_count,missing_design_block_count,parent_area_acres,constant_response_recovered_area_acres,full_area_recovery_ratio,missing_parent_area_acres,max_represented_stratum_calibration_relative_error,constant_identity_status,full_design_coverage_status,variance_estimable_block_count_n_ge2,full_evaluation_expns_reused_as_final_fold_weight,final_estimator_selected
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,A,TI_POOLED_SELECTED_PANELS,3-4,24,24,0,42084580.29,42084580.29,1.0,0.0,1.3640360293005026e-16,PASS,PASS,24,0,0
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-4,48,48,0,42084580.29,42084580.29,1.0,0.0,1.6890784596701813e-16,PASS,PASS,48,0,0
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,B,TI_POOLED_SELECTED_PANELS,1-2-5,24,24,0,42084580.29,42084580.29,1.0,0.0,1.6119751097437059e-16,PASS,PASS,24,0,0
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-5,72,72,0,42084580.29,42084580.29,1.0,0.0,1.6061670185682367e-16,PASS,PASS,72,0,0
T1_GA_A3-5_B1-2-4,T1,13,GA,Georgia,A,TI_POOLED_SELECTED_PANELS,3-5,23,23,0,38032097.81,38032097.81,1.0,0.0,1.5851538209500678e-16,PASS,PASS,23,0,0
T1_GA_A3-5_B1-2-4,T1,13,GA,Georgia,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-5,46,46,0,38032097.81,38032097.81,1.0,0.0,1.5856719294974407e-16,PASS,PASS,45,0,0
T1_GA_A3-5_B1-2-4,T1,13,GA,Georgia,B,TI_POOLED_SELECTED_PANELS,1-2-4,23,23,0,38032097.81,38032097.81,1.0,0.0,1.6122144430752599e-16,PASS,PASS,23,0,0
T1_GA_A3-5_B1-2-4,T1,13,GA,Georgia,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-4,69,69,0,38032097.81,38032097.809999995,0.9999999999999998,7.450580596923828e-09,1.3844284381233317e-16,PASS,PASS,68,0,0
T1_ID_A1-4_B2-3-5,T1,16,ID,Idaho,A,TI_POOLED_SELECTED_PANELS,1-4,148,148,0,53484642.0,53484642.0,1.0,0.0,1.755613045091543e-16,PASS,PASS,148,0,0
T1_ID_A1-4_B2-3-5,T1,16,ID,Idaho,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-4,296,292,4,53484642.0,53316134.45097788,0.9968494217644361,168507.54902212322,1.6971164975397728e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,282,0,0
T1_ID_A1-4_B2-3-5,T1,16,ID,Idaho,B,TI_POOLED_SELECTED_PANELS,2-3-5,148,148,0,53484642.0,53484642.0,1.0,0.0,1.7570509908100808e-16,PASS,PASS,148,0,0
T1_ID_A1-4_B2-3-5,T1,16,ID,Idaho,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-3-5,444,436,8,53484642.0,53251507.26189342,0.9956410900514847,233134.7381065786,1.479837015872797e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,415,0,0
T1_IL_A1-4_B2-3-5,T1,17,IL,Illinois,A,TI_POOLED_SELECTED_PANELS,1-4,27,27,0,36057165.1,36057165.1,1.0,0.0,0.0,PASS,PASS,27,0,0
T1_IL_A1-4_B2-3-5,T1,17,IL,Illinois,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-4,54,53,1,36057165.1,36014254.35,0.9988099244663026,42910.75,0.0,PASS,CONDITIONAL_MISSING_PANEL_STRATA,51,0,0
T1_IL_A1-4_B2-3-5,T1,17,IL,Illinois,B,TI_POOLED_SELECTED_PANELS,2-3-5,27,27,0,36057165.1,36057165.1,1.0,0.0,1.3345564195309262e-16,PASS,PASS,27,0,0
T1_IL_A1-4_B2-3-5,T1,17,IL,Illinois,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-3-5,81,80,1,36057165.1,36014801.62650131,0.9988251024898601,42363.4734986946,1.276470553064391e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,75,0,0
T1_IN_A3-5_B1-2-4,T1,18,IN,Indiana,A,TI_POOLED_SELECTED_PANELS,3-5,34,34,0,23157078.3,23157078.3,1.0,0.0,1.1221846634234535e-16,PASS,PASS,31,0,0
T1_IN_A3-5_B1-2-4,T1,18,IN,Indiana,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-5,68,63,5,23157078.3,23029237.964312762,0.9944794272390037,127840.33568723872,1.5251709329734115e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,56,0,0
T1_IN_A3-5_B1-2-4,T1,18,IN,Indiana,B,TI_POOLED_SELECTED_PANELS,1-2-4,34,34,0,23157078.3,23157078.3,1.0,0.0,1.3649081451899517e-16,PASS,PASS,34,0,0
