v01_class,v02_class,class_changed,species_count
BORDERLINE_MEXICO,BORDERLINE_MEXICO,NO,94
BORDERLINE_SOUTH,BORDERLINE_OTHER_NA,YES,1
FAIL_EXTRA_NA,BORDERLINE_OTHER_NA,YES,20
FAIL_EXTRA_NA,FAIL_EXTRA_NA,NO,10
PASS_COARSE,PASS_COARSE,NO,101
RETAIN_USCA_AUDIT,RETAIN_USCA_AUDIT,NO,86
