class,species_count,percent_of_312,downstream_route
FAIL_EXTRA_NA,10,3.205128,EXCLUDE_WHOLE_RANGE_CORE
BORDERLINE_OTHER_NA,21,6.730769,HOLD_TARGETED_EXTERNAL_RANGE_AUDIT
BORDERLINE_MEXICO,94,30.128205,HOLD_TARGETED_EXTERNAL_RANGE_AUDIT
RETAIN_USCA_AUDIT,86,27.564103,RETAIN_FOR_LITTLE_OR_USCA_TRUNCATION_AUDIT
PASS_COARSE,101,32.371795,COARSE_CORE_PASS
UNKNOWN,0,0.000000,HOLD_TARGETED_REVIEW_LATER
