class,species_count,percent_of_312,downstream_route
FAIL_EXTRA_NA,30,9.615385,EXCLUDE_WHOLE_RANGE_CORE
BORDERLINE_SOUTH,1,0.320513,HOLD_TARGETED_EXTERNAL_RANGE_AUDIT
BORDERLINE_MEXICO,94,30.128205,HOLD_TARGETED_EXTERNAL_RANGE_AUDIT
RETAIN_USCA_AUDIT,86,27.564103,RETAIN_FOR_LITTLE_OR_USCA_TRUNCATION_AUDIT
PASS_COARSE,101,32.371795,COARSE_CORE_PASS
UNKNOWN,0,0.000000,HOLD_TARGETED_REVIEW_LATER
