observation_realization,AB_strong_gain_pp,AB_paired_null_gain_pp,AB_separation_pp,BA_strong_gain_pp,BA_paired_null_gain_pp,BA_separation_pp,pooled_strong_gain_pp,pooled_paired_null_gain_pp,pooled_separation_pp,BA_minus_AB_separation_pp,AB_STRONG_geometry_coverage,AB_PAIRED_NULL_geometry_coverage,BA_STRONG_geometry_coverage,BA_PAIRED_NULL_geometry_coverage,pooled_STRONG_geometry_coverage,pooled_PAIRED_NULL_geometry_coverage
19,-3.0339125783728935,3.94132588543033,-7.154497921797058,-16.11294519928086,3.0980386022272994,-20.22384902541789,-9.573428888826875,3.5196822438288144,-13.689173473607475,-13.069351103620832,1.0,0.875,0.9375,0.9375,0.96875,0.90625
20,-10.023487937334519,4.180838701567868,-11.922941382002916,-17.057647941393377,4.320621342501723,-21.54686760392395,-13.540567939363948,4.250730022034796,-16.734904492963434,-9.623926221921034,1.0,0.875,1.0,0.8125,1.0,0.84375
21,-10.954217614891663,4.16285662416213,-15.92208253474848,-18.198678928276003,4.270074985685788,-22.48353396173223,-14.576448271583832,4.216465804923959,-19.202808248240355,-6.561451426983751,1.0,0.875,0.9375,0.875,0.96875,0.875
22,-6.705322268660748,4.304747688203188,-11.426175383212657,-24.42109631490674,3.2564962748212105,-30.370841122559277,-15.563209291783744,3.780621981512199,-20.898508252885968,-18.94466573934662,1.0,0.875,0.9375,0.875,0.96875,0.875
23,-13.977939538976157,3.7996730472218703,-17.77761258619803,-19.42095460879945,2.9337104124797166,-21.49122863234697,-16.699447073887804,3.3666917298507935,-19.6344206092725,-3.7136160461489425,1.0,0.875,0.9375,0.875,0.96875,0.875
24,-8.15307804523599,4.153517520326455,-12.306595565562445,-27.029998065219445,3.359900223125358,-31.83799193987567,-17.591538055227716,3.7567088717259063,-22.07229375271906,-19.531396374313225,1.0,0.8125,0.9375,0.875,0.96875,0.84375
25,-13.998715414633063,4.73259047055341,-18.620448914278498,-30.609535555566094,4.0332783051505166,-31.95023245814806,-22.30412548509958,4.382934387851963,-25.28534068621328,-13.329783543869564,1.0,0.875,1.0,0.875,1.0,0.875
26,-11.306206609133294,3.754260905999637,-13.928303803757906,-22.624351191293368,4.228904226035295,-23.099930891763172,-16.96527890021333,3.991582566017466,-18.51411734776054,-9.171627088005266,1.0,0.875,0.9375,0.875,0.96875,0.875
27,-9.730812445099499,3.6248599751644077,-13.440170222815985,-13.012457029134579,3.8843222180097094,-17.258911461069236,-11.371634737117038,3.754591096587059,-15.34954084194261,-3.818741238253251,1.0,0.875,1.0,0.875,1.0,0.875
28,-7.611615650501403,3.46002039292693,-11.071636043428335,-26.339823638362066,3.836066123695684,-30.17588976205775,-16.975719644431734,3.648043258311307,-20.623762902743042,-19.104253718629415,1.0,0.875,0.9375,0.875,0.96875,0.875
29,-12.589679104163407,4.28052391783724,-19.29652289263987,-17.088834760528925,3.1211117895881118,-20.20994655011704,-14.839256932346167,3.7008178537126755,-19.753234721378455,-0.9134236574771677,1.0,0.875,0.9375,0.875,0.96875,0.875
30,-6.215948741130284,4.543616827801616,-11.781027520825832,-20.97478725309047,3.9935911569756666,-25.38864419258303,-13.595367997110376,4.268603992388641,-18.58483585670443,-13.607616671757198,1.0,0.8125,0.9375,0.875,0.96875,0.84375
31,-7.340884516496391,3.938375915975623,-11.279260432472014,-20.312500048441915,3.6009783887178295,-24.385494340971853,-13.826692282469153,3.769677152346726,-17.832377386721934,-13.106233908499838,1.0,0.875,0.9375,0.875,0.96875,0.875
32,-12.337084055693822,3.6338435230054627,-14.988278766671229,-24.57307954283948,2.5079819094757725,-27.081061452315254,-18.45508179926665,3.070912716240618,-21.03467010949324,-12.092782685644025,1.0,0.875,1.0,0.875,1.0,0.875
33,-11.94340876463407,3.0702632276037707,-14.398547144837742,-24.69891866877758,4.301972977370539,-27.717146282842798,-18.321163716705826,3.686118102487155,-21.05784671384027,-13.318599138005055,1.0,0.875,1.0,0.875,1.0,0.875
