state,synthetic_species_id,world,orientation,support_cells_D3,cell_mass_correlation,allocation_bias,relative_bias,allocation_rmse,relative_rmse,entropy_bias,concentration_bias,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,true_concentration,estimated_concentration
E0,SYN001,STRONG,AB,137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.049100290685988,4.049100290685988,0.025340973596092616,0.025340973596092616
E0,SYN001,STRONG,BA,137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.049100290685988,4.049100290685988,0.025340973596092616,0.025340973596092616
E0,SYN001,PAIRED_NULL,AB,137,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0404425072039825,4.0404425072039825,0.025532958944756753,0.025532958944756753
E0,SYN001,PAIRED_NULL,BA,137,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0404425072039825,4.0404425072039825,0.025532958944756753,0.025532958944756753
E0,SYN002,STRONG,AB,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334547922349198,3.334547922349198,0.054854186684438755,0.054854186684438755
E0,SYN002,STRONG,BA,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334547922349198,3.334547922349198,0.054854186684438755,0.054854186684438755
E0,SYN002,PAIRED_NULL,AB,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3345479223491976,3.3345479223491976,0.054854186684438755,0.054854186684438755
E0,SYN002,PAIRED_NULL,BA,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3345479223491976,3.3345479223491976,0.054854186684438755,0.054854186684438755
E0,SYN003,STRONG,AB,170,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9830964316522643,3.9830964316522643,0.03234618528692708,0.03234618528692708
E0,SYN003,STRONG,BA,170,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9830964316522643,3.9830964316522643,0.03234618528692708,0.03234618528692708
E0,SYN003,PAIRED_NULL,AB,170,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.954503152710883,3.954503152710883,0.03368533066816692,0.03368533066816692
