state,observation_regime,orientation,world,geometry_gain_pp,scientific_disposition
E4,O2,ALL,PAIRED_NULL,-0.23095935134740797,NOT_ASSIGNED
E4,O3,AB,STRONG,11.019420676345586,NOT_ASSIGNED
E4,O3,AB,PAIRED_NULL,-0.238435794651744,NOT_ASSIGNED
E4,O3,BA,STRONG,11.014729121198375,NOT_ASSIGNED
E4,O3,BA,PAIRED_NULL,-0.22348290804307192,NOT_ASSIGNED
E4,O3,ALL,STRONG,11.01707489877198,NOT_ASSIGNED
E4,O3,ALL,PAIRED_NULL,-0.23095935134740797,NOT_ASSIGNED
E5,O1,AB,STRONG,-9.521266119631429,NOT_ASSIGNED
E5,O1,AB,PAIRED_NULL,3.8350399484274544,NOT_ASSIGNED
E5,O1,BA,STRONG,-22.54337838128717,NOT_ASSIGNED
E5,O1,BA,PAIRED_NULL,3.549419024713737,NOT_ASSIGNED
E5,O1,ALL,STRONG,-16.0323222504593,NOT_ASSIGNED
E5,O1,ALL,PAIRED_NULL,3.692229486570595,NOT_ASSIGNED
E5,O2,AB,STRONG,-9.521266119631429,NOT_ASSIGNED
E5,O2,AB,PAIRED_NULL,3.8350399484274544,NOT_ASSIGNED
E5,O2,BA,STRONG,-22.54337838128717,NOT_ASSIGNED
E5,O2,BA,PAIRED_NULL,3.549419024713737,NOT_ASSIGNED
E5,O2,ALL,STRONG,-16.0323222504593,NOT_ASSIGNED
E5,O2,ALL,PAIRED_NULL,3.692229486570595,NOT_ASSIGNED
E5,O3,AB,STRONG,-9.521266119631429,NOT_ASSIGNED
E5,O3,AB,PAIRED_NULL,3.8350399484274544,NOT_ASSIGNED
E5,O3,BA,STRONG,-22.54337838128717,NOT_ASSIGNED
E5,O3,BA,PAIRED_NULL,3.549419024713737,NOT_ASSIGNED
E5,O3,ALL,STRONG,-16.0323222504593,NOT_ASSIGNED
E5,O3,ALL,PAIRED_NULL,3.692229486570595,NOT_ASSIGNED
