orientation,E1_separation_pp,E5_mean_separation_pp,E1_minus_E5_pp,E5_sd_pp,E1_z_relative_to_E5,empirical_fraction_E5_at_or_below_E1,scientific_disposition
AB,-17.798126782709243,-13.299176678478304,-4.498950104230939,3.3381828038136705,-1.3477243064972844,0.11,NOT_ASSIGNED
BA,-26.49497107039923,-25.719602626758693,-0.7753684436405379,3.9555152966350198,-0.19602210723344907,0.435,NOT_ASSIGNED
ALL,-22.14654892655424,-19.5093896526185,-2.6371592739357403,2.3860625650836362,-1.1052347547488985,0.15,NOT_ASSIGNED
