world,orientation,profile_cells,accepted_realizations,empirical_central95_truth_containment_fraction,current_E1_poisson_interval_coverage,empirical_variance_mean,empirical_variance_median,mean_poisson_plugin_variance_mean,mean_poisson_plugin_variance_median,variance_ratio_empirical_to_poisson_mean,variance_ratio_empirical_to_poisson_median,empirical_variance_normal_interval_coverage_mean,empirical_variance_normal_interval_coverage_median,poisson_plugin_interval_coverage_mean,poisson_plugin_interval_coverage_median
PAIRED_NULL,AB,8300,200,0.9979518072289156,0.7225301204819277,53478624357.79888,12682385895.043346,53438407759.614586,12796398534.906038,0.9989629742742685,0.9943469840950172,0.9504746987951807,0.955,0.7263981927710843,0.88
PAIRED_NULL,BA,8300,200,0.9962650602409638,0.6687951807228916,82596783607.66353,19490540217.951157,82625051320.17943,19522709430.032585,1.0006570980880156,0.9911751409470513,0.9493746987951807,0.955,0.6707963855421687,0.84
STRONG,AB,8300,200,0.9987951807228915,0.7360240963855421,55156321138.71297,13413472575.774729,55149071369.33607,13624076451.143303,0.9987739802648985,0.9921448856110846,0.9508656626506024,0.955,0.7349843373493976,0.885
STRONG,BA,8300,200,0.9973493975903615,0.6785542168674699,84307876615.9981,20803594334.583427,84496536050.69733,20690000127.178146,0.9995940054289911,0.9925182055362362,0.9483861445783133,0.95,0.6805397590361445,0.845
