scope,predictor,outcome,statistic,value,n,threshold_applied
AB,plots_per_occupied_cell,E4_hellinger,pearson_r,-0.24461932371223602,144,NO
AB,plots_per_occupied_cell,E4_hellinger,spearman_rho,-0.17840692645623568,144,NO
AB,plots_per_occupied_cell,E5_minus_E0_individual_gain_pp,pearson_r,0.09882459314797046,98,NO
AB,plots_per_occupied_cell,E5_minus_E0_individual_gain_pp,spearman_rho,0.06710686231058707,98,NO
AB,target_fold_TI_sum_in_support,E1_hellinger,pearson_r,0.33748965038817913,144,NO
AB,target_fold_TI_sum_in_support,E1_hellinger,spearman_rho,0.33246517397960945,144,NO
AB,target_fold_TI_sum_in_support,E4_hellinger,pearson_r,0.4943524032107954,144,NO
AB,target_fold_TI_sum_in_support,E4_hellinger,spearman_rho,0.4959847602629629,144,NO
AB,target_fold_TI_sum_in_support,E5_minus_E0_individual_gain_pp,pearson_r,0.05225524285010604,98,NO
AB,target_fold_TI_sum_in_support,E5_minus_E0_individual_gain_pp,spearman_rho,0.04371765944520952,98,NO
AB,kish_effective_plot_information,E1_hellinger,pearson_r,0.17441468642724928,144,NO
AB,kish_effective_plot_information,E1_hellinger,spearman_rho,0.16345527811845978,144,NO
AB,kish_effective_plot_information,E4_hellinger,pearson_r,0.3205308954933355,144,NO
AB,kish_effective_plot_information,E4_hellinger,spearman_rho,0.32383180284263563,144,NO
AB,kish_effective_plot_information,E5_minus_E0_individual_gain_pp,pearson_r,0.0915094663316852,98,NO
AB,kish_effective_plot_information,E5_minus_E0_individual_gain_pp,spearman_rho,0.053818122187509976,98,NO
AB,mean_expected_total_tree_count,E1_hellinger,pearson_r,-0.2848614253922588,144,NO
AB,mean_expected_total_tree_count,E1_hellinger,spearman_rho,-0.26626075074350936,144,NO
AB,mean_expected_total_tree_count,E4_hellinger,pearson_r,-0.2712174097471355,144,NO
AB,mean_expected_total_tree_count,E4_hellinger,spearman_rho,-0.1843863033518206,144,NO
AB,mean_expected_total_tree_count,E5_minus_E0_individual_gain_pp,pearson_r,0.12596879827858,98,NO
AB,mean_expected_total_tree_count,E5_minus_E0_individual_gain_pp,spearman_rho,0.07321054007357393,98,NO
AB,D3_support_cells,E1_hellinger,pearson_r,0.7516039049915167,144,NO
AB,D3_support_cells,E1_hellinger,spearman_rho,0.7516062084919027,144,NO
AB,D3_support_cells,E4_hellinger,pearson_r,0.7938451369698183,144,NO
