state,observation_regime,orientation,strong_gain_pp,paired_null_gain_pp,separation_pp,strong_geometry_coverage,paired_null_geometry_coverage,separation_mcse_pp,observation_realizations,regime_applicability
E3,O3,ALL,11.007567731981185,-0.2234778413422194,11.231045573323405,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O1,AB,11.019420676345586,-0.238435794651744,11.25785647099733,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O1,BA,11.014729121198375,-0.22348290804307192,11.238212029241447,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O1,ALL,11.01707489877198,-0.23095935134740797,11.248034250119389,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O2,AB,11.019420676345586,-0.238435794651744,11.25785647099733,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O2,BA,11.014729121198375,-0.22348290804307192,11.238212029241447,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O2,ALL,11.01707489877198,-0.23095935134740797,11.248034250119389,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O3,AB,11.019420676345586,-0.238435794651744,11.25785647099733,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O3,BA,11.014729121198375,-0.22348290804307192,11.238212029241447,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E4,O3,ALL,11.01707489877198,-0.23095935134740797,11.248034250119389,1.0,0.875,0.0,1,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O1,AB,-9.521266119631429,3.8350399484274544,-13.299176678478304,0.9975,0.8584375,0.23604516974169687,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O1,BA,-22.54337838128717,3.549419024713737,-25.719602626758693,0.951875,0.874375,0.27969716893377405,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O1,ALL,-16.0323222504593,3.692229486570595,-19.5093896526185,0.9746875,0.86640625,0.1687201020106007,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O2,AB,-9.521266119631429,3.8350399484274544,-13.299176678478304,0.9975,0.8584375,0.23604516974169687,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O2,BA,-22.54337838128717,3.549419024713737,-25.719602626758693,0.951875,0.874375,0.27969716893377405,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O2,ALL,-16.0323222504593,3.692229486570595,-19.5093896526185,0.9746875,0.86640625,0.1687201020106007,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O3,AB,-9.521266119631429,3.8350399484274544,-13.299176678478304,0.9975,0.8584375,0.23604516974169687,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O3,BA,-22.54337838128717,3.549419024713737,-25.719602626758693,0.951875,0.874375,0.27969716893377405,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
E5,O3,ALL,-16.0323222504593,3.692229486570595,-19.5093896526185,0.9746875,0.86640625,0.1687201020106007,200,LABEL_ONLY_A2_IS_REGIME_INVARIANT
