K,block,start_realization,end_realization,orientation,strong_gain_pp,paired_null_gain_pp,separation_pp,strong_geometry_coverage,paired_null_geometry_coverage,STRONG_hellinger_median,PAIRED_NULL_hellinger_median,STRONG_sliced_wasserstein_km_median,PAIRED_NULL_sliced_wasserstein_km_median,STRONG_geometry_coverage_crosscheck,PAIRED_NULL_geometry_coverage_crosscheck,BA_minus_AB_separation_pp
1,12,12,12,AB,-10.75832218078225,3.054020968099432,-11.425173048688524,1.0,0.875,0.10826223617676844,0.11571216372382764,3.131221474279618,3.2593025272272538,1.0,0.875,-13.708778516790868
1,12,12,12,BA,-22.069566913673835,2.9799299123320213,-25.133951565479393,0.9375,0.875,0.13245352782192368,0.1348701879911352,3.696816114949992,4.754108961036215,0.9375,0.875,-13.708778516790868
1,13,13,13,AB,-3.2759929524374822,4.001299395086556,-7.951062497942245,1.0,0.875,0.10593348471062297,0.11068061250525796,2.957763330334256,3.628519291416855,1.0,0.875,-20.106229668068988
1,13,13,13,BA,-25.64167753730735,3.7028049897124133,-28.057292166011234,0.9375,0.875,0.13523183031173003,0.13472821135900934,3.9268585947055348,4.390149360819855,0.9375,0.875,-20.106229668068988
1,14,14,14,AB,-12.748518931062167,3.805481184700668,-16.554000115762836,1.0,0.875,0.10953927480399289,0.11023698748287733,2.9079172395443327,3.626137535015781,1.0,0.875,-11.525060735718814
1,14,14,14,BA,-24.408785772826878,3.670275078654773,-28.07906085148165,0.9375,0.875,0.13464360223378347,0.13277700176443774,3.8094742310025156,4.49311067211743,0.9375,0.875,-11.525060735718814
1,15,15,15,AB,-9.385640548989228,2.3036426467179334,-11.637530918418966,1.0,0.875,0.109438454748063,0.11173511524437527,2.950842428984238,3.4345563786496998,1.0,0.875,-9.836232960081562
1,15,15,15,BA,-21.642716210051923,4.119900668535512,-21.473763878500527,0.9375,0.875,0.13651131786029247,0.1371052263187359,3.6464599726955687,4.721127633922421,0.9375,0.875,-9.836232960081562
1,16,16,16,AB,-7.62549627089146,3.9430956714438294,-12.250129971672571,1.0,0.875,0.10900239296895928,0.11027798880574363,2.7381894357002428,3.757477849089153,1.0,0.875,-12.942947386710056
1,16,16,16,BA,-21.29442045042903,3.898656907953596,-25.193077358382627,0.9375,0.8125,0.1333605588286568,0.13729788712223023,3.432825661376002,4.535463087793264,0.9375,0.8125,-12.942947386710056
1,17,17,17,AB,-12.879637324702545,4.45812180726485,-17.337759131967395,1.0,0.8125,0.10904126177072485,0.11124080165016763,2.945964759832879,3.720325941901619,1.0,0.8125,-16.59886173397056
1,17,17,17,BA,-30.15485745680453,3.781763409133427,-33.936620865937954,0.9375,0.875,0.13063481775106345,0.13959957023604308,3.523909532229961,4.66221794275834,0.9375,0.875,-16.59886173397056
1,18,18,18,AB,-7.359397263047775,4.42860191052392,-11.787999173571695,1.0,0.8125,0.10758733327399794,0.11242104539557868,2.886089098120454,3.586260028358142,1.0,0.8125,-9.03479239502898
1,18,18,18,BA,-17.202193860039213,3.2017814471927823,-20.822791568600675,0.9375,0.875,0.1351253611175786,0.13635714624015471,3.9886593002059567,4.419539809762123,0.9375,0.875,-9.03479239502898
