component,definition,observation_regime,orientation,metric,left_state,right_state,left_value_pp,right_value_pp,component_value_pp,scientific_disposition
B_NORMALIZATION_NONLINEARITY,E4 - E3,O1,ALL,separation_pp,E4,E3,11.248034250119389,11.231045573323405,0.016988676795984148,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,AB,strong_gain_pp,E4,E3,11.019420676345586,11.007567731981185,0.011852944364401097,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,AB,paired_null_gain_pp,E4,E3,-0.238435794651744,-0.2234778413422194,-0.014957953309524596,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,AB,separation_pp,E4,E3,11.25785647099733,11.231045573323405,0.026810897673925638,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,BA,strong_gain_pp,E4,E3,11.014729121198375,11.007567731981185,0.007161389217190006,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,BA,paired_null_gain_pp,E4,E3,-0.22348290804307192,-0.2234778413422194,-5.066700852512929e-06,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,BA,separation_pp,E4,E3,11.238212029241447,11.231045573323405,0.007166455918042658,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,ALL,strong_gain_pp,E4,E3,11.01707489877198,11.007567731981185,0.009507166790795551,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,ALL,paired_null_gain_pp,E4,E3,-0.23095935134740797,-0.2234778413422194,-0.007481510005188569,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O2,ALL,separation_pp,E4,E3,11.248034250119389,11.231045573323405,0.016988676795984148,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,AB,strong_gain_pp,E4,E3,11.019420676345586,11.007567731981185,0.011852944364401097,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,AB,paired_null_gain_pp,E4,E3,-0.238435794651744,-0.2234778413422194,-0.014957953309524596,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,AB,separation_pp,E4,E3,11.25785647099733,11.231045573323405,0.026810897673925638,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,BA,strong_gain_pp,E4,E3,11.014729121198375,11.007567731981185,0.007161389217190006,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,BA,paired_null_gain_pp,E4,E3,-0.22348290804307192,-0.2234778413422194,-5.066700852512929e-06,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,BA,separation_pp,E4,E3,11.238212029241447,11.231045573323405,0.007166455918042658,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,ALL,strong_gain_pp,E4,E3,11.01707489877198,11.007567731981185,0.009507166790795551,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,ALL,paired_null_gain_pp,E4,E3,-0.23095935134740797,-0.2234778413422194,-0.007481510005188569,NOT_ASSIGNED
B_NORMALIZATION_NONLINEARITY,E4 - E3,O3,ALL,separation_pp,E4,E3,11.248034250119389,11.231045573323405,0.016988676795984148,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,AB,strong_gain_pp,E5,E4,-9.521266119631429,11.019420676345586,-20.540686795977017,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,AB,paired_null_gain_pp,E5,E4,3.8350399484274544,-0.238435794651744,4.073475743079198,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,AB,separation_pp,E5,E4,-13.299176678478304,11.25785647099733,-24.557033149475636,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,BA,strong_gain_pp,E5,E4,-22.54337838128717,11.014729121198375,-33.55810750248554,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,BA,paired_null_gain_pp,E5,E4,3.549419024713737,-0.22348290804307192,3.772901932756809,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,BA,separation_pp,E5,E4,-25.719602626758693,11.238212029241447,-36.95781465600014,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,ALL,strong_gain_pp,E5,E4,-16.0323222504593,11.01707489877198,-27.04939714923128,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,ALL,paired_null_gain_pp,E5,E4,3.692229486570595,-0.23095935134740797,3.923188837918003,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O1,ALL,separation_pp,E5,E4,-19.5093896526185,11.248034250119389,-30.757423902737887,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,AB,strong_gain_pp,E5,E4,-9.521266119631429,11.019420676345586,-20.540686795977017,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,AB,paired_null_gain_pp,E5,E4,3.8350399484274544,-0.238435794651744,4.073475743079198,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,AB,separation_pp,E5,E4,-13.299176678478304,11.25785647099733,-24.557033149475636,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,BA,strong_gain_pp,E5,E4,-22.54337838128717,11.014729121198375,-33.55810750248554,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,BA,paired_null_gain_pp,E5,E4,3.549419024713737,-0.22348290804307192,3.772901932756809,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,BA,separation_pp,E5,E4,-25.719602626758693,11.238212029241447,-36.95781465600014,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,ALL,strong_gain_pp,E5,E4,-16.0323222504593,11.01707489877198,-27.04939714923128,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,ALL,paired_null_gain_pp,E5,E4,3.692229486570595,-0.23095935134740797,3.923188837918003,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O2,ALL,separation_pp,E5,E4,-19.5093896526185,11.248034250119389,-30.757423902737887,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,AB,strong_gain_pp,E5,E4,-9.521266119631429,11.019420676345586,-20.540686795977017,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,AB,paired_null_gain_pp,E5,E4,3.8350399484274544,-0.238435794651744,4.073475743079198,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,AB,separation_pp,E5,E4,-13.299176678478304,11.25785647099733,-24.557033149475636,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,BA,strong_gain_pp,E5,E4,-22.54337838128717,11.014729121198375,-33.55810750248554,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,BA,paired_null_gain_pp,E5,E4,3.549419024713737,-0.22348290804307192,3.772901932756809,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,BA,separation_pp,E5,E4,-25.719602626758693,11.238212029241447,-36.95781465600014,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,ALL,strong_gain_pp,E5,E4,-16.0323222504593,11.01707489877198,-27.04939714923128,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,ALL,paired_null_gain_pp,E5,E4,3.692229486570595,-0.23095935134740797,3.923188837918003,NOT_ASSIGNED
C_FINITE_REALIZATION_DOWNSTREAM,E5 - E4,O3,ALL,separation_pp,E5,E4,-19.5093896526185,11.248034250119389,-30.757423902737887,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,AB,strong_gain_pp,E1,E5,-13.873969966194654,-9.521266119631429,-4.352703846563225,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,AB,paired_null_gain_pp,E1,E5,3.924156816514589,3.8350399484274544,0.08911686808713437,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,AB,separation_pp,E1,E5,-17.798126782709243,-13.299176678478304,-4.498950104230939,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,BA,strong_gain_pp,E1,E5,-22.46221461673506,-22.54337838128717,0.08116376455210883,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,BA,paired_null_gain_pp,E1,E5,4.032756453664171,3.549419024713737,0.48333742895043397,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,BA,separation_pp,E1,E5,-26.49497107039923,-25.719602626758693,-0.7753684436405379,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,ALL,strong_gain_pp,E1,E5,-18.16809229146486,-16.0323222504593,-2.1357700410055607,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,ALL,paired_null_gain_pp,E1,E5,3.9784566350893797,3.692229486570595,0.2862271485187846,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O1,ALL,separation_pp,E1,E5,-22.14654892655424,-19.5093896526185,-2.6371592739357403,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,AB,strong_gain_pp,E1,E5,-13.873969966194654,-9.521266119631429,-4.352703846563225,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,AB,paired_null_gain_pp,E1,E5,3.924156816514589,3.8350399484274544,0.08911686808713437,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,AB,separation_pp,E1,E5,-17.798126782709243,-13.299176678478304,-4.498950104230939,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,BA,strong_gain_pp,E1,E5,-22.46221461673506,-22.54337838128717,0.08116376455210883,NOT_ASSIGNED
