state,world,orientation,metric,n,mean,sd,mcse,q05,median,q95,min,max
E1,PAIRED_NULL,BA,relative_bias,72,1.5122173322102943e-17,1.181520285789993e-16,1.3924350103192863e-17,-1.8344700758454735e-16,1.940721888749053e-17,2.1128931937397515e-16,-3.150691513242875e-16,2.5725407047649806e-16
E1,PAIRED_NULL,BA,relative_rmse,72,0.34102708621971906,0.08826270968932777,0.010401860091203877,0.21378315700326014,0.3419902131796201,0.47629823505937907,0.15685067364974578,0.5837095548168052
E1,PAIRED_NULL,BA,entropy_bias,72,-0.05576101128383201,0.04096439329987405,0.00482770004825562,-0.12280929028717331,-0.05581506042577211,0.007012944974597447,-0.1346861523388303,0.024621437106565836
E1,PAIRED_NULL,BA,concentration_bias,72,0.0009430204955942258,0.0031349175985380577,0.0003694535820645513,-0.002305582031318838,0.0006898647618836986,0.005999034838568968,-0.012566292198195647,0.010682151758098599
E1,STRONG,AB,hellinger_distance,72,0.1064877791754779,0.018440969551254245,0.0021732891035577536,0.07316841777891152,0.11015049846753557,0.13178959409374272,0.0670127834358157,0.1364389953673425
E1,STRONG,AB,sliced_wasserstein_km,72,3.130515485388358,1.3770196013311218,0.16228331632133874,1.4952635962160048,2.8360453592739057,5.782834992198015,1.0645179195997112,8.053214563302738
E1,STRONG,AB,cell_mass_correlation,72,0.987302143347761,0.008119211565216422,0.0009568582592754625,0.9729567505924013,0.9885391443317677,0.9964645623308519,0.9530873857936377,0.9983621799353334
E1,STRONG,AB,relative_bias,72,1.237425726905212e-17,1.0674915584013313e-16,1.258050866341628e-17,-1.3352220804702107e-16,9.540979117872437e-18,1.8774180344030562e-16,-2.894819800536297e-16,2.0664893407573717e-16
E1,STRONG,AB,relative_rmse,72,0.2689553079063354,0.06084096241772052,0.007170176183247679,0.1755683171133081,0.2799593461337968,0.36855533883003405,0.13784549354613543,0.40972003029395265
E1,STRONG,AB,entropy_bias,72,-0.04181720844946604,0.03138175598938941,0.0036983754109398007,-0.09219828535813528,-0.04459900599427358,0.01270621751841641,-0.11312641961325731,0.034863700297481426
E1,STRONG,AB,concentration_bias,72,0.000655644248408441,0.001823833675011343,0.0002149408598928171,-0.0027498387911328442,0.0007779457804069217,0.003379354988751007,-0.005956662682891023,0.004762671268253568
E1,STRONG,BA,hellinger_distance,72,0.12991115297950945,0.02254672545131764,0.0026571570766963375,0.09383387547907425,0.13240392320512245,0.16325174120539365,0.08480464241641482,0.18293007351274948
E1,STRONG,BA,sliced_wasserstein_km,72,3.8075148516374875,1.4740143832216768,0.1737142609904257,1.5865760198676917,3.58396411302476,6.138740103527712,1.0558607914171965,8.225262060910245
E1,STRONG,BA,cell_mass_correlation,72,0.9813161647816003,0.011308108896922893,0.0013326734139016846,0.9569963215863986,0.9830225477569142,0.9946034622681087,0.941744093947512,0.9974580303727147
E1,STRONG,BA,relative_bias,72,2.0541960692495597e-18,1.1644863405665402e-16,1.3723603133561801e-17,-1.97089659046204e-16,-8.673617379884035e-18,1.8316511501970115e-16,-3.018418848199645e-16,2.4633073358870666e-16
E1,STRONG,BA,relative_rmse,72,0.32864153326994694,0.07081229301944493,0.00834530876423639,0.21093779984124966,0.3278861250895727,0.43630314037277174,0.17917793217835784,0.49717437851047364
E1,STRONG,BA,entropy_bias,72,-0.0537078717368328,0.04184432804032057,0.004931401351917513,-0.12840459987841082,-0.045135973522113515,0.006177457312461379,-0.15945340668669772,0.04468998928128132
