layer,model,world,observation_regime,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_support_dispersion,geometry_support_dispersion,source
L2,M0,STRONG,O2,BA,1,9042101,72,28,28,16,0.4,-71.72153262371913,-114.25015258683581,-53.82563857454647,0.875,1.0,0.875,0.875,150.60457206006978,322.6705254414506,55.3591386368133,95.06356131442524,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O2,BA,2,9042102,72,28,28,16,0.4,-42.92083067481943,-53.303657457251965,-44.99819059400859,0.8125,0.9375,0.875,1.0,177.4281569176482,272.0038539137469,60.52198866553391,86.49852894170112,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O2,BA,3,9042103,72,28,28,16,0.4,-39.69263551882243,-58.85044126617608,-27.0763193807718,0.875,1.0,0.8125,0.875,208.45588413612836,331.13309179554864,70.0934735169712,97.9154204825449,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O2,BA,4,9042104,72,28,28,16,0.4,-37.59234035866962,-137.72175547241207,-22.912592718492746,0.875,0.875,0.875,0.8125,150.60457206006978,358.0198325229117,56.70760759905527,78.02532445695093,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O2,BA,5,9042105,72,28,28,16,0.4,-35.14871097530828,-92.93990732469786,-9.990731490253777,1.0,1.0,0.9375,0.9375,246.30319839382614,475.21716271881485,63.63062361214685,85.99596759736662,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,AB,1,9042101,72,28,28,16,0.4,-68.9852331066636,-150.1488555392404,-55.63330170032406,1.0,1.0,1.0,1.0,157.10362786069413,392.9929271041536,46.98387497543473,79.39581064978177,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,AB,2,9042102,72,28,28,16,0.4,-45.59009734339716,-143.84749203816165,-48.7140137911625,0.8125,0.875,0.625,0.75,118.31203747074194,288.5009361516543,57.27568702330865,83.38772849133456,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,AB,3,9042103,72,28,28,16,0.4,-27.21756106520131,-61.35327223854004,-12.198155119420772,0.8125,0.8125,0.75,0.8125,156.4154087431893,252.3813802924234,75.33916814304459,95.84465223839244,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,AB,4,9042104,72,28,28,16,0.4,-19.18309415266746,-126.4602088214301,3.8625458008636233,1.0,1.0,0.9375,0.9375,164.81991263809982,373.25151833953953,48.42918342152457,57.71939927464365,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,AB,5,9042105,72,28,28,16,0.4,-10.468399191482666,-100.60871351314938,18.449952619092738,1.0,1.0,0.875,0.9375,169.7774143345258,340.58828673238145,59.24962619115935,65.45211358031118,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,BA,1,9042101,72,28,28,16,0.6000000000000001,-55.41758766297965,-51.58661068425437,-40.40276236885165,1.0,1.0,1.0,1.0,219.31764657079714,332.4561870691432,48.661966587648166,75.62925457988796,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,BA,2,9042102,72,28,28,16,0.6000000000000001,-41.81168691275361,-2.1174232621464624,-53.14440391104997,0.75,1.0,0.9375,1.0,244.36363507605728,249.5378475293844,59.577122232417175,84.48732205186397,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
