world,observation_regime,orientation,replicate,split_seed,l2_model,l0_latent_truth_geometry_gain_pct,l1_latent_truth_geometry_gain_pct,l2_latent_truth_geometry_gain_pct,comparator_component_latent_truth_geometry_gain_pct,abundance_observation_increment_latent_truth_geometry_gain_pct,support_recovery_increment_latent_truth_geometry_gain_pct,l0_predictive_set_gain_pct,l1_predictive_set_gain_pct,l2_predictive_set_gain_pct,comparator_component_predictive_set_gain_pct,abundance_observation_increment_predictive_set_gain_pct,support_recovery_increment_predictive_set_gain_pct,l0_observed_map_error_gain_pct,l1_observed_map_error_gain_pct,l2_observed_map_error_gain_pct,comparator_component_observed_map_error_gain_pct,abundance_observation_increment_observed_map_error_gain_pct,support_recovery_increment_observed_map_error_gain_pct,interpretation_scope
PAIRED_NULL,O1,AB,1,9042101,M0,-1.0611817430399872,2.769219461119131,-16.887227485694325,-1.0611817430399872,3.8304012041591182,-19.656446946813457,0.8657599999049954,-2.1523106396612985,-1.474171712090163,0.8657599999049954,-3.018070639566294,0.6781389275711356,-1.0611817430399872,3.8207476776694356,-13.438467252096212,-1.0611817430399872,4.881929420709422,-17.259214929765648,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,1,9042101,M1,-1.0611817430399872,2.769219461119131,64.61050681926363,-1.0611817430399872,3.8304012041591182,61.841287358144506,0.8657599999049954,-2.1523106396612985,68.43349065890584,0.8657599999049954,-3.018070639566294,70.58580129856713,-1.0611817430399872,3.8207476776694356,69.99037623725201,-1.0611817430399872,4.881929420709422,66.16962855958258,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,1,9042101,M2,-1.0611817430399872,2.769219461119131,48.73256576178855,-1.0611817430399872,3.8304012041591182,45.96334630066942,0.8657599999049954,-2.1523106396612985,51.253025139061315,0.8657599999049954,-3.018070639566294,53.405335778722616,-1.0611817430399872,3.8207476776694356,57.15532656230167,-1.0611817430399872,4.881929420709422,53.33457888463223,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,2,9042102,M0,0.07903020637063185,3.59396616694651,-3.7090046044519416,0.07903020637063185,3.514935960575878,-7.302970771398451,-4.156639385155877,-8.7924373269185,-40.69980197505857,-4.156639385155877,-4.635797941762624,-31.907364648140067,0.07903020637063185,4.777694290783622,1.5190343524980523,0.07903020637063185,4.69866408441299,-3.25865993828557,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,2,9042102,M1,0.07903020637063185,3.59396616694651,56.95607888426114,0.07903020637063185,3.514935960575878,53.36211271731463,-4.156639385155877,-8.7924373269185,70.80572184301674,-4.156639385155877,-4.635797941762624,79.59815916993524,0.07903020637063185,4.777694290783622,66.35379963056336,0.07903020637063185,4.69866408441299,61.57610533977974,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,2,9042102,M2,0.07903020637063185,3.59396616694651,34.92625087361272,0.07903020637063185,3.514935960575878,31.332284706666215,-4.156639385155877,-8.7924373269185,53.34301398771313,-4.156639385155877,-4.635797941762624,62.13545131463163,0.07903020637063185,4.777694290783622,45.91862265537514,0.07903020637063185,4.69866408441299,41.14092836459152,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,3,9042103,M0,0.00927655422760851,7.525644760284854,-8.977380656254022,0.00927655422760851,7.516368206057246,-16.503025416538875,0.8796376374226401,-9.334740630595562,7.306012223938481,0.8796376374226401,-10.214378268018201,16.640752854534043,0.00927655422760851,7.101256710706834,-0.3887501122321293,0.00927655422760851,7.0919801564792255,-7.490006822938963,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,3,9042103,M1,0.00927655422760851,7.525644760284854,69.13711681724656,0.00927655422760851,7.516368206057246,61.61147205696171,0.8796376374226401,-9.334740630595562,80.2645300074706,0.8796376374226401,-10.214378268018201,89.59927063806616,0.00927655422760851,7.101256710706834,76.27380226710136,0.00927655422760851,7.0919801564792255,69.17254555639452,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,3,9042103,M2,0.00927655422760851,7.525644760284854,44.395275954738615,0.00927655422760851,7.516368206057246,36.86963119445376,0.8796376374226401,-9.334740630595562,49.926433501716105,0.8796376374226401,-10.214378268018201,59.261174132311666,0.00927655422760851,7.101256710706834,53.104160701273884,0.00927655422760851,7.0919801564792255,46.00290399056705,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,4,9042104,M0,-0.626901413650428,2.616545099139082,11.247228804736537,-0.626901413650428,3.24344651278951,8.630683705597455,0.7559535452712589,18.303507862924768,-72.87048491889941,0.7559535452712589,17.54755431765351,-91.17399278182418,-0.626901413650428,5.0355320166524615,8.781257228855225,-0.626901413650428,5.662433430302889,3.745725212202763,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,4,9042104,M1,-0.626901413650428,2.616545099139082,69.81295944123002,-0.626901413650428,3.24344651278951,67.19641434209093,0.7559535452712589,18.303507862924768,57.26147298607192,0.7559535452712589,17.54755431765351,38.957965123147154,-0.626901413650428,5.0355320166524615,70.9918833558005,-0.626901413650428,5.662433430302889,65.95635133914803,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,4,9042104,M2,-0.626901413650428,2.616545099139082,55.07095284520696,-0.626901413650428,3.24344651278951,52.45440774606788,0.7559535452712589,18.303507862924768,54.088357581195616,0.7559535452712589,17.54755431765351,35.78484971827085,-0.626901413650428,5.0355320166524615,54.99132124218426,-0.626901413650428,5.662433430302889,49.9557892255318,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,5,9042105,M0,-0.7259338177271845,7.085364935100259,10.310043512491932,-0.7259338177271845,7.811298752827443,3.224678577391673,0.6652237974442362,-22.15925380847179,-33.497094483593685,0.6652237974442362,-22.824477605916027,-11.337840675121896,-0.7259338177271845,10.310599119004662,10.302037127896789,-0.7259338177271845,11.036532936731847,-0.008561991107873368,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,5,9042105,M1,-0.7259338177271845,7.085364935100259,67.13826019483139,-0.7259338177271845,7.811298752827443,60.05289525973113,0.6652237974442362,-22.15925380847179,66.36153852516573,0.6652237974442362,-22.824477605916027,88.52079233363752,-0.7259338177271845,10.310599119004662,71.86195753443077,-0.7259338177271845,11.036532936731847,61.55135841542611,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,AB,5,9042105,M2,-0.7259338177271845,7.085364935100259,47.847177015122284,-0.7259338177271845,7.811298752827443,40.761812080022025,0.6652237974442362,-22.15925380847179,48.209658528127385,0.6652237974442362,-22.824477605916027,70.36891233659918,-0.7259338177271845,10.310599119004662,53.08080726165162,-0.7259338177271845,11.036532936731847,42.77020814264696,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,1,9042101,M0,-1.0611817430399872,1.1477772868491931,0.4711742173057862,-1.0611817430399872,2.20895902988918,-0.6766030695434069,0.8657599999049954,-1.606095001551323,-7.125306735134683,0.8657599999049954,-2.4718550014563183,-5.51921173358336,-1.0611817430399872,1.635034569774674,4.430852301093045,-1.0611817430399872,2.696216312814661,2.7958177313183716,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,1,9042101,M1,-1.0611817430399872,1.1477772868491931,62.45393330129959,-1.0611817430399872,2.20895902988918,61.3061560144504,0.8657599999049954,-1.606095001551323,66.35150568324515,0.8657599999049954,-2.4718550014563183,67.95760068479647,-1.0611817430399872,1.635034569774674,66.80066332968734,-1.0611817430399872,2.696216312814661,65.16562875991266,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,1,9042101,M2,-1.0611817430399872,1.1477772868491931,48.177098722192284,-1.0611817430399872,2.20895902988918,47.02932143534309,0.8657599999049954,-1.606095001551323,49.317875608056575,0.8657599999049954,-2.4718550014563183,50.9239706096079,-1.0611817430399872,1.635034569774674,53.25404160655689,-1.0611817430399872,2.696216312814661,51.619007036782214,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,2,9042102,M0,0.07903020637063185,3.3428602825614493,-3.7694692054184555,0.07903020637063185,3.2638300761908177,-7.112329487979904,-4.156639385155877,7.174272125379627,-21.559119941067607,-4.156639385155877,11.330911510535504,-28.733392066447234,0.07903020637063185,4.074071156830498,5.855733696473133,0.07903020637063185,3.995040950459866,1.7816625396426353,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,2,9042102,M1,0.07903020637063185,3.3428602825614493,45.94775899120196,0.07903020637063185,3.2638300761908177,42.60489870864051,-4.156639385155877,7.174272125379627,69.18939555575325,-4.156639385155877,11.330911510535504,62.01512343037362,0.07903020637063185,4.074071156830498,56.192969512075294,0.07903020637063185,3.995040950459866,52.118898355244795,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,2,9042102,M2,0.07903020637063185,3.3428602825614493,26.745218995924567,0.07903020637063185,3.2638300761908177,23.402358713363117,-4.156639385155877,7.174272125379627,32.716974268799895,-4.156639385155877,11.330911510535504,25.542702143420268,0.07903020637063185,4.074071156830498,34.83134362624603,0.07903020637063185,3.995040950459866,30.757272469415533,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,3,9042103,M0,0.00927655422760851,6.737663048850251,-15.843648719893459,0.00927655422760851,6.728386494622643,-22.58131176874371,0.8796376374226401,-6.623111727603238,1.5581118932323674,0.8796376374226401,-7.502749365025878,8.181223620835606,0.00927655422760851,6.39685226827999,-0.35828817489646747,0.00927655422760851,6.387575714052382,-6.755140443176458,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,3,9042103,M1,0.00927655422760851,6.737663048850251,54.477968929636894,0.00927655422760851,6.728386494622643,47.74030588078664,0.8796376374226401,-6.623111727603238,71.91600078381026,0.8796376374226401,-7.502749365025878,78.53911251141349,0.00927655422760851,6.39685226827999,62.800080640976056,0.00927655422760851,6.387575714052382,56.40322837269606,DIAGNOSTIC_NOT_CAUSAL
PAIRED_NULL,O1,BA,3,9042103,M2,0.00927655422760851,6.737663048850251,42.803149812641855,0.00927655422760851,6.728386494622643,36.065486763791604,0.8796376374226401,-6.623111727603238,56.787264530873806,0.8796376374226401,-7.502749365025878,63.410376258477044,0.00927655422760851,6.39685226827999,47.541575116332986,0.00927655422760851,6.387575714052382,41.14472284805299,DIAGNOSTIC_NOT_CAUSAL
