state_fips,state_abbr,candidate_id,fold,selected_panels,effective_design_block_count,panel_by_effective_block_count,empty_panel_block_count,sparse_panel_block_count_n_lt_2,ma_fold_feasibility,ma_role,ma_used_to_select_primary_design,reason,ma_state_feasibility
21,KY,T2_KY_A2-3_B1-4-5,A,2-3,29,58,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
21,KY,T2_KY_A2-3_B1-4-5,B,1-4-5,29,87,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
22,LA,T2_LA_A3-5_B1-2-4,A,3-5,26,52,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
22,LA,T2_LA_A3-5_B1-2-4,B,1-2-4,26,78,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
25,MA,T2_MA_A2-4_B1-3-5,A,2-4,10,20,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
25,MA,T2_MA_A2-4_B1-3-5,B,1-3-5,10,30,1,2,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
24,MD,T2_MD_A1-5_B2-3-4,A,1-5,25,50,1,5,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
24,MD,T2_MD_A1-5_B2-3-4,B,2-3-4,25,75,1,4,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
23,ME,T2_ME_A1-5_B2-3-4,A,1-5,63,126,1,9,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
23,ME,T2_ME_A1-5_B2-3-4,B,2-3-4,63,189,3,12,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
26,MI,T2_MI_A2-4_B1-3-5,A,2-4,57,114,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
26,MI,T2_MI_A2-4_B1-3-5,B,1-3-5,57,171,0,5,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
27,MN,T2_MN_A2-3_B1-4-5,A,2-3,57,114,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
27,MN,T2_MN_A2-3_B1-4-5,B,1-4-5,57,171,0,2,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
29,MO,T2_MO_A4-5_B1-2-3,A,4-5,46,92,1,6,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
29,MO,T2_MO_A4-5_B1-2-3,B,1-2-3,46,138,4,11,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
28,MS,T2_MS_A4-5_B1-2-3,A,4-5,21,42,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
28,MS,T2_MS_A4-5_B1-2-3,B,1-2-3,21,63,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
30,MT,T2_MT_A2-4_B1-3-5,A,2-4,230,460,7,34,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
