state_fips,state_abbr,state_name,frame_id,reporting_frame,target_eval_group,required_eval_typ,component_evalid,evaluation_member_years,start_invyr,end_invyr,component_membership_integrity,input_source,estimation_unit_count,parent_poststratum_count,population_area_acres,observed_p2panel_values,panel_1_plot_count,panel_2_plot_count,panel_3_plot_count,panel_4_plot_count,panel_5_plot_count,five_panel_complete,candidate_count,legal_candidate_count,mechanical_top_candidate_id,mechanical_top_A_panels,mechanical_top_B_panels,mechanical_top_candidate_design_status,mechanical_top_symmetric_coarsening_eu_count,rule_selected_valid_candidate_id,rule_selected_A_panels,rule_selected_B_panels,selected_candidate_symmetric_coarsening_eu_count,ti_fold_specific_design_closed,ma_sensitivity_feasibility,primary_design_status,blocking_status,nonblocking_qc_flags
16,ID,Idaho,T2,2023 official reporting-State group,162023,EXPVOL,162301,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2014,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,44,147,53484642.0,1-2-3-4-5,1780,1767,1744,1772,1698,1,10,10,T2_ID_A1-4_B2-3-5,1-4,2-3-5,VALID_TI_ESTIMABLE,0,T2_ID_A1-4_B2-3-5,1-4,2-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
17,IL,Illinois,T2,2023 official reporting-State group,172023,EXPVOL,172301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,11,27,36057165.1,1-2-3-4-5,1204,1191,1201,1204,1140,1,10,10,T2_IL_A3-5_B1-2-4,3-5,1-2-4,VALID_TI_ESTIMABLE,0,T2_IL_A3-5_B1-2-4,3-5,1-2-4,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
18,IN,Indiana,T2,2023 official reporting-State group,182023,EXPVOL,182301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,13,34,23157078.299999997,1-2-3-4-5,759,749,760,771,733,1,10,9,T2_IN_A3-5_B1-2-4,3-5,1-2-4,VALID_TI_ESTIMABLE,0,T2_IN_A3-5_B1-2-4,3-5,1-2-4,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
20,KS,Kansas,T2,2023 official reporting-State group,202023,EXPVOL,202301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,10,22,52657279.3,1-2-3-4-5,1737,1740,1750,1748,1736,1,10,10,T2_KS_A1-5_B2-3-4,1-5,2-3-4,VALID_TI_ESTIMABLE,0,T2_KS_A1-5_B2-3-4,1-5,2-3-4,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
21,KY,Kentucky,T2,2023 official reporting-State group,212023,EXPVOL,212301,2016;2017;2018;2019;2020;2021;2022;2023,2016,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,9,29,25860092.06,1-2-3-4-5,825,840,852,850,851,1,10,10,T2_KY_A2-3_B1-4-5,2-3,1-4-5,VALID_TI_ESTIMABLE,0,T2_KY_A2-3_B1-4-5,2-3,1-4-5,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
22,LA,Louisiana,T2,2023 official reporting-State group,222023,EXPVOL,222301,2016;2017;2018;2019;2020;2021;2022;2023,2016,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,6,26,33520164.38,1-2-3-4-5,1075,1080,1084,1075,1073,1,10,10,T2_LA_A3-5_B1-2-4,3-5,1-2-4,VALID_TI_ESTIMABLE,0,T2_LA_A3-5_B1-2-4,3-5,1-2-4,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
25,MA,Massachusetts,T2,2023 official reporting-State group,252023,EXPVOL,252301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,3,10,5288557.5,1-2-3-4-5,156,156,158,163,158,1,10,10,T2_MA_A2-4_B1-3-5,2-4,1-3-5,VALID_TI_ESTIMABLE,0,T2_MA_A2-4_B1-3-5,2-4,1-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
24,MD,Maryland,T2,2023 official reporting-State group,242023,EXPVOL,242301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,11,25,6690527.0,1-2-3-4-5,192,188,201,196,189,1,10,10,T2_MD_A1-5_B2-3-4,1-5,2-3-4,VALID_TI_ESTIMABLE,0,T2_MD_A1-5_B2-3-4,1-5,2-3-4,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
23,ME,Maine,T2,2023 official reporting-State group,232023,EXPVOL,232301,2019;2020;2021;2022;2023,2019,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,26,63,21199748.7,1-2-3-4-5,696,713,702,698,694,1,10,10,T2_ME_A1-5_B2-3-4,1-5,2-3-4,VALID_TI_ESTIMABLE,0,T2_ME_A1-5_B2-3-4,1-5,2-3-4,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
26,MI,Michigan,T2,2023 official reporting-State group,262023,EXPVOL,262301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,15,57,37385029.9,1-2-3-4-5,1292,1310,1321,1349,1260,1,10,10,T2_MI_A2-4_B1-3-5,2-4,1-3-5,VALID_TI_ESTIMABLE,0,T2_MI_A2-4_B1-3-5,2-4,1-3-5,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
27,MN,Minnesota,T2,2023 official reporting-State group,272023,EXPVOL,272301,2019;2020;2021;2022;2023,2019,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,16,57,54010347.7,1-2-3-4-5,3525,3517,3485,3456,3478,1,10,10,T2_MN_A2-3_B1-4-5,2-3,1-4-5,VALID_TI_ESTIMABLE,0,T2_MN_A2-3_B1-4-5,2-3,1-4-5,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
29,MO,Missouri,T2,2023 official reporting-State group,292023,EXPVOL,292301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,16,46,44610858.5,1-2-3-4-5,1453,1435,1506,1488,1401,1,10,6,T2_MO_A4-5_B1-2-3,4-5,1-2-3,VALID_TI_ESTIMABLE,0,T2_MO_A4-5_B1-2-3,4-5,1-2-3,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
28,MS,Mississippi,T2,2023 official reporting-State group,282023,EXPVOL,282301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,6,21,31001949.25,1-2-3-4-5,1095,1123,1095,1108,1103,1,10,10,T2_MS_A4-5_B1-2-3,4-5,1-2-3,VALID_TI_ESTIMABLE,0,T2_MS_A4-5_B1-2-3,4-5,1-2-3,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
30,MT,Montana,T2,2022 official reporting-State group,302022,EXPVOL,302201,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,56,230,94106757.0,1-2-3-4-5,3110,3079,3065,3076,2953,1,10,10,T2_MT_A2-4_B1-3-5,2-4,1-3-5,VALID_TI_ESTIMABLE,0,T2_MT_A2-4_B1-3-5,2-4,1-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
37,NC,North Carolina,T2,2023 official reporting-State group,372023,EXPVOL,372301,2016;2017;2018;2019;2020;2021;2022;2023,2016,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,5,22,34444233.5,1-2-3-4-5,1141,1139,1149,1137,1136,1,10,10,T2_NC_A4-5_B1-2-3,4-5,1-2-3,VALID_TI_ESTIMABLE,0,T2_NC_A4-5_B1-2-3,4-5,1-2-3,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
38,ND,North Dakota,T2,2023 official reporting-State group,382023,EXPVOL,382301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,4,9,45246938.8,1-2-3-4-5,1523,1516,1512,1522,1523,1,10,10,T2_ND_A1-5_B2-3-4,1-5,2-3-4,VALID_TI_ESTIMABLE,0,T2_ND_A1-5_B2-3-4,1-5,2-3-4,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
31,NE,Nebraska,T2,2023 official reporting-State group,312023,EXPVOL,312301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,9,15,49506064.0,1-2-3-4-5,1655,1659,1644,1655,1650,1,10,10,T2_NE_A1-5_B2-3-4,1-5,2-3-4,VALID_TI_ESTIMABLE,0,T2_NE_A1-5_B2-3-4,1-5,2-3-4,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
33,NH,New Hampshire,T2,2023 official reporting-State group,332023,EXPVOL,332301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,7,18,5940580.3,1-2-3-4-5,236,224,242,232,233,1,10,10,T2_NH_A1-4_B2-3-5,1-4,2-3-5,VALID_TI_ESTIMABLE,0,T2_NH_A1-4_B2-3-5,1-4,2-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
34,NJ,New Jersey,T2,2023 official reporting-State group,342023,EXPVOL,342301,2019;2020;2021;2022;2023,2019,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,3,11,5000449.8,1-2-3-4-5,297,311,290,285,326,1,10,10,T2_NJ_A3-4_B1-2-5,3-4,1-2-5,VALID_TI_ESTIMABLE,0,T2_NJ_A3-4_B1-2-5,3-4,1-2-5,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
35,NM,New Mexico,T2,2022 official reporting-State group,352022,EXPVOL,352201,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,33,157,77816960.0,1-2-3-4-5,2450,2447,2471,2442,2293,1,10,10,T2_NM_A1-4_B2-3-5,1-4,2-3-5,VALID_TI_ESTIMABLE,0,T2_NM_A1-4_B2-3-5,1-4,2-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
32,NV,Nevada,T2,2023 official reporting-State group,322023,EXPVOL,322301,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2014,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,17,60,67771361.0,1-2-3-4-5,2299,2315,2293,2293,2186,1,10,10,T2_NV_A2-5_B1-3-4,2-5,1-3-4,VALID_TI_ESTIMABLE,0,T2_NV_A2-5_B1-3-4,2-5,1-3-4,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
36,NY,New York,T2,2023 official reporting-State group,362023,EXPVOL,362301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,30,74,31429223.599999998,1-2-3-4-5,899,895,889,901,902,1,10,5,T2_NY_A1-3_B2-4-5,1-3,2-4-5,VALID_TI_ESTIMABLE,0,T2_NY_A1-3_B2-4-5,1-3,2-4-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
39,OH,Ohio,T2,2023 official reporting-State group,392023,EXPVOL,392301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,19,46,26448518.1,1-2-3-4-5,833,832,808,796,799,1,10,8,T2_OH_A1-4_B2-3-5,1-4,2-3-5,VALID_TI_ESTIMABLE,0,T2_OH_A1-4_B2-3-5,1-4,2-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
40,OK,Oklahoma,T2,2023 official reporting-State group,402023,EXPVOL,402301,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2014,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,8,26,44735345.18,1-2-3-4-5,1477,1450,1462,1461,1448,1,10,10,T2_OK_A2-4_B1-3-5,2-4,1-3-5,VALID_TI_ESTIMABLE,0,T2_OK_A2-4_B1-3-5,2-4,1-3-5,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
41,OR,Oregon,T2,2023 official reporting-State group,412023,EXPVOL,412301,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2013,2023,PASS_NEW_FROZEN_RAW_KEY_CHAIN,FROZEN_CA_OR_WA_RAW_DESIGN_ZIPS,3,197,62962807.46,1-2-3-4-5,3167,3135,3154,3139,3224,1,10,10,T2_OR_A4-5_B1-2-3,4-5,1-2-3,VALID_TI_ESTIMABLE,1,T2_OR_A4-5_B1-2-3,4-5,1-2-3,1,YES,PARTIAL,DESIGN_COMPLETE_WITH_SYMMETRIC_COARSENING,NONE,OR_412301_ASSIGNMENT_PLOT_STATECD_INVYR_MISMATCH_RETAINED
42,PA,Pennsylvania,T2,2023 official reporting-State group,422023,EXPVOL,422301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,25,61,28996035.9,1-2-3-4-5,865,896,881,911,868,1,10,6,T2_PA_A1-4_B2-3-5,1-4,2-3-5,VALID_TI_ESTIMABLE,0,T2_PA_A1-4_B2-3-5,1-4,2-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
44,RI,Rhode Island,T2,2023 official reporting-State group,442023,EXPVOL,442301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,3,8,781730.1,1-2-3-4-5,43,54,45,48,46,1,10,10,T2_RI_A4-5_B1-2-3,4-5,1-2-3,VALID_TI_ESTIMABLE,0,T2_RI_A4-5_B1-2-3,4-5,1-2-3,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
45,SC,South Carolina,T2,2023 official reporting-State group,452023,EXPVOL,452301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,4,13,20493135.51,1-2-3-4-5,724,729,723,750,711,1,10,10,T2_SC_A2-5_B1-3-4,2-5,1-3-4,VALID_TI_ESTIMABLE,0,T2_SC_A2-5_B1-3-4,2-5,1-3-4,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
46,SD,South Dakota,T2,2023 official reporting-State group,462023,EXPVOL,462301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,11,18,49353880.3,1-2-3-4-5,1682,1691,1700,1684,1702,1,10,10,T2_SD_A2-4_B1-3-5,2-4,1-3-5,VALID_TI_ESTIMABLE,0,T2_SD_A2-4_B1-3-5,2-4,1-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
47,TN,Tennessee,T2,2023 official reporting-State group,472023,EXPVOL,472301,2015;2016;2017;2018;2019;2020;2021;2022;2023,2015,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,7,21,26971951.349999998,1-2-3-4-5,941,915,976,902,902,1,10,10,T2_TN_A1-2_B3-4-5,1-2,3-4-5,VALID_TI_ESTIMABLE,0,T2_TN_A1-2_B3-4-5,1-2,3-4-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
48,TX,Texas,T2,2023 official reporting-State group,482023,EXPVOL,482301,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2013,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,8,34,171901685.51,1-2-3-4-5,4895,4905,4803,4731,4677,1,10,10,T2_TX_A2-5_B1-3-4,2-5,1-3-4,VALID_TI_ESTIMABLE,0,T2_TX_A2-5_B1-3-4,2-5,1-3-4,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
49,UT,Utah,T2,2022 official reporting-State group,492022,EXPVOL,492201,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,29,135,54335029.0,1-2-3-4-5,1792,1786,1791,1781,1705,1,10,10,T2_UT_A1-4_B2-3-5,1-4,2-3-5,VALID_TI_ESTIMABLE,0,T2_UT_A1-4_B2-3-5,1-4,2-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
51,VA,Virginia,T2,2023 official reporting-State group,512023,EXPVOL,512301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,6,26,27375955.9,1-2-3-4-5,999,962,943,965,961,1,10,10,T2_VA_A2-5_B1-3-4,2-5,1-3-4,VALID_TI_ESTIMABLE,0,T2_VA_A2-5_B1-3-4,2-5,1-3-4,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
50,VT,Vermont,T2,2023 official reporting-State group,502023,EXPVOL,502301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,7,17,6153028.8,1-2-3-4-5,227,224,218,225,223,1,10,10,T2_VT_A2-4_B1-3-5,2-4,1-3-5,VALID_TI_ESTIMABLE,0,T2_VT_A2-4_B1-3-5,2-4,1-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
53,WA,Washington,T2,2023 official reporting-State group,532023,EXPVOL,532301,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2013,2023,PASS_NEW_FROZEN_RAW_KEY_CHAIN,FROZEN_CA_OR_WA_RAW_DESIGN_ZIPS,3,160,45630365.71,1-2-3-4-5,1902,1899,1905,1899,1902,1,10,10,T2_WA_A1-3_B2-4-5,1-3,2-4-5,VALID_TI_ESTIMABLE,2,T2_WA_A1-3_B2-4-5,1-3,2-4-5,2,YES,PARTIAL,DESIGN_COMPLETE_WITH_SYMMETRIC_COARSENING,NONE,
55,WI,Wisconsin,T2,2023 official reporting-State group,552023,EXPVOL,552301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,17,62,35928998.7,1-2-3-4-5,2329,2325,2295,2342,2278,1,10,10,T2_WI_A1-2_B3-4-5,1-2,3-4-5,VALID_TI_ESTIMABLE,0,T2_WI_A1-2_B3-4-5,1-2,3-4-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
54,WV,West Virginia,T2,2023 official reporting-State group,542023,EXPVOL,542301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,11,26,15507055.9,1-2-3-4-5,444,499,492,472,450,1,10,0,T2_WV_A3-5_B1-2-4,3-5,1-2-4,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,1,,,,,NO,UNAVAILABLE,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,
56,WY,Wyoming,T2,2023 official reporting-State group,562023,EXPVOL,562301,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2014,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,23,97,62600430.0,1-2-3-4-5,2078,2068,2069,2093,1973,1,10,10,T2_WY_A1-3_B2-4-5,1-3,2-4-5,VALID_TI_ESTIMABLE,0,T2_WY_A1-3_B2-4-5,1-3,2-4-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
