target_id,route,reference_strength,statecd,target_df,candidate_pool_df,nc1_available,nc1_pool_df,candidate_scalar_abs_log_error,nc1_scalar_abs_log_error,candidate_better_scalar,candidate_domain_tv,nc1_domain_tv,candidate_better_domain_profile,candidate_domain_cov_relative_frobenius,nc1_domain_cov_relative_frobenius,candidate_better_domain_cov,candidate_generic_joint_relative_frobenius,nc1_generic_joint_relative_frobenius,candidate_better_generic_joint,uncentered_centered_ratio,nc1_fixed_definition,nc2_definition,candidate_domain_pred_min_eigenvalue,candidate_domain_pred_psd_tolerance,candidate_domain_pred_psd_status,candidate_domain_pred_effective_rank,nc1_domain_pred_min_eigenvalue,nc1_domain_pred_psd_tolerance,nc1_domain_pred_psd_status,nc1_domain_pred_effective_rank,candidate_generic_pred_min_eigenvalue,candidate_generic_pred_psd_tolerance,candidate_generic_pred_psd_status,candidate_generic_pred_effective_rank,nc1_generic_pred_min_eigenvalue,nc1_generic_pred_psd_tolerance,nc1_generic_pred_psd_status,nc1_generic_pred_effective_rank,eigensolver_status,regularization_applied
P::30::302201::A::1882171017290487,LEVEL1,R5,30,110,102,YES,2220,nan,nan,-1,0.5626299376299376,1.0,1,0.9458419579179626,1.0526673498856574,1,inf,inf,0,1.01278107498966,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,0.0,1e-10,PASS,5.194406701807707,-1.5146875151259463e-18,1e-10,NUMERIC_TOLERANCE,57.40005180397151,0.0,1.3467352477398839e-08,PASS,1.7609438394509334,0.0,2.1924169693257913e-06,PASS,50.04651120805852,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171018290487,LEVEL1,R2,30,7,52,YES,2220,nan,0.1632172563757035,-1,0.5138888888888888,1.0,1,0.7152616022779973,1.0333283958184272,1,1.0,1.0115193012504735,1,nan,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,6.297210043074954e-17,1e-10,PASS,2.055785642570282,-1.9805556361158513e-18,1e-10,NUMERIC_TOLERANCE,57.40005180397148,0.0,1e-10,PASS,0.0,0.0,2.1924169693257913e-06,PASS,50.046511208058526,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171019290487,LEVEL1,R1,30,3,56,YES,2220,nan,nan,-1,0.2672413793103448,1.0,1,0.4968573430953347,1.0288013630374493,1,inf,inf,0,3.909303853803593,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,1.0118334688931397e-16,1e-10,PASS,2.1887500243299884,-4.4979375553556184e-18,1e-10,NUMERIC_TOLERANCE,57.400051803971486,3.9790393202565605e-13,3.2159455582980193e-07,PASS,1.5968906880795843,0.0,2.192416969325792e-06,PASS,50.046511208058554,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171020290487,LEVEL1,R5,30,49,10,YES,2220,nan,nan,-1,0.2966666666666667,1.0,1,0.4097402314415815,1.03772914021811,1,inf,inf,0,1.9562942143587314,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-1.4857017159878937e-18,1e-10,NUMERIC_TOLERANCE,1.9306569343065696,0.0,1e-10,PASS,57.400051803971486,-2.842170943040401e-12,1.8009295126468904e-06,NUMERIC_TOLERANCE,1.5968906880795835,0.0,2.1924169693257913e-06,PASS,50.04651120805853,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171021290487,LEVEL2,R4,30,35,5890,YES,2220,1.7003873414806823,2.7680435628728395,1,0.990192873488068,1.0,1,1.0043777932560796,1.0328595482347371,1,2.5010023274074884,6.941845034760171,1,2.625062384311447,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-5.281618074279166e-19,1e-10,NUMERIC_TOLERANCE,138.04518244680173,-1.9805556361158513e-18,1e-10,NUMERIC_TOLERANCE,57.40005180397148,-7.591118602824009e-14,7.13646501054557e-07,NUMERIC_TOLERANCE,47.617078295645534,0.0,2.1924169693257913e-06,PASS,50.046511208058526,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171022290487,LEVEL1,R2,30,5,101,YES,2220,3.269284494645814,0.357004153412651,0,0.4230769230769231,1.0,1,0.7510574110856572,1.0242347981601054,1,0.9998265846778338,1.069444406474334,1,1.2701780874950335,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,3.58459923578799e-17,1e-10,PASS,3.390924306279548,-1.9805556361158513e-18,1e-10,NUMERIC_TOLERANCE,57.40005180397148,0.0,2.5222416941832586e-08,PASS,1.301278881555296,0.0,2.1924169693257913e-06,PASS,50.046511208058526,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171023290487,LEVEL1,R2,30,6,100,YES,2220,2.2974841333753946,0.9533391623718228,0,0.4466019417475728,1.0,1,0.7429088173077927,1.0221238610180607,1,0.9994967390235321,1.3817748149445397,1,2.3698776261344134,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,3.983955921692829e-17,1e-10,PASS,3.4966487618554996,-4.4979375553556184e-18,1e-10,NUMERIC_TOLERANCE,57.400051803971486,0.0,6.114012563317614e-08,PASS,2.1780252071831523,0.0,2.192416969325792e-06,PASS,50.046511208058554,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171024290487,LEVEL1,R5,30,86,20,YES,2220,nan,nan,-1,0.111944027986007,1.0,1,0.2748564161222029,1.0416736308452452,1,inf,inf,0,1.2752604444039584,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,0.0,1e-10,PASS,3.053211792741306,-1.5146875151259463e-18,1e-10,NUMERIC_TOLERANCE,57.40005180397151,0.0,4.0690713961414646e-07,PASS,3.0023892188438386,0.0,2.1924169693257913e-06,PASS,50.04651120805852,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171025290487,LEVEL1,R3,30,9,97,YES,2220,0.3621738420417755,3.1770360114989726,1,0.27999999999999997,1.0,1,0.42187361843833454,1.0355317354461957,1,1.1874867933300253,8.48559040835632,1,1.9341708201062966,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,1.3239816337110782e-17,1e-10,PASS,3.3582877903575903,0.0,1e-10,PASS,57.400051803971486,-1.5820678100912115e-15,7.850318464044486e-08,NUMERIC_TOLERANCE,2.8245726486131066,0.0,2.1924169693257913e-06,PASS,50.04651120805853,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171026290487,LEVEL1,R5,30,50,84,YES,2220,1.2664260999904395,2.9112081393455025,1,0.3062015503875969,1.0,1,0.503615927701356,1.0449263130109725,1,0.5871420258649899,8.715630657153612,1,2.7573926191199165,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-5.669743604756266e-18,1e-10,NUMERIC_TOLERANCE,4.544487654731844,-2.4879283715211506e-18,1e-10,NUMERIC_TOLERANCE,57.400051803971515,0.0,2.6127890310497965e-08,PASS,1.613600014060495,0.0,2.192416969325792e-06,PASS,50.04651120805855,EXACT_SYMMETRIC_EIGENSOLVER,NONE
