analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name
117423,Magnolia acuminata,(L.) L.,Magnoliaceae,Species,Accepted,554627-1,554627-1,Y,1,651,Magnolia acuminata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117423,Magnolia acuminata
117583,Magnolia fraseri,Walter,Magnoliaceae,Species,Accepted,30302949-2,30302949-2,Y,1,655,Magnolia fraseri,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117583,Magnolia fraseri
117615,Magnolia grandiflora,L.,Magnoliaceae,Species,Accepted,554723-1,554723-1,Y,1,652,Magnolia grandiflora,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117615,Magnolia grandiflora
117698,Magnolia macrophylla,Michx.,Magnoliaceae,Species,Accepted,30417720-2,30417720-2,Y,1,654,Magnolia macrophylla,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117698,Magnolia macrophylla
117869,Magnolia tripetala,(L.) L.,Magnoliaceae,Species,Accepted,554866-1,554866-1,Y,1,658,Magnolia tripetala,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117869,Magnolia tripetala
117883,Magnolia virginiana,L.,Magnoliaceae,Species,Accepted,30016308-2,30016308-2,Y,1,653,Magnolia virginiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117883,Magnolia virginiana
123857,Melaleuca quinquenervia,(Cav.) S.T.Blake,Myrtaceae,Species,Accepted,598073-1,598073-1,Y,1,992,Melaleuca quinquenervia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,123857,Melaleuca quinquenervia
136188,Nyssa aquatica,L.,Nyssaceae,Species,Accepted,302695-2,302695-2,Y,1,691,Nyssa aquatica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,136188,Nyssa aquatica
136191,Nyssa biflora,Walter,Nyssaceae,Species,Accepted,171263-2,171263-2,Y,1,694,Nyssa biflora,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,136191,Nyssa biflora
136212,Nyssa ogeche,W.Bartram ex Marshall,Nyssaceae,Species,Accepted,271947-1,271947-1,Y,1,692,Nyssa ogeche,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,136212,Nyssa ogeche
