analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name
377454,Juniperus ashei,J.Buchholz,Cupressaceae,Species,Accepted,132457-2,132457-2,Y,1,61,Juniperus ashei,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,377454,Juniperus ashei
377511,Juniperus coahuilensis,(Martínez) Gaussen ex R.P.Adams,Cupressaceae,Species,Accepted,1167763-2,1167763-2,Y,1,59,Juniperus coahuilensis,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,377511,Juniperus coahuilensis
377520,Juniperus californica,Carrière,Cupressaceae,Species,Accepted,262163-1,262163-1,Y,1,62,Juniperus californica,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,377520,Juniperus californica
377543,Juniperus monosperma,(Engelm.) Sarg.,Cupressaceae,Species,Accepted,132508-2,132508-2,Y,1,69,Juniperus monosperma,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,377543,Juniperus monosperma
377592,Juniperus occidentalis,Hook.,Cupressaceae,Species,Accepted,30028138-2,30028138-2,Y,1,64,Juniperus occidentalis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,377592,Juniperus occidentalis
377597,Juniperus osteosperma,(Torr.) Little,Cupressaceae,Species,Accepted,132523-2,132523-2,Y,1,65,Juniperus osteosperma,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,377597,Juniperus osteosperma
377678,Juniperus pinchotii,Sudw.,Cupressaceae,Species,Accepted,132527-2,132527-2,Y,1,58,Juniperus pinchotii,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,377678,Juniperus pinchotii
378313,Pseudotsuga macrocarpa,(Vasey) Mayr,Pinaceae,Species,Accepted,677139-1,677139-1,Y,1,201,Pseudotsuga macrocarpa,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,378313,Pseudotsuga macrocarpa
378542,Thuja occidentalis,L.,Cupressaceae,Species,Accepted,263956-1,263956-1,Y,1,241,Thuja occidentalis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,378542,Thuja occidentalis
378546,Thuja plicata,Donn ex D.Don,Cupressaceae,Species,Accepted,60443333-2,60443333-2,Y,1,242,Thuja plicata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,378546,Thuja plicata
378596,Taxodium distichum,(L.) Rich.,Cupressaceae,Species,Accepted,30052311-2,30052311-2,Y,2,221;222,Taxodium ascendens;Taxodium distichum,ACCEPTED_SPECIES;SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,1,1,2,0,DBH_ONLY,1,1,1,0,378596,Taxodium distichum
378623,Taxus brevifolia,Nutt.,Taxaceae,Species,Accepted,249736-2,249736-2,Y,1,231,Taxus brevifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,378623,Taxus brevifolia
378636,Torreya californica,Torr.,Taxaceae,Species,Accepted,263993-1,263993-1,Y,1,251,Torreya californica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,378636,Torreya californica
378988,Sequoia sempervirens,(D.Don) Endl.,Cupressaceae,Species,Accepted,263741-1,263741-1,Y,1,211,Sequoia sempervirens,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,378988,Sequoia sempervirens
379072,Larix laricina,(Du Roi) K.Koch,Pinaceae,Species,Accepted,262435-1,262435-1,Y,1,71,Larix laricina,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379072,Larix laricina
379089,Larix lyallii,Parl.,Pinaceae,Species,Accepted,262441-1,262441-1,Y,1,72,Larix lyallii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379089,Larix lyallii
379096,Larix occidentalis,Nutt.,Pinaceae,Species,Accepted,262444-1,262444-1,Y,1,73,Larix occidentalis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379096,Larix occidentalis
379363,Tsuga canadensis,(L.) Carrière,Pinaceae,Species,Accepted,264005-1,264005-1,Y,1,261,Tsuga canadensis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379363,Tsuga canadensis
379383,Tsuga caroliniana,Engelm.,Pinaceae,Species,Accepted,264006-1,264006-1,Y,1,262,Tsuga caroliniana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379383,Tsuga caroliniana
379395,Tsuga heterophylla,(Raf.) Sarg.,Pinaceae,Species,Accepted,260297-2,260297-2,Y,1,263,Tsuga heterophylla,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379395,Tsuga heterophylla
379433,Tsuga mertensiana,(Bong.) Oerst.,Pinaceae,Species,Accepted,264014-1,264014-1,Y,1,264,Tsuga mertensiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379433,Tsuga mertensiana
379633,Pseudotsuga menziesii,(Mirb.) Franco,Pinaceae,Species,Accepted,677141-1,677141-1,Y,1,202,Pseudotsuga menziesii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379633,Pseudotsuga menziesii
379703,Pinus lambertiana,Douglas,Pinaceae,Species,Accepted,197001-2,197001-2,Y,1,117,Pinus lambertiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379703,Pinus lambertiana
379708,Pinus jeffreyi,Balf.,Pinaceae,Species,Accepted,1215899-2,1215899-2,Y,1,116,Pinus jeffreyi,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379708,Pinus jeffreyi
379762,Pinus longaeva,D.K.Bailey,Pinaceae,Species,Accepted,197012-2,197012-2,Y,1,142,Pinus longaeva,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379762,Pinus longaeva
379770,Pinus leiophylla,Schiede ex Schltdl. & Cham.,Pinaceae,Species,Accepted,30112234-2,30112234-2,Y,1,118,Pinus leiophylla,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379770,Pinus leiophylla
379818,Pinus echinata,Mill.,Pinaceae,Species,Accepted,262913-1,262913-1,Y,1,110,Pinus echinata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379818,Pinus echinata
379820,Pinus edulis,Engelm.,Pinaceae,Species,Accepted,196975-2,196975-2,Y,1,106,Pinus edulis,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,379820,Pinus edulis
379837,Pinus discolor,D.K.Bailey & Hawksw.,Pinaceae,Species,Accepted,677028-1,677028-1,Y,1,134,Pinus discolor,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,379837,Pinus discolor
379843,Pinus contorta,Douglas ex Loudon,Pinaceae,Species,Accepted,30000492-2,30000492-2,Y,1,108,Pinus contorta,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379843,Pinus contorta
379852,Pinus coulteri,D.Don,Pinaceae,Species,Accepted,196961-2,196961-2,Y,1,109,Pinus coulteri,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379852,Pinus coulteri
379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,Pinaceae,Species,Accepted,262863-1,262863-1,Y,1,107,Pinus clausa,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379871,Pinus clausa
379943,Pinus elliottii,Engelm.,Pinaceae,Species,Accepted,262921-1,262921-1,Y,1,111,Pinus elliottii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379943,Pinus elliottii
379946,Pinus engelmannii,Carrière,Pinaceae,Species,Accepted,1190231-2,1190231-2,Y,1,112,Pinus engelmannii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379946,Pinus engelmannii
379966,Pinus glabra,Walter,Pinaceae,Species,Accepted,262965-1,262965-1,Y,1,115,Pinus glabra,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379966,Pinus glabra
379971,Pinus flexilis,E.James,Pinaceae,Species,Accepted,262945-1,262945-1,Y,1,113,Pinus flexilis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379971,Pinus flexilis
379991,Pinus serotina,Michx.,Pinaceae,Species,Accepted,263315-1,263315-1,Y,1,128,Pinus serotina,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,379991,Pinus serotina
380011,Pinus sabiniana,Douglas,Pinaceae,Species,Accepted,325668-2,325668-2,Y,1,127,Pinus sabiniana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380011,Pinus sabiniana
380012,Pinus strobiformis,Engelm.,Pinaceae,Species,Accepted,197099-2,197099-2,Y,1,114,Pinus strobiformis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380012,Pinus strobiformis
380022,Pinus strobus,L.,Pinaceae,Species,Accepted,197100-2,197100-2,Y,1,129,Pinus strobus,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380022,Pinus strobus
380091,Pinus virginiana,Mill.,Pinaceae,Species,Accepted,263413-1,263413-1,Y,1,132,Pinus virginiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380091,Pinus virginiana
380126,Pinus sylvestris,L.,Pinaceae,Species,Accepted,263353-1,263353-1,Y,1,130,Pinus sylvestris,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380126,Pinus sylvestris
380129,Pinus taeda,L.,Pinaceae,Species,Accepted,263357-1,263357-1,Y,1,131,Pinus taeda,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380129,Pinus taeda
380171,Pinus nigra,J.F.Arnold,Pinaceae,Species,Accepted,677088-1,677088-1,Y,1,136,Pinus nigra,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380171,Pinus nigra
380231,Pinus monophylla,Torr. & Frém.,Pinaceae,Species,Accepted,197026-2,197026-2,Y,1,133,Pinus monophylla,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,380231,Pinus monophylla
380239,Pinus muricata,D.Don,Pinaceae,Species,Accepted,314970-2,314970-2,Y,1,120,Pinus muricata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380239,Pinus muricata
380255,Pinus monticola,Douglas ex D.Don,Pinaceae,Species,Accepted,197032-2,197032-2,Y,1,119,Pinus monticola,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380255,Pinus monticola
380268,Pinus palustris,Mill.,Pinaceae,Species,Accepted,263186-1,263186-1,Y,1,121,Pinus palustris,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380268,Pinus palustris
380272,Pinus pungens,Lamb.,Pinaceae,Species,Accepted,927546-1,927546-1,Y,1,123,Pinus pungens,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380272,Pinus pungens
380293,Pinus rigida,Mill.,Pinaceae,Species,Accepted,263270-1,263270-1,Y,1,126,Pinus rigida,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380293,Pinus rigida
380297,Pinus radiata,D.Don,Pinaceae,Species,Accepted,30020085-2,30020085-2,Y,1,124,Pinus radiata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380297,Pinus radiata
380302,Pinus resinosa,Aiton,Pinaceae,Species,Accepted,263261-1,263261-1,Y,1,125,Pinus resinosa,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380302,Pinus resinosa
380317,Pinus remota,(Little) D.K.Bailey & Hawksw.,Pinaceae,Species,Accepted,677096-1,677096-1,Y,1,141,Pinus remota,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,380317,Pinus remota
380358,Pinus ponderosa,Douglas ex C.Lawson,Pinaceae,Species,Accepted,307165-2,307165-2,Y,2,122;137,Pinus ponderosa;Pinus washoensis,ACCEPTED_SPECIES;SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,1,1,2,0,DBH_ONLY,1,1,1,0,380358,Pinus ponderosa
380406,Picea abies,(L.) H.Karst.,Pinaceae,Species,Accepted,262609-1,262609-1,Y,1,91,Picea abies,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380406,Picea abies
380484,Pinus cembroides,Zucc.,Pinaceae,Species,Accepted,262850-1,262850-1,Y,1,140,Pinus cembroides,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,380484,Pinus cembroides
380503,Pinus arizonica,Engelm.,Pinaceae,Species,Accepted,196911-2,196911-2,Y,1,135,Pinus arizonica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380503,Pinus arizonica
380514,Pinus balfouriana,Balf.,Pinaceae,Species,Accepted,30090943-2,30090943-2,Y,1,104,Pinus balfouriana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380514,Pinus balfouriana
380544,Pinus banksiana,Lamb.,Pinaceae,Species,Accepted,262801-1,262801-1,Y,1,105,Pinus banksiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380544,Pinus banksiana
380589,Picea mariana,"(Mill.) Britton, Sterns & Poggenb.",Pinaceae,Species,Accepted,195883-2,195883-2,Y,1,95,Picea mariana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380589,Picea mariana
380614,Picea engelmannii,Engelm.,Pinaceae,Species,Accepted,262646-1,262646-1,Y,1,93,Picea engelmannii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380614,Picea engelmannii
380618,Picea breweriana,S.Watson,Pinaceae,Species,Accepted,262630-1,262630-1,Y,1,92,Picea breweriana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380618,Picea breweriana
380705,Pinus albicaulis,Engelm.,Pinaceae,Species,Accepted,262755-1,262755-1,Y,1,101,Pinus albicaulis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380705,Pinus albicaulis
380719,Picea pungens,Engelm.,Pinaceae,Species,Accepted,30095300-2,30095300-2,Y,1,96,Picea pungens,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380719,Picea pungens
380723,Pinus aristata,Engelm.,Pinaceae,Species,Accepted,262778-1,262778-1,Y,1,102,Pinus aristata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380723,Pinus aristata
380741,Picea sitchensis,(Bong.) Carrière,Pinaceae,Species,Accepted,676986-1,676986-1,Y,1,98,Picea sitchensis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380741,Picea sitchensis
380751,Picea rubens,Sarg.,Pinaceae,Species,Accepted,195909-2,195909-2,Y,1,97,Picea rubens,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,380751,Picea rubens
381057,Pinus attenuata,Lemmon,Pinaceae,Species,Accepted,196914-2,196914-2,Y,1,103,Pinus attenuata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,381057,Pinus attenuata
381078,Picea laxa,(Münchh.) Sarg.,Pinaceae,Species,Accepted,195881-2,195881-2,Y,1,94,Picea glauca,SYNONYM_TO_ACCEPTED_SPECIES,1,0,1,0,DBH_ONLY,1,1,1,0,381078,Picea laxa
381300,Sequoiadendron giganteum,(Lindl.) J.Buchholz,Cupressaceae,Species,Accepted,234727-2,234727-2,Y,1,212,Sequoiadendron giganteum,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,381300,Sequoiadendron giganteum
381632,Abies amabilis,Douglas ex J.Forbes,Pinaceae,Species,Accepted,325658-2,325658-2,Y,1,11,Abies amabilis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,381632,Abies amabilis
381647,Abies balsamea,(L.) Mill.,Pinaceae,Species,Accepted,1084057-2,1084057-2,Y,1,12,Abies balsamea,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,381647,Abies balsamea
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Pinaceae,Species,Accepted,1031026-2,1031026-2,Y,1,15,Abies concolor,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,381713,Abies concolor
381792,Abies fraseri,(Pursh) Poir.,Pinaceae,Species,Accepted,1030488-2,1030488-2,Y,1,16,Abies fraseri,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,381792,Abies fraseri
381804,Abies grandis,(Douglas ex D.Don) Lindl.,Pinaceae,Species,Accepted,1033427-2,1033427-2,Y,1,17,Abies grandis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,381804,Abies grandis
381853,Abies lasiocarpa,(Hook.) Nutt.,Pinaceae,Species,Accepted,1081948-2,1081948-2,Y,2,18;19,Abies lasiocarpa;Abies lasiocarpa var. arizonica,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES;ACCEPTED_SPECIES,0,1,2,0,DBH_ONLY,1,1,1,0,381853,Abies lasiocarpa
381868,Abies magnifica,A.Murray bis,Pinaceae,Species,Accepted,325664-2,325664-2,Y,2,20;21,Abies magnifica;Abies shastensis,ACCEPTED_SPECIES;SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,1,1,2,0,DBH_ONLY,1,1,1,0,381868,Abies magnifica
381974,Abies procera,Rehder,Pinaceae,Species,Accepted,676607-1,676607-1,Y,1,22,Abies procera,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,381974,Abies procera
382424,Calocedrus decurrens,(Torr.) Florin,Cupressaceae,Species,Accepted,42548-2,42548-2,Y,1,81,Calocedrus decurrens,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,382424,Calocedrus decurrens
382830,Chamaecyparis lawsoniana,(A.Murray bis) Oerst.,Cupressaceae,Species,Accepted,261839-1,261839-1,Y,1,41,Chamaecyparis lawsoniana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,382830,Chamaecyparis lawsoniana
382860,Chamaecyparis thyoides,(L.) Oerst.,Cupressaceae,Species,Accepted,54814-2,54814-2,Y,1,43,Chamaecyparis thyoides,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,382860,Chamaecyparis thyoides
384904,Diospyros texana,Scheele,Ebenaceae,Species,Accepted,323100-1,323100-1,Y,1,522,Diospyros texana,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,384904,Diospyros texana
385000,Diospyros virginiana,L.,Ebenaceae,Species,Accepted,323180-1,323180-1,Y,1,521,Diospyros virginiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,385000,Diospyros virginiana
456789,Callitropsis nootkatensis,(D.Don) Oerst.,Cupressaceae,Species,Accepted,60450448-2,60450448-2,Y,1,42,Chamaecyparis nootkatensis,SYNONYM_TO_ACCEPTED_SPECIES,1,0,1,0,DBH_ONLY,1,1,1,0,456789,Callitropsis nootkatensis
457902,Hesperocyparis arizonica,(Greene) Bartel,Cupressaceae,Species,Accepted,60451546-2,60451546-2,Y,1,51,Cupressus arizonica,SYNONYM_TO_ACCEPTED_SPECIES,1,0,1,0,DBH_ONLY,1,1,1,0,457902,Hesperocyparis arizonica
457903,Hesperocyparis bakeri,(Jeps.) Bartel,Cupressaceae,Species,Accepted,60451547-2,60451547-2,Y,1,52,Cupressus bakeri,SYNONYM_TO_ACCEPTED_SPECIES,1,0,1,0,DBH_ONLY,1,1,1,0,457903,Hesperocyparis bakeri
457913,Hesperocyparis macrocarpa,(Hartw.) Bartel,Cupressaceae,Species,Accepted,60451558-2,60451558-2,Y,1,54,Cupressus macrocarpa,SYNONYM_TO_ACCEPTED_SPECIES,1,0,1,0,DBH_ONLY,1,1,1,0,457913,Hesperocyparis macrocarpa
457918,Hesperocyparis sargentii,(Jeps.) Bartel,Cupressaceae,Species,Accepted,60451563-2,60451563-2,Y,1,55,Cupressus sargentii,SYNONYM_TO_ACCEPTED_SPECIES,1,0,1,0,DBH_ONLY,1,1,1,0,457918,Hesperocyparis sargentii
458543,Notholithocarpus densiflorus,"(Hook. & Arn.) Manos, Cannon & S.H.Oh",Fagaceae,Species,Accepted,60451161-2,60451161-2,Y,1,631,Lithocarpus densiflorus,SYNONYM_TO_ACCEPTED_SPECIES,1,0,1,0,DBH_ONLY,1,1,1,0,458543,Notholithocarpus densiflorus
500221,Liquidambar styraciflua,L.,Altingiaceae,Species,Accepted,430718-1,430718-1,Y,1,611,Liquidambar styraciflua,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,500221,Liquidambar styraciflua
2329229,Juglans hindsii,(Jeps.) Jeps. ex R.E.Sm.,Juglandaceae,Species,Accepted,131754-2,131754-2,N,1,603,Juglans hindsii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2329229,Juglans hindsii
2331793,Juglans cinerea,L.,Juglandaceae,Species,Accepted,442334-1,442334-1,N,1,601,Juglans cinerea,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2331793,Juglans cinerea
2331814,Juglans major,(Torr.) A.Heller,Juglandaceae,Species,Accepted,131762-2,131762-2,N,1,606,Juglans major,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2331814,Juglans major
2331825,Juglans californica,S.Watson,Juglandaceae,Species,Accepted,30014392-2,30014392-2,N,1,604,Juglans californica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2331825,Juglans californica
2331834,Juglans nigra,L.,Juglandaceae,Species,Accepted,279034-2,279034-2,N,1,602,Juglans nigra,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2331834,Juglans nigra
2331862,Juglans microcarpa,Berland.,Juglandaceae,Species,Accepted,442391-1,442391-1,N,1,605,Juglans microcarpa,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2331862,Juglans microcarpa
2338852,Laguncularia racemosa,(L.) C.F.Gaertn.,Combretaceae,Species,Accepted,170672-1,170672-1,N,1,988,Laguncularia racemosa,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2338852,Laguncularia racemosa
2346347,Leucaena leucocephala,(Lam.) de Wit,Fabaceae,Species,Accepted,138955-2,138955-2,Y,1,7565,Leucaena leucocephala,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2346347,Leucaena leucocephala
2346415,Leucaena pulverulenta,(Schltdl.) Benth.,Fabaceae,Species,Accepted,502744-1,502744-1,Y,1,869,Leucaena pulverulenta,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2346415,Leucaena pulverulenta
2364578,Metopium toxiferum,(L.) Krug & Urb.,Anacardiaceae,Species,Accepted,70067-1,70067-1,N,1,886,Metopium toxiferum,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2364578,Metopium toxiferum
2383853,Neltuma glandulosa,(Torr.) Britton & Rose,Fabaceae,Species,Accepted,168104-2,168104-2,Y,1,756,Prosopis glandulosa,SYNONYM_TO_ACCEPTED_SPECIES,1,0,0,1,DRC_ONLY,1,1,0,0,2383853,Neltuma glandulosa
2383876,Neltuma velutina,(Wooton) Britton & Rose,Fabaceae,Species,Accepted,168112-2,168112-2,Y,1,757,Prosopis velutina,SYNONYM_TO_ACCEPTED_SPECIES,1,0,0,1,DRC_ONLY,1,1,0,0,2383876,Neltuma velutina
2387656,Oxydendrum arboreum,(L.) DC.,Ericaceae,Species,Accepted,1175876-2,1175876-2,N,1,711,Oxydendrum arboreum,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2387656,Oxydendrum arboreum
2389100,Olneya tesota,A.Gray,Fabaceae,Species,Accepted,304188-2,304188-2,Y,1,990,Olneya tesota,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,2389100,Olneya tesota
2428246,Robinia pseudoacacia,L.,Fabaceae,Species,Accepted,30034699-2,30034699-2,Y,1,901,Robinia pseudoacacia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2428246,Robinia pseudoacacia
2444682,Tamarindus indica,L.,Fabaceae,Species,Accepted,520167-1,520167-1,Y,1,897,Tamarindus indica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2444682,Tamarindus indica
2446614,Umbellularia californica,(Hook. & Arn.) Nutt.,Lauraceae,Species,Accepted,30189264-2,30189264-2,N,1,981,Umbellularia californica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2446614,Umbellularia californica
2448661,Ulmus parvifolia,Jacq.,Ulmaceae,Species,Accepted,302296-2,302296-2,N,1,8851,Ulmus parvifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2448661,Ulmus parvifolia
2448805,Ulmus rubra,Muhl.,Ulmaceae,Species,Accepted,306680-2,306680-2,N,1,975,Ulmus rubra,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2448805,Ulmus rubra
2448824,Ulmus pumila,L.,Ulmaceae,Species,Accepted,303333-2,303333-2,N,1,974,Ulmus pumila,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2448824,Ulmus pumila
2448843,Ulmus thomasii,Sarg.,Ulmaceae,Species,Accepted,300247-2,300247-2,N,1,977,Ulmus thomasii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2448843,Ulmus thomasii
2448857,Ulmus serotina,Sarg.,Ulmaceae,Species,Accepted,259375-2,259375-2,N,1,976,Ulmus serotina,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2448857,Ulmus serotina
2449976,Ulmus crassifolia,Nutt.,Ulmaceae,Species,Accepted,302278-2,302278-2,N,1,973,Ulmus crassifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2449976,Ulmus crassifolia
2450008,Ulmus alata,Michx.,Ulmaceae,Species,Accepted,302994-2,302994-2,N,1,971,Ulmus alata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2450008,Ulmus alata
2450019,Ulmus americana,L.,Ulmaceae,Species,Accepted,304464-2,304464-2,N,1,972,Ulmus americana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,2450019,Ulmus americana
2452405,Vachellia farnesiana,(L.) Wight & Arn.,Fabaceae,Species,Accepted,1099713-2,1099713-2,Y,1,303,Acacia farnesiana,SYNONYM_TO_ACCEPTED_SPECIES,1,0,0,1,DRC_ONLY,1,1,0,0,2452405,Vachellia farnesiana
