stratum,state,P2PANEL,n_lineages_total,n_A,n_B,abs_balance_diff,missing_P2PANEL_count,duplicate_lineage_across_AB,duplicate_primary_measurement,split_seed,split_rule_id,status
DE|2,DE,2,19,10,9,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
DE|3,DE,3,29,15,14,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
DE|4,DE,4,26,13,13,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
DE|5,DE,5,25,13,12,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
FL|1,FL,1,653,327,326,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
FL|2,FL,2,649,325,324,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
FL|3,FL,3,637,319,318,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
FL|4,FL,4,614,307,307,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
FL|5,FL,5,536,268,268,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
GA|1,GA,1,950,475,475,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
GA|2,GA,2,965,483,482,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
GA|3,GA,3,975,488,487,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
GA|4,GA,4,1048,524,524,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
GA|5,GA,5,938,469,469,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
