stratum,state,P2PANEL,n_lineages_total,n_A,n_B,abs_balance_diff,missing_P2PANEL_count,duplicate_lineage_across_AB,duplicate_primary_measurement,split_seed,split_rule_id,status
NM|4,NM,4,706,353,353,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NM|5,NM,5,388,194,194,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NV|1,NV,1,202,101,101,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NV|2,NV,2,196,98,98,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NV|3,NV,3,243,122,121,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NV|4,NV,4,363,182,181,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NV|5,NV,5,263,132,131,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NY|1,NY,1,560,280,280,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NY|2,NY,2,578,289,289,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NY|3,NY,3,592,296,296,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NY|4,NY,4,616,308,308,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
NY|5,NY,5,587,294,293,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OH|1,OH,1,265,133,132,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OH|2,OH,2,302,151,151,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OH|3,OH,3,274,137,137,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OH|4,OH,4,268,134,134,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OH|5,OH,5,286,143,143,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OK|1,OK,1,450,225,225,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OK|2,OK,2,328,164,164,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OK|3,OK,3,383,192,191,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OK|4,OK,4,324,162,162,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OK|5,OK,5,324,162,162,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OR|1,OR,1,1176,588,588,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OR|2,OR,2,1143,572,571,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OR|3,OR,3,1188,594,594,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OR|4,OR,4,2095,1048,1047,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
OR|5,OR,5,1149,575,574,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
PA|1,PA,1,578,289,289,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
PA|2,PA,2,572,286,286,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
PA|3,PA,3,590,295,295,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
PA|4,PA,4,609,305,304,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
PA|5,PA,5,547,274,273,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
RI|1,RI,1,19,10,9,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
RI|2,RI,2,31,16,15,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
RI|3,RI,3,25,13,12,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
RI|4,RI,4,28,14,14,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
RI|5,RI,5,27,14,13,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SC|1,SC,1,543,272,271,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SC|2,SC,2,538,269,269,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SC|3,SC,3,522,261,261,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SC|4,SC,4,579,290,289,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SC|5,SC,5,519,260,259,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SD|1,SD,1,101,51,50,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SD|2,SD,2,124,62,62,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SD|3,SD,3,119,60,59,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SD|4,SD,4,116,58,58,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
SD|5,SD,5,120,60,60,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TN|1,TN,1,535,268,267,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TN|2,TN,2,458,229,229,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TN|3,TN,3,645,323,322,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TN|4,TN,4,539,270,269,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TN|5,TN,5,548,274,274,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TX|1,TX,1,1039,520,519,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TX|2,TX,2,1686,843,843,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TX|3,TX,3,1690,845,845,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TX|4,TX,4,1218,609,609,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
TX|5,TX,5,1056,528,528,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
UT|1,UT,1,290,145,145,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
UT|2,UT,2,330,165,165,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
UT|3,UT,3,370,185,185,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
UT|4,UT,4,574,287,287,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
UT|5,UT,5,277,139,138,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VA|1,VA,1,696,348,348,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VA|2,VA,2,665,333,332,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VA|3,VA,3,674,337,337,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VA|4,VA,4,651,326,325,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VA|5,VA,5,664,332,332,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VT|1,VT,1,184,92,92,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VT|2,VT,2,182,91,91,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VT|3,VT,3,181,91,90,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VT|4,VT,4,183,92,91,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
VT|5,VT,5,181,91,90,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WA|1,WA,1,596,298,298,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WA|2,WA,2,613,307,306,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WA|3,WA,3,605,303,302,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WA|4,WA,4,1143,572,571,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WA|5,WA,5,619,310,309,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WI|1,WI,1,1280,640,640,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WI|2,WI,2,1213,607,606,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WI|3,WI,3,1152,576,576,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WI|4,WI,4,1310,655,655,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WI|5,WI,5,1216,608,608,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WV|1,WV,1,377,189,188,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WV|2,WV,2,398,199,199,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WV|3,WV,3,409,205,204,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WV|4,WV,4,410,205,205,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WV|5,WV,5,386,193,193,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WY|1,WY,1,189,95,94,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WY|2,WY,2,210,105,105,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WY|3,WY,3,205,103,102,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WY|4,WY,4,374,187,187,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
WY|5,WY,5,360,180,180,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
