analysis_species_id,analysis_species_name,confirmed_native_CONUS,core_eligibility_status,all_view_detected_cells_fold_A,all_view_detected_cells_fold_B,native_view_detected_cells_fold_A,native_view_detected_cells_fold_B,passes_ge10_each_fold_all_view,passes_ge10_each_fold_native_view,union_queue_flag,queue_role,little_information_used
117883,Magnolia virginiana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,229,226,229,226,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2505106,Melia azedarach,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,108,107,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2501381,Morus alba,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,165,147,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2501906,Morus rubra,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,427,434,426,434,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2383853,Neltuma glandulosa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,239,223,224,217,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2383876,Neltuma velutina,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,38,41,38,41,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
458543,Notholithocarpus densiflorus,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,31,32,31,32,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
136188,Nyssa aquatica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,136,109,136,109,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
136191,Nyssa biflora,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,204,214,204,214,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
136212,Nyssa ogeche,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,12,16,12,16,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
136221,Nyssa sylvatica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,696,687,661,655,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
144637,Ostrya virginiana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,609,625,609,625,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2387656,Oxydendrum arboreum,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,283,296,283,296,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2542391,Paulownia tomentosa,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,79,77,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2529931,Persea borbonia,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,58,71,57,69,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380406,Picea abies,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,87,90,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380614,Picea engelmannii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,275,280,275,280,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
381078,Picea laxa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,199,224,194,219,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380589,Picea mariana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,147,142,147,142,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380719,Picea pungens,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,49,67,38,49,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380751,Picea rubens,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,103,109,103,108,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380741,Picea sitchensis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,35,32,35,32,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380705,Pinus albicaulis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,117,113,117,113,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380723,Pinus aristata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,17,19,17,19,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
381057,Pinus attenuata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,16,17,16,17,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380544,Pinus banksiana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,110,104,109,104,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379871,Pinus clausa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,24,30,22,27,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379843,Pinus contorta,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,293,289,293,289,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379818,Pinus echinata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,379,390,375,386,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379820,Pinus edulis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,227,224,227,224,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379943,Pinus elliottii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,175,186,163,170,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379971,Pinus flexilis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,140,138,140,138,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
