fia_species_code,fia_name_raw,analysis_species_id,analysis_species_name,analysis_species_authors,mapping_class,diameter_measurement_basis,pooling_group_component_code_count,pooling_group_component_codes,pooling_applied_flag,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,confirmed_native_state_tree_rows,explicit_introduced_state_tree_rows,unclassified_state_tree_rows,component_positive_primary_plots,pooled_species_positive_primary_plots,sum_component_positive_plots_before_dedup,plot_overlap_removed_by_species_pooling,aggregation_rule
136,Pinus nigra,380171,Pinus nigra,J.F.Arnold,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,136,0,100,35,65,0,0,100,12,12,12,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
137,Pinus washoensis,380358,Pinus ponderosa,Douglas ex C.Lawson,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,122;137,1,15,6,9,15,0,0,3,6906,6906,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
140,Pinus cembroides,380484,Pinus cembroides,Zucc.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,140,0,188,105,83,188,0,0,28,28,28,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
141,Pinus remota,380317,Pinus remota,(Little) D.K.Bailey & Hawksw.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,141,0,50,33,17,50,0,0,21,21,21,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
142,Pinus longaeva,379762,Pinus longaeva,D.K.Bailey,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,142,0,155,36,119,155,0,0,27,27,27,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
201,Pseudotsuga macrocarpa,378313,Pseudotsuga macrocarpa,(Vasey) Mayr,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,201,0,22,16,6,22,0,0,5,5,5,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
202,Pseudotsuga menziesii,379633,Pseudotsuga menziesii,(Mirb.) Franco,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,202,0,137289,68386,68903,137231,24,34,11517,11517,11517,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
211,Sequoia sempervirens,378988,Sequoia sempervirens,(D.Don) Endl.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,211,0,4172,2103,2069,4172,0,0,188,188,188,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
212,Sequoiadendron giganteum,381300,Sequoiadendron giganteum,(Lindl.) J.Buchholz,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,212,0,25,23,2,12,0,13,6,6,6,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
221,Taxodium distichum,378596,Taxodium distichum,(L.) Rich.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,221;222,1,6546,3444,3102,6545,0,1,1063,1751,1826,75,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
222,Taxodium ascendens,378596,Taxodium distichum,(L.) Rich.,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,221;222,1,7703,3716,3987,7703,0,0,763,1751,1826,75,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
231,Taxus brevifolia,378623,Taxus brevifolia,Nutt.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,231,0,437,217,220,437,0,0,192,192,192,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
241,Thuja occidentalis,378542,Thuja occidentalis,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,241,0,41807,21334,20473,41807,0,0,2909,2909,2909,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
242,Thuja plicata,378546,Thuja plicata,Donn ex D.Don,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,242,0,11630,5538,6092,11630,0,0,1698,1698,1698,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
251,Torreya californica,378636,Torreya californica,Torr.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,251,0,25,3,22,25,0,0,12,12,12,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
261,Tsuga canadensis,379363,Tsuga canadensis,(L.) Carrière,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,261,0,29994,15343,14651,29994,0,0,4863,4863,4863,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
262,Tsuga caroliniana,379383,Tsuga caroliniana,Engelm.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,262,0,15,6,9,15,0,0,8,8,8,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
263,Tsuga heterophylla,379395,Tsuga heterophylla,(Raf.) Sarg.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,263,0,28868,14796,14072,28868,0,0,2843,2843,2843,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
264,Tsuga mertensiana,379433,Tsuga mertensiana,(Bong.) Oerst.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,264,0,8207,4014,4193,8207,0,0,700,700,700,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
303,Acacia farnesiana,2452405,Vachellia farnesiana,(L.) Wight & Arn.,SYNONYM_TO_ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,303,0,432,166,266,432,0,0,143,143,143,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
311,Acer barbatum,2616387,Acer saccharum,Marshall,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,311;318,1,1444,771,673,1431,0,13,625,13350,13358,8,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
312,Acer macrophyllum,2615900,Acer macrophyllum,Pursh,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,312,0,4291,1959,2332,4291,0,0,977,977,977,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
313,Acer negundo,2616024,Acer negundo,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,313,0,8937,4467,4470,8937,0,0,2945,2945,2945,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
314,Acer nigrum,2616060,Acer nigrum,F.Michx.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,314,0,259,102,157,259,0,0,83,83,83,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
315,Acer pensylvanicum,2616210,Acer pensylvanicum,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,315,0,1331,608,723,1331,0,0,698,698,698,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
316,Acer rubrum,2616329,Acer rubrum,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,316,0,146916,72608,74308,146916,0,0,29146,29146,29146,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
317,Acer saccharinum,2616367,Acer saccharinum,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,317,0,5381,2740,2641,5381,0,0,999,999,999,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
318,Acer saccharum,2616387,Acer saccharum,Marshall,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,311;318,1,75156,37423,37733,75156,0,0,12733,13350,13358,8,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
319,Acer spicatum,2616481,Acer spicatum,Lam.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,319,0,21,10,11,21,0,0,18,18,18,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
320,Acer platanoides,2616254,Acer platanoides,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,320,0,238,137,101,0,238,0,104,104,104,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
322,Acer grandidentatum,2615689,Acer grandidentatum,Nutt.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,322,0,818,373,445,818,0,0,102,102,102,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
323,Acer leucoderme,2615862,Acer leucoderme,Small,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,323,0,4,1,3,4,0,0,4,4,4,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
331,Aesculus glabra,2624506,Aesculus glabra,Willd.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,331;334,1,448,238,210,447,0,1,180,185,185,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
332,Aesculus flava,2624500,Aesculus flava,Sol.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,332,0,1073,563,510,1073,0,0,457,457,457,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
333,Aesculus californica,2624481,Aesculus californica,(Spach) Nutt.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,333,0,238,109,129,238,0,0,55,55,55,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
334,Aesculus glabra var. arguta,2624506,Aesculus glabra,Willd.,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,331;334,1,16,2,14,16,0,0,5,185,185,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
341,Ailanthus altissima,2626815,Ailanthus altissima,(Mill.) Swingle,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,341,0,2008,1028,980,0,2008,0,717,717,717,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
345,Albizia julibrissin,2627374,Albizia julibrissin,Durazz.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,345,0,297,156,141,0,297,0,183,183,183,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
351,Alnus rubra,6584,Alnus rubra,Bong.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,351,0,8055,4000,4055,8055,0,0,1289,1289,1289,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
352,Alnus rhombifolia,6578,Alnus rhombifolia,Nutt.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,352,0,179,77,102,179,0,0,54,54,54,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
353,Alnus oblongifolia,6544,Alnus oblongifolia,Torr.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,353,0,5,3,2,5,0,0,2,2,2,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
355,Alnus glutinosa,6364,Alnus glutinosa,(L.) Gaertn.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,355,0,49,45,4,0,48,1,10,10,10,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
357,Amelanchier arborea,2940130,Amelanchier arborea,(F.Michx.) Fernald,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,357,0,39,20,19,39,0,0,20,20,20,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
361,Arbutus menziesii,2646696,Arbutus menziesii,Pursh,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,361,0,3972,2107,1865,3972,0,0,763,763,763,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
362,Arbutus arizonica,2646656,Arbutus arizonica,(A.Gray) Sarg.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,362,0,8,2,6,8,0,0,3,3,3,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
363,Arbutus xalapensis,2646755,Arbutus xalapensis,Kunth,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,363,0,2,2,0,2,0,0,2,2,2,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
367,Asimina triloba,2655435,Asimina triloba,(L.) Dunal,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,367,0,52,33,19,52,0,0,32,32,32,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
371,Betula alleghaniensis,21135,Betula alleghaniensis,Britton,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,371,0,21896,10740,11156,21896,0,0,5652,5652,5652,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
372,Betula lenta,21443,Betula lenta,L.,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,372,0,14411,7305,7106,14407,0,4,3627,3627,3627,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
373,Betula nigra,21527,Betula nigra,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,373,0,1962,924,1038,1962,0,0,701,701,701,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
374,Betula occidentalis,21535,Betula occidentalis,Hook.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,374,0,35,23,12,35,0,0,17,17,17,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
375,Betula papyrifera,21557,Betula papyrifera,Marshall,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,375,0,23549,12055,11494,23549,0,0,6647,6647,6647,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
379,Betula populifolia,21620,Betula populifolia,Marshall,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,379,0,844,452,392,843,0,1,375,375,375,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
381,Sideroxylon lanuginosum ssp. lanuginosum,191965,Sideroxylon lanuginosum,Michx.,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,1,381,0,334,181,153,334,0,0,217,217,217,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
391,Carpinus caroliniana,34302,Carpinus caroliniana,Walter,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,391,0,4235,2143,2092,4235,0,0,2031,2031,2031,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
401,Carya aquatica,2701748,Carya aquatica,(F.Michx.) Nutt. ex Elliott,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,401,0,1177,616,561,1177,0,0,447,447,447,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
402,Carya cordiformis,2701766,Carya cordiformis,(Wangenh.) K.Koch,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,402,0,6509,3247,3262,6509,0,0,2832,2832,2832,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
403,Carya glabra,2701775,Carya glabra,(Mill.) Sweet,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,403;412,1,13880,6861,7019,13871,0,9,6307,6338,6367,29,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
404,Carya illinoinensis,2701784,Carya illinoinensis,(Wangenh.) K.Koch,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,404,0,2026,961,1065,1820,47,159,802,802,802,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
405,Carya laciniosa,2701789,Carya laciniosa,(F.Michx.) G.Don,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,405,0,369,173,196,362,0,7,200,200,200,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
406,Carya myristiciformis,2701803,Carya myristiciformis,(F.Michx.) Nutt. ex Elliott,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,406,0,1,1,0,1,0,0,1,1,1,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
407,Carya ovata,2701831,Carya ovata,(Mill.) K.Koch,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,407;413,1,10660,5215,5445,10660,0,0,4274,4282,4285,3,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
408,Carya texana,2701863,Carya texana,Buckley,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,408,0,6040,3119,2921,6037,0,3,2143,2143,2143,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
409,Carya alba,2701867,Carya tomentosa,(Lam.) Nutt.,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,409,0,13281,6616,6665,13277,0,4,6207,6207,6207,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
410,Carya pallida,2701846,Carya pallida,(Ashe) Engelm. & Graebn.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,410,0,269,121,148,269,0,0,118,118,118,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
411,Carya floridana,2701774,Carya floridana,Sarg.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,411,0,1,0,1,1,0,0,1,1,1,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
412,Carya ovalis,2701775,Carya glabra,(Mill.) Sweet,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,403;412,1,96,31,65,96,0,0,60,6338,6367,29,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
413,Carya carolinae-septentrionalis,2701831,Carya ovata,(Mill.) K.Koch,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,407;413,1,27,12,15,27,0,0,11,4282,4285,3,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
421,Castanea dentata,34965,Castanea dentata,(Marshall) Borkh.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,421,0,29,13,16,29,0,0,23,23,23,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
422,Castanea pumila,35028,Castanea pumila,(L.) Mill.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,422,0,5,4,1,5,0,0,5,5,5,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
423,Castanea pumila var. ozarkensis,35021,Castanea ozarkensis,Ashe,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,423,0,7,5,2,7,0,0,4,4,4,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
424,Castanea mollissima,35016,Castanea mollissima,Blume,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,424,0,8,4,4,0,5,3,5,5,5,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
431,Chrysolepis chrysophylla var. chrysophylla,39927,Chrysolepis chrysophylla,(Douglas ex Hook.) Hjelmq.,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,1,431,0,1230,586,644,1230,0,0,303,303,303,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
451,Catalpa bignonioides,320352,Catalpa bignonioides,Walter,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,451,0,43,24,19,25,1,17,23,23,23,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
452,Catalpa speciosa,320410,Catalpa speciosa,Warder ex Teas,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,452,0,126,64,62,120,0,6,54,54,54,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
461,Celtis laevigata,2708323,Celtis laevigata,Willd.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,461,0,6819,3225,3594,6815,0,4,2191,2191,2191,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
462,Celtis occidentalis,2708380,Celtis occidentalis,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,462,0,8140,4084,4056,8126,0,14,2885,2885,2885,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
463,Celtis laevigata var. reticulata,2708432,Celtis reticulata,Torr.,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,463,0,136,79,57,136,0,0,76,76,76,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
471,Cercis canadensis,2711403,Cercis canadensis,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,471,0,1053,534,519,1053,0,0,755,755,755,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
475,Cercocarpus ledifolius,2943367,Cercocarpus ledifolius,Nutt.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,475,0,4207,2161,2046,4207,0,0,444,444,444,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
481,Cladrastis kentukea,2724586,Cladrastis kentukea,(Dum.Cours.) Rudd,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,481,0,21,9,12,14,7,0,10,10,10,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
