analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_rank,component_fia_code_count,component_fia_codes,component_fia_names,diameter_basis_composition,confirmed_native_CONUS,core_eligibility_status,grain_km,census_view,fold_scope,n_unique_physical_plot_lineages,n_primary_measurements,n_sampled_cells,n_positive_plots,n_detected_cells,n_qualifying_tree_rows,n_dbh_tree_rows,n_drc_tree_rows,n_unclassified_diameter_basis_tree_rows,n_confirmed_native_state_tree_rows,n_explicit_introduced_state_tree_rows,n_no_confirmed_native_or_introduced_state_tree_rows,n_connected_components_detection_support,largest_component_fraction,spatial_span_km,sampling_frame_note,threshold_role
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,WCVP_CONFIRMED_NATIVE_STATE,A,6811,6811,294,523,43,6649,6649,0,0,6649,0,0,3,0.7906976744186046,694.6221994724903,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,WCVP_CONFIRMED_NATIVE_STATE,B,6802,6802,288,478,44,6410,6410,0,0,6410,0,0,5,0.7727272727272727,782.6237921249265,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,ALL,13613,13613,169,1001,28,13059,13059,0,0,13059,0,0,1,1.0,772.172260574025,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,A,6811,6811,158,523,25,6649,6649,0,0,6649,0,0,1,1.0,670.820393249937,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,B,6802,6802,163,478,28,6410,6410,0,0,6410,0,0,1,1.0,772.172260574025,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,ALL,115725,115725,10051,7186,706,53601,53601,0,0,53601,0,0,23,0.5750708215297451,2504.495957273639,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,A,57920,57920,9235,3620,637,27193,27193,0,0,27193,0,0,22,0.5620094191522763,2387.9907872519107,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,B,57805,57805,9171,3566,617,26408,26408,0,0,26408,0,0,23,0.5591572123176661,2504.495957273639,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,ALL,115725,115725,2970,7186,237,53601,53601,0,0,53601,0,0,10,0.5738396624472574,2504.495957273639,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,A,57920,57920,2846,3620,219,27193,27193,0,0,27193,0,0,7,0.5844748858447488,2387.9907872519107,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,B,57805,57805,2830,3566,218,26408,26408,0,0,26408,0,0,9,0.5688073394495413,2504.495957273639,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,ALL,115725,115725,1441,7186,130,53601,53601,0,0,53601,0,0,5,0.5615384615384615,2515.5764746872633,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,A,57920,57920,1411,3620,118,27193,27193,0,0,27193,0,0,4,0.5847457627118644,2396.4817963005685,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,B,57805,57805,1397,3566,117,26408,26408,0,0,26408,0,0,5,0.5555555555555556,2515.5764746872633,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,WCVP_CONFIRMED_NATIVE_STATE,ALL,35441,35441,2212,7186,706,53601,53601,0,0,53601,0,0,23,0.5750708215297451,2504.495957273639,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,WCVP_CONFIRMED_NATIVE_STATE,A,17736,17736,2083,3620,637,27193,27193,0,0,27193,0,0,22,0.5620094191522763,2387.9907872519107,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,WCVP_CONFIRMED_NATIVE_STATE,B,17705,17705,2088,3566,617,26408,26408,0,0,26408,0,0,23,0.5591572123176661,2504.495957273639,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,WCVP_CONFIRMED_NATIVE_STATE,ALL,35441,35441,635,7186,237,53601,53601,0,0,53601,0,0,10,0.5738396624472574,2504.495957273639,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,WCVP_CONFIRMED_NATIVE_STATE,A,17736,17736,616,3620,219,27193,27193,0,0,27193,0,0,7,0.5844748858447488,2387.9907872519107,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,WCVP_CONFIRMED_NATIVE_STATE,B,17705,17705,621,3566,218,26408,26408,0,0,26408,0,0,9,0.5688073394495413,2504.495957273639,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,ALL,35441,35441,305,7186,130,53601,53601,0,0,53601,0,0,5,0.5615384615384615,2515.5764746872633,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,A,17736,17736,300,3620,118,27193,27193,0,0,27193,0,0,4,0.5847457627118644,2396.4817963005685,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
