"KEY","RUN_ID","ITEM_TYPE","NAME","STATE","TABLE","REQUEST_URL","TARGET_PATH","STATUS","ATTEMPTS","HTTP_STATUS","BYTES","SHA256","MESSAGE","CHECKED_AT"
"RAW|CA|POP_ESTN_UNIT","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_POP_ESTN_UNIT.zip","California","POP_ESTN_UNIT","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_ESTN_UNIT.zip","DOWNLOADED_FROZEN","1","200","1884","9b56b2f685adc83fce78a80f1fb98a8c2d3f45a13caf0b7320c86f080aa75fd5","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:16:45.7657085+08:00"
"RAW|CA|POP_EVAL","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_POP_EVAL.zip","California","POP_EVAL","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL.zip","DOWNLOADED_FROZEN","1","200","1397","e917a042d4338881171368e8788514610b41a0a15321e9c1c227338c5ce4daf9","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:16:44.4191793+08:00"
"RAW|CA|POP_EVAL_GRP","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_POP_EVAL_GRP.zip","California","POP_EVAL_GRP","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL_GRP.zip","DOWNLOADED_FROZEN","1","200","773","03b07475eed35be708307355fb1cbe397bcfaa0405a165a87b1da653d8ff3b5a","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:16:38.6607291+08:00"
"RAW|CA|POP_EVAL_TYP","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_POP_EVAL_TYP.zip","California","POP_EVAL_TYP","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL_TYP.zip","DOWNLOADED_FROZEN","1","200","1150","7b105e99ed84779062bc8b00a3ac289fcbc32a4e3e27ac3854a35e010eedbda9","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:16:40.0438778+08:00"
"RAW|CA|POP_PLOT_STRATUM_ASSGN","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_POP_PLOT_STRATUM_ASSGN.zip","California","POP_PLOT_STRATUM_ASSGN","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_PLOT_STRATUM_ASSGN.zip","DOWNLOADED_FROZEN","1","200","6520344","b402c4af76cd67d38b6cde9e22ca239dd84c917e4369c170e5871de8b1f71d8b","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:19:41.3077927+08:00"
"RAW|CA|POP_STRATUM","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_POP_STRATUM.zip","California","POP_STRATUM","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_STRATUM.zip","DOWNLOADED_FROZEN","1","200","332407","db7a42b9a5e72800b2ce3a0aa22dd9c918f750a53e5ba2d50422020ea3fefa1d","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:17:01.8150483+08:00"
"RAW|CA|SURVEY","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_SURVEY.zip","California","SURVEY","https://apps.fs.usda.gov/fia/datamart/CSV/CA_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_SURVEY.zip","DOWNLOADED_FROZEN","1","200","1701","32f69a2e894013603c9a27a8e30462c09a420e7974d10bdd317c1e83bdbc7d1d","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:20:27.2773421+08:00"
"RAW|OR|PLOT","e0c9d8ab5b78","RAW_TABLE_ZIP","OR_PLOT.zip","Oregon","PLOT","https://apps.fs.usda.gov/fia/datamart/CSV/OR_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_PLOT.zip","DOWNLOADED_FROZEN","1","200","1462284","e92e8ee1fb6c0fd4934c375fed3b1df4685cc0c0c07f7f10180ba57d0937db15","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:21:59.4281567+08:00"
"RAW|OR|POP_ESTN_UNIT","e0c9d8ab5b78","RAW_TABLE_ZIP","OR_POP_ESTN_UNIT.zip","Oregon","POP_ESTN_UNIT","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_ESTN_UNIT.zip","DOWNLOADED_FROZEN","1","200","1832","629f9e111069d351c89b65b319e5fdc7c7bbd010df8d360311d0b94591aa3d59","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:20:37.4002175+08:00"
"RAW|OR|POP_EVAL","e0c9d8ab5b78","RAW_TABLE_ZIP","OR_POP_EVAL.zip","Oregon","POP_EVAL","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL.zip","DOWNLOADED_FROZEN","1","200","1458","d1d4d2ac1bcc263d89b7fac25c06a001111db9c8f3f31402f3a0339a214ddbbb","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:20:34.5049563+08:00"
