SPCD,fia_name,usgs_column,match_status,detected_eligible_plots,US_occupied_grids,Canada_occupied_grids,US_fraction_of_US_plus_Canada,Canada_extension
820,Quercus laurifolia,Quercus laurifolia,exact,111,768,0,1.0,no
746,Populus tremuloides,Populus tremuloides,exact,109,3148,7708,0.2899778924097273,yes
660,Malus spp.,,unresolved,92,,,,
581,Halesia carolina,Halesia carolina,exact,90,309,0,1.0,no
461,Celtis laevigata,Celtis laevigata,exact,89,2421,0,1.0,no
641,Maclura pomifera,Maclura pomifera,exact,87,175,0,1.0,no
500,Crataegus spp.,,unresolved,82,,,,
771,Prunus avium,,unresolved,81,,,,
555,Gordonia lasianthus,Gordonia lasianthus,exact,77,337,0,1.0,no
552,Gleditsia triacanthos,Gleditsia triacanthos,exact,68,2594,0,1.0,no
691,Nyssa aquatica,Nyssa aquatica,exact,62,689,0,1.0,no
721,Persea borbonia,Persea borbonia,exact,59,720,0,1.0,no
824,Quercus marilandica,Quercus marilandica,exact,59,2757,0,1.0,no
317,Acer saccharinum,Acer saccharinum,exact,57,3500,228,0.9388412017167382,yes
91,Picea abies,,unresolved,56,,,,
311,Acer barbatum,Acer barbatum,exact,55,633,0,1.0,no
742,Populus deltoides,Populus deltoides,exact,54,5366,383,0.9333797182118629,yes
834,Quercus shumardii,Quercus shumardii,exact,49,2206,0,1.0,no
546,Fraxinus quadrangulata,Fraxinus quadrangulata,exact,48,516,0,1.0,no
125,Pinus resinosa,Pinus resinosa,exact,42,750,1007,0.42686397268070575,yes
830,Quercus palustris,Quercus palustris,exact,42,1352,8,0.9941176470588236,yes
345,Albizia julibrissin,,unresolved,40,,,,
375,Betula papyrifera,Betula papyrifera,exact,37,2130,7960,0.21110009910802774,yes
822,Quercus lyrata,Quercus lyrata,exact,36,1358,0,1.0,no
320,Acer platanoides,,unresolved,35,,,,
130,Pinus sylvestris,,unresolved,34,,,,
6511,Persea palustris,,unresolved,34,,,,
601,Juglans cinerea,Juglans cinerea,exact,31,1978,188,0.9132040627885504,yes
817,Quercus imbricaria,Quercus imbricaria,exact,30,987,0,1.0,no
43,Chamaecyparis thyoides,Chamaecyparis thyoides,exact,28,208,0,1.0,no
8421,Pyrus calleryana,,unresolved,28,,,,
404,Carya illinoinensis,Carya illinoensis,accepted_name_to_usgs_original,26,1000,0,1.0,no
819,Quercus laevis,Quercus laevis,exact,26,560,0,1.0,no
804,Quercus bicolor,Quercus bicolor,exact,25,1270,36,0.9724349157733537,yes
410,Carya pallida,Carya pallida,exact,24,646,0,1.0,no
935,Sorbus americana,Sorbus americana,exact,22,582,2230,0.2069701280227596,yes
405,Carya laciniosa,Carya laciniosa,exact,20,882,4,0.9954853273137697,yes
421,Castanea dentata,Castanea dentata,exact,20,1131,27,0.9766839378238342,yes
314,Acer nigrum,Acer nigrum,exact,18,1372,102,0.9308005427408412,yes
357,Amelanchier arborea,Amelanchier arborea,exact,18,3436,704,0.8299516908212561,yes
545,Fraxinus profunda,Fraxinus profunda,exact,17,246,0,1.0,no
681,Morus alba,,unresolved,17,,,,
111,Pinus elliottii,Pinus elliottii,exact,16,379,0,1.0,no
379,Betula populifolia,Betula populifolia,exact,16,374,265,0.5852895148669797,yes
222,Taxodium ascendens,,unresolved,15,,,,
70,Larix spp.,,unresolved,15,,,,
952,Tilia americana var. heterophylla,Tilia heterophylla,accepted_name_to_usgs_original,14,833,0,1.0,no
658,Magnolia tripetala,Magnolia tripetala,exact,13,277,0,1.0,no
663,Malus coronaria,Malus coronaria,exact,13,613,33,0.9489164086687306,yes
993,Melia azedarach,,unresolved,13,,,,
367,Asimina triloba,Asimina triloba,exact,12,2355,16,0.9932517924926192,yes
654,Magnolia macrophylla,Magnolia macrophylla,exact,12,231,0,1.0,no
999,Tree unknown,,unresolved,12,,,,
838,Quercus virginiana,Quercus virginiana,exact,10,757,0,1.0,no
16,Abies fraseri,Abies fraseri,exact,9,3,0,1.0,no
401,Carya aquatica,Carya aquatica,exact,9,987,0,1.0,no
840,Quercus margarettiae,,unresolved,9,,,,
94,Picea glauca,Picea glauca,exact,9,1456,8489,0.14640522875816994,yes
96,Picea pungens,Picea pungens,exact,9,127,0,1.0,no
262,Tsuga caroliniana,Tsuga caroliniana,exact,8,27,0,1.0,no
548,Fraxinus caroliniana,Fraxinus caroliniana,exact,8,661,0,1.0,no
828,Quercus texana,Quercus nuttallii,accepted_name_to_usgs_original,7,406,0,1.0,no
319,Acer spicatum,Acer spicatum,exact,6,1057,2043,0.34096774193548385,yes
412,Carya ovalis,,unresolved,6,,,,
481,Cladrastis kentukea,Cladrastis kentukea,exact,6,74,0,1.0,no
652,Magnolia grandiflora,Magnolia grandiflora,exact,6,582,0,1.0,no
763,Prunus virginiana,Prunus virginiana,exact,6,4583,4282,0.5169768753525099,yes
452,Catalpa speciosa,,unresolved,5,,,,
502,Crataegus mollis,,unresolved,4,,,,
744,Populus heterophylla,Populus heterophylla,exact,4,314,0,1.0,no
