"source_local_path","source_file_role","staged_local_path","relative_path","size_bytes","sha256","copy_status","original_relay_policy","original_notes"
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html.e0c9d8ab5b78.headers.txt","http_headers/prov_PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html.e0c9d8ab5b78.headers.txt","1122","0cf7efcf4313a2da56b5bd781b8749ca8e3c0df5562baf42dc1d4ab3dd601f25","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_USFS_DATA_HUB_FIADB_ITEM_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_USFS_DATA_HUB_FIADB_ITEM_20260903.html.e0c9d8ab5b78.headers.txt","http_headers/prov_USFS_DATA_HUB_FIADB_ITEM_20260903.html.e0c9d8ab5b78.headers.txt","638","aa021f848801648317fb5a06bfca1d8e49d65082821482968b86fc07aa177258","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html.e0c9d8ab5b78.headers.txt","http_headers/prov_USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html.e0c9d8ab5b78.headers.txt","1009","857a52f4d297dc704b0f639380abfa7cfaef1ff556006238a275b3e03e9fc797","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_PLOT.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_CA_PLOT.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_CA_PLOT.zip.e0c9d8ab5b78.headers.txt","570","ab22dd45fcd3a45be0299767cbb39f9a0c9298dd645b7e5bf4d477be085b9b77","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_CA_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_CA_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","585","09ec68ec8af47b38f1f46d71591104c9b4f3df72bcc6700260cfa16f7c7ccc54","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_CA_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_CA_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","575","198aafe5e693cb8ac8e66d321f2b9971eb48c5b932c0813f9488e4a51ee50bb0","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_CA_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_CA_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","582","6dd71afe714b1127c8620c62e5c63c203a53e9369c004aaa89a0e936fd111811","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_CA_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_CA_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","583","ca3e123db6e83bec40ebef414e9ec561cd0489ebb64a7cfdc452662d09ea7ce0","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_CA_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_CA_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","606","1967da8668ddedf1d272d86ef466b7acf6a9da1d3b96395482dba2e76293cc48","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_CA_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_CA_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","583","9891c724edbe72fff37fe896e8dcc2b5a2ef47e6ec21d17fbe80c29b86b24371","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
