"source_local_path","source_file_role","staged_local_path","relative_path","size_bytes","sha256","copy_status","original_relay_policy","original_notes"
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\PROVENANCE_SNAPSHOT_MANIFEST_v01.csv","PROVENANCE_MANIFEST","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\manifests\PROVENANCE_SNAPSHOT_MANIFEST_v01.csv","manifests/PROVENANCE_SNAPSHOT_MANIFEST_v01.csv","11132","6c6dee614360edf3ddff97cb559651153d79da0ef071a650d4f7eb8ae947234a","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\RAW_ASSET_MANIFEST_v01.csv","RAW_ASSET_MANIFEST","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\manifests\RAW_ASSET_MANIFEST_v01.csv","manifests/RAW_ASSET_MANIFEST_v01.csv","24776","54ee2114d63bbd978dbf62bbf2d362c64c55b6bdf454d4caaaf4db3105f730e2","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\SHA256SUMS.csv","SHA256SUMS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\manifests\SHA256SUMS.csv","manifests/SHA256SUMS.csv","14664","ac06b5060720223e0857c14ba11302bb310c116c75e47462c569ebf0affa8745","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIA_DATAMART_LANDING_20260903.html","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\FIA_DATAMART_LANDING_20260903.html","provenance_snapshots/FIA_DATAMART_LANDING_20260903.html","69811","ccdfbfa171a263e8d2e8ed16c80156d8b97e93a23e42a094f7a1187dace6a400","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIA_DATAMART_LOG_20260903.txt","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\FIA_DATAMART_LOG_20260903.txt","provenance_snapshots/FIA_DATAMART_LOG_20260903.txt","413514","7ad587d3da780d172dfdb602f90937a94625f25727c6dabd5772a2c17e4d8aaf","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIA_DATAMART_WRAPPER_20260903.html","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\FIA_DATAMART_WRAPPER_20260903.html","provenance_snapshots/FIA_DATAMART_WRAPPER_20260903.html","752","69cbdacbdd4e5798867822c6c8fd869dc24189d1067143a1852bbd5d68451ee5","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIADB_API_DOCUMENTATION_20260903.html","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\FIADB_API_DOCUMENTATION_20260903.html","provenance_snapshots/FIADB_API_DOCUMENTATION_20260903.html","27844","495e9bcb1704cd69e030bf119caecabeade02cd92ca9bc39d13515466f559507","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIADB_API_WC_20260903.html","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\FIADB_API_WC_20260903.html","provenance_snapshots/FIADB_API_WC_20260903.html","343899","97a0ed9cceef123cbcb1db5c5142f6b2234b1818e2594291b0fb49815e59f2fc","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html","provenance_snapshots/FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html","21347","413236c3faaedf50c88f674c5046d9af56cf3e98a23182df663205962e21bb82","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html","provenance_snapshots/PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html","112407","1ca5f73a455a02bff12c14220b67ef72794432bedbef51edc9b32031b55ebdeb","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\USFS_DATA_HUB_FIADB_ITEM_20260903.html","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\USFS_DATA_HUB_FIADB_ITEM_20260903.html","provenance_snapshots/USFS_DATA_HUB_FIADB_ITEM_20260903.html","60755","b940703e511245e50320a2271e53ce17e6e4b73cf5376cef0fa325912e4c8ef7","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html","OFFICIAL_PROVENANCE_RAW_RESPONSE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\provenance_snapshots\USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html","provenance_snapshots/USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html","139852","df85982fe3b5b8469f785ab8eddd49bd4cc226b27cdb9e6a0c0096e6b10121da","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\source_plans\FROZEN_Q1_FIA_PROVENANCE_SNAPSHOT_CHECKLIST_v01.csv","FROZEN_SOURCE_PLAN","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\source_plans\FROZEN_Q1_FIA_PROVENANCE_SNAPSHOT_CHECKLIST_v01.csv","source_plans/FROZEN_Q1_FIA_PROVENANCE_SNAPSHOT_CHECKLIST_v01.csv","3870","cfeceb0361425d0f2032f01f124397c2d3f14931659c1bcb0010e80797b9094c","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\source_plans\FROZEN_Q1_FIA_T2_2023_USER_DOWNLOAD_PLAN_v01.csv","FROZEN_SOURCE_PLAN","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\source_plans\FROZEN_Q1_FIA_T2_2023_USER_DOWNLOAD_PLAN_v01.csv","source_plans/FROZEN_Q1_FIA_T2_2023_USER_DOWNLOAD_PLAN_v01.csv","12944","8e5f22b07e175eb47fe28680416eadce2bdd426fc7e4e5d3caac58d1b632f8c2","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
