analysis_species_id,analysis_species_name,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,decision_status,review_reason
2444682,Tamarindus indica,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2448661,Ulmus parvifolia,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2448824,Ulmus pumila,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2469375,Zanthoxylum clava-herculis,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0687,Zanthoxylum clava-herculis,Zanthoxylum clava-herculis,L.,SPECIES,individual_taxa/atlas_pages/Zanthoxylum_clava-herculis.pdf,Zanthoxylum_clava-herculis,545,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
2469375,Zanthoxylum clava-herculis,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0689,Zanthoxylum hirsutum,Zanthoxylum hirsutum,Buckley,SPECIES,individual_taxa/atlas_pages/Zanthoxylum_hirsutum.pdf,Zanthoxylum_hirsutum,180,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
2501381,Morus alba,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2505106,Melia azedarach,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2518181,Tilia cordata,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2518218,Tilia americana,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0647,Tilia caroliniana,Tilia americana var. caroliniana,(P. Mill.) Castigl.,SPECIES,individual_taxa/atlas_pages/Tilia_caroliniana.pdf,Tilia_caroliniana,999,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
2518218,Tilia americana,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0648,Tilia heterophylla,Tilia americana var. heterophylla,(Vent.) Loud.,SPECIES,individual_taxa/atlas_pages/Tilia_heterophylla.pdf,Tilia_heterophylla,833,Little (1971),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
2523018,Rhamnus cathartica,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2540278,Piscidia piscipula,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
