analysis_species_id,analysis_species_name,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,decision_status,review_reason
39927,Chrysolepis chrysophylla,SINGLE_OFFICIAL_ALIAS_LAYER,0,1,Castanopsis_chrysophylla,ATLASG-0124,Castanopsis chrysophylla,Chrysolepis chrysophylla,(Douglas ex Hook.) Hjelmq.,SPECIES,individual_taxa/atlas_pages/Castanopsis_chrysophylla.pdf,Castanopsis_chrysophylla,119,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
47363,Cornus florida,SINGLE_SPECIES_LAYER,0,1,Cornus_florida,ATLASG-0181,Cornus florida,Cornus florida,L.,SPECIES,individual_taxa/atlas_pages/Cornus_florida.pdf,Cornus_florida,2910,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
47451,Cornus nuttallii,SINGLE_SPECIES_LAYER,0,1,Cornus_nuttallii,ATLASG-0183,Cornus nuttallii,Cornus nuttallii,Audubon,SPECIES,individual_taxa/atlas_pages/Cornus_nuttallii.pdf,Cornus_nuttallii,375,Little (1976),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
73008,Eucalyptus globulus,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
73044,Eucalyptus grandis,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
83824,Fagus grandifolia,SINGLE_SPECIES_LAYER,0,1,Fagus_grandifolia,ATLASG-0240,Fagus grandifolia,Fagus grandifolia,Ehrh.,SPECIES,individual_taxa/atlas_pages/Fagus_grandifolia.pdf,Fagus_grandifolia,3364,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
113859,Liriodendron tulipifera,SINGLE_SPECIES_LAYER,0,1,Liriodendron_tulipifera,ATLASG-0342,Liriodendron tulipifera,Liriodendron tulipifera,L.,SPECIES,individual_taxa/atlas_pages/Liriodendron_tulipifera.pdf,Liriodendron_tulipifera,2329,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
117423,Magnolia acuminata,SINGLE_SPECIES_LAYER,0,1,Magnolia_acuminata,ATLASG-0354,Magnolia acuminata,Magnolia acuminata,(L.) L.,SPECIES,individual_taxa/atlas_pages/Magnolia_acuminata.pdf,Magnolia_acuminata,740,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
117583,Magnolia fraseri,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0356,Magnolia fraseri,Magnolia fraseri,Walter,SPECIES,individual_taxa/atlas_pages/Magnolia_fraseri.pdf,Magnolia_fraseri,117,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
117583,Magnolia fraseri,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0359,Magnolia pyramidata,Magnolia pyramidata,W. Bartram,SPECIES,individual_taxa/atlas_pages/Magnolia_pyramidata.pdf,Magnolia_pyramidata,60,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
117615,Magnolia grandiflora,SINGLE_SPECIES_LAYER,0,1,Magnolia_grandiflora,ATLASG-0357,Magnolia grandiflora,Magnolia grandiflora,L.,SPECIES,individual_taxa/atlas_pages/Magnolia_grandiflora.pdf,Magnolia_grandiflora,582,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
117698,Magnolia macrophylla,SINGLE_SPECIES_LAYER,0,1,Magnolia_macrophylla,ATLASG-0358,Magnolia macrophylla,Magnolia macrophylla,Michx.,SPECIES,individual_taxa/atlas_pages/Magnolia_macrophylla.pdf,Magnolia_macrophylla,231,Little (1977),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
117869,Magnolia tripetala,SINGLE_SPECIES_LAYER,0,1,Magnolia_tripetala,ATLASG-0360,Magnolia tripetala,Magnolia tripetala,(L.) L.,SPECIES,individual_taxa/atlas_pages/Magnolia_tripetala.pdf,Magnolia_tripetala,277,Little (1977),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
117883,Magnolia virginiana,SINGLE_SPECIES_LAYER,0,1,Magnolia_virginiana,ATLASG-0361,Magnolia virginiana,Magnolia virginiana,L.,SPECIES,individual_taxa/atlas_pages/Magnolia_virginiana.pdf,Magnolia_virginiana,1036,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
123857,Melaleuca quinquenervia,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
136188,Nyssa aquatica,SINGLE_SPECIES_LAYER,0,1,Nyssa_aquatica,ATLASG-0388,Nyssa aquatica,Nyssa aquatica,L.,SPECIES,individual_taxa/atlas_pages/Nyssa_aquatica.pdf,Nyssa_aquatica,689,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
136191,Nyssa biflora,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
136212,Nyssa ogeche,SINGLE_SPECIES_LAYER,0,1,Nyssa_ogeche,ATLASG-0389,Nyssa ogeche,Nyssa ogeche,Bartram ex Marshall,SPECIES,individual_taxa/atlas_pages/Nyssa_ogeche.pdf,Nyssa_ogeche,120,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
136221,Nyssa sylvatica,SINGLE_SPECIES_LAYER,0,1,Nyssa_sylvatica,ATLASG-0390,Nyssa sylvatica,Nyssa sylvatica,Marshall,SPECIES,individual_taxa/atlas_pages/Nyssa_sylvatica.pdf,Nyssa_sylvatica,2940,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
144637,Ostrya virginiana,SINGLE_SPECIES_LAYER,0,1,Ostrya_virginiana,ATLASG-0396,Ostrya virginiana,Ostrya virginiana,(Mill.) K. Koch,SPECIES,individual_taxa/atlas_pages/Ostrya_virginiana.pdf,Ostrya_virginiana,4491,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
171430,Quercus acutissima,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
171483,Quercus agrifolia,SINGLE_SPECIES_LAYER,0,1,Quercus_agrifolia,ATLASG-0487,Quercus agrifolia,Quercus agrifolia,Née,SPECIES,individual_taxa/atlas_pages/Quercus_agrifolia.pdf,Quercus_agrifolia,81,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
171499,Quercus alba,SINGLE_SPECIES_LAYER,0,1,Quercus_alba,ATLASG-0488,Quercus alba,Quercus alba,L.,SPECIES,individual_taxa/atlas_pages/Quercus_alba.pdf,Quercus_alba,3747,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
171655,Quercus arizonica,SINGLE_SPECIES_LAYER,0,1,Quercus_arizonica,ATLASG-0489,Quercus arizonica,Quercus arizonica,Sarg.,SPECIES,individual_taxa/atlas_pages/Quercus_arizonica.pdf,Quercus_arizonica,64,Little (1976),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
