"State","STATE_ABBR","EVAL_GRP","EVALID","TABLE","LINKAGE_MODE","PRESENT","ROW_COUNT","KEY_INTEGRITY_STATUS","UNRESOLVED_KEY_COUNT","DUPLICATE_KEY_COUNT","DETAILS"
"Oregon","OR","412023","412300","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"Oregon","OR","412023","412300","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","197","PASS","0","0","STRATUM_CN=197; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"Oregon","OR","412023","412300","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","16328","PASS","0","0","distinct_stratum_refs=197; unresolved_stratum_refs=0; distinct_plot_refs=16328; empty_PLT_CN=0"
"Oregon","OR","412023","412301","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"Oregon","OR","412023","412301","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","197","PASS","0","0","STRATUM_CN=197; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"Oregon","OR","412023","412301","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","15819","PASS","0","0","distinct_stratum_refs=197; unresolved_stratum_refs=0; distinct_plot_refs=15819; empty_PLT_CN=0"
"Oregon","OR","412023","412303","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"Oregon","OR","412023","412303","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","191","PASS","0","0","STRATUM_CN=191; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"Oregon","OR","412023","412303","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","14476","PASS","0","0","distinct_stratum_refs=191; unresolved_stratum_refs=0; distinct_plot_refs=14476; empty_PLT_CN=0"
"Oregon","OR","412023","412307","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"Oregon","OR","412023","412307","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","195","PASS","0","0","STRATUM_CN=195; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
